#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:42:41 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:42:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/136/2563/table4&-out.max=99999&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51362563
#Name: J/AJ/136/2563
#Title: HI Nearby Galaxy Survey, THINGS (Walter+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/aj/136/2563	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/136/2563	    IVOID of underlying data collection
#INFO	creator=Walter F.	    First author or institution
#INFO	cites=bibcode:2008AJ....136.2563W	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/136/2563	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51362563	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_136_2563_table4:
#Name: J/AJ/136/2563/table4
#Title: HI spectra based on the blanked natural weighted cubes
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A8)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Vel	(F9.3)	Velocity	[ucd=spect.dopplerVeloc]
#Column	SHI	(E11.4)	? HI flux density	[ucd=phot.flux.density;em.radio.750-1500MHz]
recno	Name	Vel	SHI
     529	NGC 2403	   77.100	 3.8357e+00
     530	NGC 2403	   72.000	 3.8751e+00
     531	NGC 2403	   66.800	 4.0221e+00
     532	NGC 2403	   61.700	 4.0165e+00
     533	NGC 2403	   56.500	 3.9445e+00
     534	NGC 2403	   51.400	 4.1523e+00
     535	NGC 2403	   46.200	 4.2037e+00
     536	NGC 2403	   41.100	 4.4299e+00
     537	NGC 2403	   35.900	 4.7496e+00
     538	NGC 2403	   30.800	 4.8738e+00
     539	NGC 2403	   25.600	 4.7751e+00
     540	NGC 2403	   20.400	 4.1440e+00
     541	NGC 2403	   15.300	 2.7725e+00
     542	NGC 2403	   10.100	 1.5512e+00
     543	NGC 2403	    5.000	 8.7226e-01
     544	NGC 2403	   -0.200	 3.8479e-01
     545	NGC 2403	   -5.000	
     546	NGC 2403	  -10.200	
     547	NGC 2403	  -15.300	
     548	NGC 2403	  -20.500	
     549	NGC 2841	  974.800	
     550	NGC 2841	  969.600	
     551	NGC 2841	  964.400	
     552	NGC 2841	  959.200	
     553	NGC 2841	  954.000	 1.0326e-02
     554	NGC 2841	  948.800	 2.1244e-02
     555	NGC 2841	  943.600	 4.8058e-02
     556	NGC 2841	  938.400	 1.1363e-01
     557	NGC 2841	  933.300	 1.9106e-01
     558	NGC 2841	  928.100	 3.0407e-01
     559	NGC 2841	  922.900	 3.9975e-01
     560	NGC 2841	  917.700	 4.5537e-01
     561	NGC 2841	  912.500	 4.6706e-01
     562	NGC 2841	  907.300	 4.7849e-01
     563	NGC 2841	  902.100	 4.8575e-01
     564	NGC 2841	  897.000	 5.3113e-01
     565	NGC 2841	  891.800	 5.0070e-01
     566	NGC 2841	  886.600	 5.1713e-01
     567	NGC 2841	  881.400	 4.5238e-01
     568	NGC 2841	  876.200	 4.4226e-01
     569	NGC 2841	  871.000	 4.1649e-01
     570	NGC 2841	  865.900	 3.8770e-01
     571	NGC 2841	  860.700	 3.7672e-01
     572	NGC 2841	  855.500	 3.7233e-01
     573	NGC 2841	  850.300	 3.5922e-01
     574	NGC 2841	  845.100	 3.4215e-01
     575	NGC 2841	  839.900	 3.1353e-01
     576	NGC 2841	  834.800	 3.1445e-01
     577	NGC 2841	  829.600	 3.1219e-01
     578	NGC 2841	  824.400	 2.9131e-01
     579	NGC 2841	  819.200	 3.0994e-01
     580	NGC 2841	  814.000	 3.2114e-01
     581	NGC 2841	  808.900	 3.1965e-01
     582	NGC 2841	  803.700	 3.1593e-01
     583	NGC 2841	  798.500	 3.2886e-01
     584	NGC 2841	  793.300	 3.2741e-01
     585	NGC 2841	  788.100	 3.1218e-01
     586	NGC 2841	  783.000	 3.1037e-01
     587	NGC 2841	  777.800	 2.8903e-01
     588	NGC 2841	  772.600	 2.7964e-01
     589	NGC 2841	  767.400	 2.5917e-01
     590	NGC 2841	  762.200	 2.7563e-01
     591	NGC 2841	  757.100	 2.6292e-01
     592	NGC 2841	  751.900	 2.8282e-01
     593	NGC 2841	  746.700	 2.6087e-01
     594	NGC 2841	  741.500	 2.5012e-01
     595	NGC 2841	  736.300	 2.5935e-01
     596	NGC 2841	  731.200	 2.5936e-01
     597	NGC 2841	  726.000	 2.7199e-01
     598	NGC 2841	  720.800	 2.6878e-01
     599	NGC 2841	  715.600	 2.7869e-01
     600	NGC 2841	  710.500	 2.8310e-01
     601	NGC 2841	  705.300	 2.8033e-01
     602	NGC 2841	  700.100	 2.8243e-01
     603	NGC 2841	  694.900	 2.7513e-01
     604	NGC 2841	  689.700	 2.7839e-01
     605	NGC 2841	  684.600	 2.7825e-01
     606	NGC 2841	  679.400	 2.7683e-01
     607	NGC 2841	  674.200	 2.6272e-01
     608	NGC 2841	  669.000	 2.6367e-01
     609	NGC 2841	  663.900	 2.5471e-01
     610	NGC 2841	  658.700	 2.5545e-01
     611	NGC 2841	  653.500	 2.5287e-01
     612	NGC 2841	  648.300	 2.5825e-01
     613	NGC 2841	  643.200	 2.6916e-01
     614	NGC 2841	  638.000	 2.6608e-01
     615	NGC 2841	  632.800	 2.5390e-01
     616	NGC 2841	  627.600	 2.5367e-01
     617	NGC 2841	  622.500	 2.5624e-01
     618	NGC 2841	  617.300	 2.3849e-01
     619	NGC 2841	  612.100	 2.2689e-01
     620	NGC 2841	  606.900	 2.3060e-01
     621	NGC 2841	  601.800	 2.1321e-01
     622	NGC 2841	  596.600	 2.1987e-01
     623	NGC 2841	  591.400	 2.3344e-01
     624	NGC 2841	  586.200	 2.2300e-01
     625	NGC 2841	  581.100	 2.1938e-01
     626	NGC 2841	  575.900	 2.1014e-01
     627	NGC 2841	  570.700	 1.9286e-01
     628	NGC 2841	  565.600	 1.8010e-01
     629	NGC 2841	  560.400	 1.8661e-01
     630	NGC 2841	  555.200	 1.8364e-01
     631	NGC 2841	  550.000	 1.9983e-01
     632	NGC 2841	  544.900	 1.9602e-01
     633	NGC 2841	  539.700	 2.0601e-01
     634	NGC 2841	  534.500	 2.2319e-01
     635	NGC 2841	  529.400	 2.3492e-01
     636	NGC 2841	  524.200	 2.2977e-01
     637	NGC 2841	  519.000	 2.1157e-01
     638	NGC 2841	  513.800	 1.9245e-01
     639	NGC 2841	  508.700	 1.7885e-01
     640	NGC 2841	  503.500	 1.7710e-01
     641	NGC 2841	  498.300	 1.7370e-01
     642	NGC 2841	  493.200	 1.9133e-01
     643	NGC 2841	  488.000	 1.9467e-01
     644	NGC 2841	  482.800	 1.9191e-01
     645	NGC 2841	  477.700	 1.8984e-01
     646	NGC 2841	  472.500	 1.9419e-01
     647	NGC 2841	  467.300	 2.0868e-01
     648	NGC 2841	  462.100	 2.1327e-01
     649	NGC 2841	  457.000	 2.2084e-01
     650	NGC 2841	  451.800	 2.2291e-01
     651	NGC 2841	  446.600	 2.1928e-01
     652	NGC 2841	  441.500	 2.2503e-01
     653	NGC 2841	  436.300	 2.3226e-01
     654	NGC 2841	  431.100	 2.2625e-01
     655	NGC 2841	  426.000	 2.4103e-01
     656	NGC 2841	  420.800	 2.4937e-01
     657	NGC 2841	  415.600	 2.7650e-01
     658	NGC 2841	  410.500	 2.9639e-01
     659	NGC 2841	  405.300	 3.3283e-01
     660	NGC 2841	  400.100	 3.5601e-01
     661	NGC 2841	  395.000	 4.0777e-01
     662	NGC 2841	  389.800	 4.2181e-01
     663	NGC 2841	  384.600	 4.4499e-01
     664	NGC 2841	  379.500	 4.8338e-01
     665	NGC 2841	  374.300	 5.4084e-01
     666	NGC 2841	  369.100	 5.9972e-01
     667	NGC 2841	  364.000	 6.2111e-01
     668	NGC 2841	  358.800	 6.3514e-01
     669	NGC 2841	  353.600	 5.9491e-01
     670	NGC 2841	  348.500	 4.7781e-01
     671	NGC 2841	  343.300	 3.3256e-01
     672	NGC 2841	  338.100	 2.2806e-01
     673	NGC 2841	  333.000	 1.5058e-01
     674	NGC 2841	  327.800	 7.7575e-02
     675	NGC 2841	  322.600	 2.2745e-02
     676	NGC 2841	  317.400	
     677	NGC 2841	  312.200	
     678	NGC 2841	  307.000	
     679	NGC 2841	  301.800	
     680	NGC 2841	  296.700	
     681	NGC 2903	  773.400	 7.0409e-03
     682	NGC 2903	  768.200	 1.5363e-02
     683	NGC 2903	  763.000	 4.1372e-02
     684	NGC 2903	  757.800	 8.5356e-02
     685	NGC 2903	  752.700	 1.4906e-01
     686	NGC 2903	  747.500	 2.4282e-01
     687	NGC 2903	  742.300	 3.8396e-01
     688	NGC 2903	  737.100	 5.7355e-01
     689	NGC 2903	  732.000	 7.8462e-01
     690	NGC 2903	  726.800	 8.6870e-01
     691	NGC 2903	  721.600	 8.3270e-01
     692	NGC 2903	  716.400	 8.1947e-01
     693	NGC 2903	  711.200	 8.1664e-01
     694	NGC 2903	  706.100	 7.7168e-01
     695	NGC 2903	  700.900	 7.1566e-01
     696	NGC 2903	  695.700	 6.8042e-01
     697	NGC 2903	  690.500	 6.6700e-01
     698	NGC 2903	  685.400	 6.1502e-01
     699	NGC 2903	  680.200	 6.0202e-01
     700	NGC 2903	  675.000	 6.0826e-01
     701	NGC 2903	  669.800	 5.9439e-01
     702	NGC 2903	  664.700	 5.9327e-01
     703	NGC 2903	  659.500	 5.5786e-01
     704	NGC 2903	  654.300	 5.3107e-01
     705	NGC 2903	  649.100	 5.3347e-01
     706	NGC 2903	  643.900	 5.1184e-01
     707	NGC 2903	  638.800	 4.9415e-01
     708	NGC 2903	  633.600	 4.7284e-01
     709	NGC 2903	  628.400	 4.4580e-01
     710	NGC 2903	  623.200	 4.4581e-01
     711	NGC 2903	  618.100	 4.5698e-01
     712	NGC 2903	  612.900	 4.6287e-01
     713	NGC 2903	  607.700	 4.5653e-01
     714	NGC 2903	  602.600	 4.5437e-01
     715	NGC 2903	  597.400	 4.5537e-01
     716	NGC 2903	  592.200	 4.5028e-01
     717	NGC 2903	  587.000	 4.4871e-01
     718	NGC 2903	  581.900	 4.3877e-01
     719	NGC 2903	  576.700	 4.3919e-01
     720	NGC 2903	  571.500	 4.5173e-01
     721	NGC 2903	  566.300	 4.4269e-01
     722	NGC 2903	  561.200	 4.3297e-01
     723	NGC 2903	  556.000	 4.2172e-01
     724	NGC 2903	  550.800	 4.2876e-01
     725	NGC 2903	  545.600	 4.3375e-01
     726	NGC 2903	  540.500	 4.4496e-01
     727	NGC 2903	  535.300	 4.6027e-01
     728	NGC 2903	  530.100	 4.7255e-01
     729	NGC 2903	  525.000	 4.9080e-01
     730	NGC 2903	  519.800	 4.9174e-01
     731	NGC 2903	  514.600	 4.9695e-01
     732	NGC 2903	  509.400	 5.1381e-01
     733	NGC 2903	  504.300	 5.4115e-01
     734	NGC 2903	  499.100	 5.5642e-01
     735	NGC 2903	  493.900	 5.8262e-01
     736	NGC 2903	  488.800	 5.8822e-01
     737	NGC 2903	  483.600	 5.9159e-01
     738	NGC 2903	  478.400	 5.7529e-01
     739	NGC 2903	  473.300	 5.6634e-01
     740	NGC 2903	  468.100	 5.6068e-01
     741	NGC 2903	  462.900	 5.6671e-01
     742	NGC 2903	  457.800	 5.7966e-01
     743	NGC 2903	  452.600	 5.8409e-01
     744	NGC 2903	  447.400	 5.7729e-01
     745	NGC 2903	  442.200	 5.7571e-01
     746	NGC 2903	  437.100	 5.8201e-01
     747	NGC 2903	  431.900	 6.0596e-01
     748	NGC 2903	  426.700	 6.3047e-01
     749	NGC 2903	  421.600	 6.4711e-01
     750	NGC 2903	  416.400	 6.9373e-01
     751	NGC 2903	  411.200	 7.5330e-01
     752	NGC 2903	  406.100	 8.3680e-01
     753	NGC 2903	  400.900	 9.4661e-01
     754	NGC 2903	  395.700	 1.0466e+00
     755	NGC 2903	  390.600	 1.1349e+00
     756	NGC 2903	  385.400	 1.1334e+00
     757	NGC 2903	  380.200	 1.0178e+00
     758	NGC 2903	  375.100	 8.0485e-01
     759	NGC 2903	  369.900	 5.4290e-01
     760	NGC 2903	  364.700	 3.0520e-01
     761	NGC 2903	  359.600	 1.5978e-01
     762	NGC 2903	  354.400	 8.1827e-02
     763	NGC 2903	  349.200	 2.6585e-02
     764	NGC 2903	  344.100	 8.2183e-03
     765	NGC 2903	  338.900	 3.6223e-04
     766	NGC 2976	  106.100	
     767	NGC 2976	  100.900	
     768	NGC 2976	   95.800	
     769	NGC 2976	   90.600	 6.0833e-03
     770	NGC 2976	   85.400	 3.2265e-02
     771	NGC 2976	   80.300	 7.9482e-02
     772	NGC 2976	   75.100	 1.4793e-01
     773	NGC 2976	   70.000	 2.0946e-01
     774	NGC 2976	   64.800	 2.3093e-01
     775	NGC 2976	   59.700	 2.3141e-01
     776	NGC 2976	   54.500	 2.3273e-01
     777	NGC 2976	   49.400	 2.4341e-01
     778	NGC 2976	   44.200	 2.6245e-01
     779	NGC 2976	   39.100	 2.9626e-01
     780	NGC 2976	   33.900	 3.1483e-01
     781	NGC 2976	   28.800	 3.2601e-01
     782	NGC 2976	   23.600	 3.2489e-01
     783	NGC 2976	   18.500	 3.0147e-01
     784	NGC 2976	   13.300	 2.8000e-01
     785	NGC 2976	    8.200	 3.0868e-01
     786	NGC 2976	    3.000	 3.5851e-01
     787	NGC 2976	   -2.200	 2.1368e-01
     788	NGC 2976	   -7.300	 4.3183e-01
     789	NGC 2976	  -12.500	 3.3545e-01
     790	NGC 2976	  -17.600	 3.4510e-01
     791	NGC 2976	  -22.800	 3.3305e-01
     792	NGC 2976	  -27.900	 3.3635e-01
     793	NGC 2976	  -33.100	 3.6835e-01
     794	NGC 2976	  -38.200	 3.8473e-01
     795	NGC 2976	  -43.400	 3.9404e-01
     796	NGC 2976	  -48.500	 3.7435e-01
     797	NGC 2976	  -53.700	 3.1820e-01
     798	NGC 2976	  -58.800	 2.5268e-01
     799	NGC 2976	  -64.000	 2.2682e-01
     800	NGC 2976	  -69.100	 1.2853e-01
     801	NGC 2976	  -74.300	 1.0071e-01
     802	NGC 2976	  -79.400	 5.2503e-02
     803	NGC 2976	  -84.600	 1.8028e-02
     804	NGC 2976	  -89.700	 6.1051e-03
     805	NGC 2976	  -94.900	
     806	NGC 2976	 -100.000	
     807	NGC 2976	 -105.200	
     808	NGC 3031	  189.500	 4.5356e-01
     809	NGC 3031	  187.000	 4.7972e-01
     810	NGC 3031	  184.400	 6.6887e-01
     811	NGC 3031	  181.800	 6.8175e-01
     812	NGC 3031	  179.200	 8.6125e-01
     813	NGC 3031	  176.700	 9.6303e-01
     814	NGC 3031	  174.100	 1.2282e+00
     815	NGC 3031	  171.500	 1.4687e+00
     816	NGC 3031	  168.900	 1.7229e+00
     817	NGC 3031	  166.300	 2.0388e+00
     818	NGC 3031	  163.800	 2.1969e+00
     819	NGC 3031	  161.200	 2.4084e+00
     820	NGC 3031	  158.600	 2.5000e+00
     821	NGC 3031	  156.000	 2.6990e+00
     822	NGC 3031	  153.400	 2.8840e+00
     823	NGC 3031	  150.900	 3.1824e+00
     824	NGC 3031	  148.300	 3.5272e+00
     825	NGC 3031	  145.700	 3.8752e+00
     826	NGC 3031	  143.100	 4.3003e+00
     827	NGC 3031	  140.500	 4.7198e+00
     828	NGC 3031	  138.000	 5.0469e+00
     829	NGC 3031	  135.400	 5.5006e+00
     830	NGC 3031	  132.800	 5.7793e+00
     831	NGC 3031	  130.200	 5.8060e+00
     832	NGC 3031	  127.600	 5.4916e+00
     833	NGC 3031	  125.100	 5.2021e+00
     834	NGC 3031	  122.500	 5.1122e+00
     835	NGC 3031	  119.900	 5.0278e+00
     836	NGC 3031	  117.300	 4.9590e+00
     837	NGC 3031	  114.800	 4.8271e+00
     838	NGC 3031	  112.200	 4.8354e+00
     839	NGC 3031	  109.600	 4.8150e+00
     840	NGC 3031	  107.000	 4.7912e+00
     841	NGC 3031	  104.400	 4.8373e+00
     842	NGC 3031	  101.900	 4.7296e+00
     843	NGC 3031	   99.300	 4.5357e+00
     844	NGC 3031	   96.700	 4.2402e+00
     845	NGC 3031	   94.100	 3.9534e+00
     846	NGC 3031	   91.600	 3.6364e+00
     847	NGC 3031	   89.000	 3.4895e+00
     848	NGC 3031	   86.400	 3.0569e+00
     849	NGC 3031	   83.800	 3.1511e+00
     850	NGC 3031	   81.200	 2.4682e+00
     851	NGC 3031	   78.700	 2.7407e+00
     852	NGC 3031	   76.100	 2.6850e+00
     853	NGC 3031	   73.500	 2.5557e+00
     854	NGC 3031	   70.900	 2.6135e+00
     855	NGC 3031	   68.400	 2.7157e+00
     856	NGC 3031	   65.800	 2.7666e+00
     857	NGC 3031	   63.200	 2.7819e+00
     858	NGC 3031	   60.600	 2.8007e+00
     859	NGC 3031	   58.000	 2.8064e+00
     860	NGC 3031	   55.500	 2.7823e+00
     861	NGC 3031	   52.900	 2.8351e+00
     862	NGC 3031	   50.300	 2.7735e+00
     863	NGC 3031	   47.700	 2.8041e+00
     864	NGC 3031	   45.200	 2.7602e+00
     865	NGC 3031	   42.600	 2.7502e+00
     866	NGC 3031	   40.000	 2.6536e+00
     867	NGC 3031	   37.400	 2.7266e+00
     868	NGC 3031	   34.800	 2.9797e+00
     869	NGC 3031	   32.300	 2.9612e+00
     870	NGC 3031	   29.700	 2.9529e+00
     871	NGC 3031	   27.100	 2.9896e+00
     872	NGC 3031	   24.500	 2.9513e+00
     873	NGC 3031	   22.000	 2.9419e+00
     874	NGC 3031	   19.400	 2.8427e+00
     875	NGC 3031	   16.800	 2.7963e+00
     876	NGC 3031	   14.200	 2.6279e+00
     877	NGC 3031	   11.700	 2.5605e+00
     878	NGC 3031	    9.100	 2.5339e+00
     879	NGC 3031	    6.500	 2.4682e+00
     880	NGC 3031	    3.900	 2.2534e+00
     881	NGC 3031	    1.300	 2.0822e+00
     882	NGC 3031	   -1.200	 1.6702e+00
     883	NGC 3031	   -3.800	 1.4525e+00
     884	NGC 3031	   -6.400	 2.0019e+00
     885	NGC 3031	   -9.000	 1.6777e+00
     886	NGC 3031	  -11.500	 1.6558e+00
     887	NGC 3031	  -14.100	 1.7409e+00
     888	NGC 3031	  -16.700	 1.9921e+00
     889	NGC 3031	  -19.300	 2.1761e+00
     890	NGC 3031	  -21.800	 2.2650e+00
     891	NGC 3031	  -24.400	 2.1266e+00
     892	NGC 3031	  -27.000	 1.9486e+00
     893	NGC 3031	  -29.600	 1.9985e+00
     894	NGC 3031	  -32.100	 2.0534e+00
     895	NGC 3031	  -34.700	 2.0062e+00
     896	NGC 3031	  -37.300	 2.0718e+00
     897	NGC 3031	  -39.900	 2.3325e+00
     898	NGC 3031	  -42.400	 2.1084e+00
     899	NGC 3031	  -45.000	 2.3755e+00
     900	NGC 3031	  -47.600	 2.2648e+00
     901	NGC 3031	  -50.200	 2.2677e+00
     902	NGC 3031	  -52.700	 3.2421e+00
     903	NGC 3031	  -55.300	 2.5316e+00
     904	NGC 3031	  -57.900	 2.3960e+00
     905	NGC 3031	  -60.500	 2.2885e+00
     906	NGC 3031	  -63.100	 2.3102e+00
     907	NGC 3031	  -65.600	 2.0727e+00
     908	NGC 3031	  -68.200	 2.1152e+00
     909	NGC 3031	  -70.800	 2.0855e+00
     910	NGC 3031	  -73.400	 2.0777e+00
     911	NGC 3031	  -75.900	 2.1461e+00
     912	NGC 3031	  -78.500	 2.1163e+00
     913	NGC 3031	  -81.100	 2.1564e+00
     914	NGC 3031	  -83.700	 2.1914e+00
     915	NGC 3031	  -86.200	 2.2181e+00
     916	NGC 3031	  -88.800	 2.2280e+00
     917	NGC 3031	  -91.400	 2.2291e+00
     918	NGC 3031	  -94.000	 2.2202e+00
     919	NGC 3031	  -96.500	 2.1836e+00
     920	NGC 3031	  -99.100	 2.1400e+00
     921	NGC 3031	 -101.700	 2.1750e+00
     922	NGC 3031	 -104.300	 2.2523e+00
     923	NGC 3031	 -106.800	 2.3340e+00
     924	NGC 3031	 -109.400	 2.4146e+00
     925	NGC 3031	 -112.000	 2.4527e+00
     926	NGC 3031	 -114.500	 2.5273e+00
     927	NGC 3031	 -117.100	 2.4482e+00
     928	NGC 3031	 -119.700	 2.3619e+00
     929	NGC 3031	 -122.300	 2.3097e+00
     930	NGC 3031	 -124.800	 2.1637e+00
     931	NGC 3031	 -127.400	 2.1683e+00
     932	NGC 3031	 -130.000	 2.1275e+00
     933	NGC 3031	 -132.600	 2.2033e+00
     934	NGC 3031	 -135.100	 2.7911e+00
     935	NGC 3031	 -137.700	 2.8063e+00
     936	NGC 3031	 -140.300	 2.8740e+00
     937	NGC 3031	 -142.900	 2.9678e+00
     938	NGC 3031	 -145.400	 3.1269e+00
     939	NGC 3031	 -148.000	 2.9630e+00
     940	NGC 3031	 -150.600	 2.7648e+00
     941	NGC 3031	 -153.200	 2.5905e+00
     942	NGC 3031	 -155.700	 2.5476e+00
     943	NGC 3031	 -158.300	 2.4083e+00
     944	NGC 3031	 -160.900	 2.2557e+00
     945	NGC 3031	 -163.500	 2.2813e+00
     946	NGC 3031	 -166.000	 2.2497e+00
     947	NGC 3031	 -168.600	 2.1622e+00
     948	NGC 3031	 -171.200	 2.2084e+00
     949	NGC 3031	 -173.800	 2.2872e+00
     950	NGC 3031	 -176.300	 2.4367e+00
     951	NGC 3031	 -178.900	 2.5621e+00
     952	NGC 3031	 -181.500	 2.6385e+00
     953	NGC 3031	 -184.000	 2.6724e+00
     954	NGC 3031	 -186.600	 2.6747e+00
     955	NGC 3031	 -189.200	 2.6079e+00
     956	NGC 3031	 -191.800	 2.5838e+00
     957	NGC 3031	 -194.300	 2.5905e+00
     958	NGC 3031	 -196.900	 2.6575e+00
     959	NGC 3031	 -199.500	 2.7092e+00
     960	NGC 3031	 -202.100	 2.7500e+00
     961	NGC 3031	 -204.600	 2.7881e+00
     962	NGC 3031	 -207.200	 2.7710e+00
     963	NGC 3031	 -209.800	 2.6930e+00
     964	NGC 3031	 -212.300	 2.5356e+00
     965	NGC 3031	 -214.900	 2.4190e+00
     966	NGC 3031	 -217.500	 2.2957e+00
     967	NGC 3031	 -220.100	 2.1753e+00
     968	NGC 3031	 -222.600	 2.0601e+00
     969	NGC 3031	 -225.200	 1.9440e+00
     970	NGC 3031	 -227.800	 1.8517e+00
     971	NGC 3031	 -230.400	 1.7763e+00
     972	NGC 3031	 -232.900	 1.7309e+00
     973	NGC 3031	 -235.500	 1.6430e+00
     974	NGC 3031	 -238.100	 1.4844e+00
     975	NGC 3031	 -240.600	 1.4016e+00
     976	NGC 3031	 -243.200	 1.3805e+00
     977	NGC 3031	 -245.800	 1.1315e+00
     978	NGC 3031	 -248.400	 9.5743e-01
     979	NGC 3031	 -250.900	 7.9368e-01
     980	NGC 3031	 -253.500	 6.4994e-01
     981	NGC 3031	 -256.100	 5.0313e-01
     982	NGC 3031	 -258.700	 3.8955e-01
     983	NGC 3031	 -261.200	 2.6792e-01
     984	NGC 3031	 -263.800	 1.5360e-01
     985	NGC 3031	 -266.400	 1.0661e-01
     986	NGC 3077	   93.400	
     987	NGC 3077	   90.800	
     988	NGC 3077	   88.200	
     989	NGC 3077	   85.700	
     990	NGC 3077	   83.100	
     991	NGC 3077	   80.500	 1.6817e-02
     992	NGC 3077	   77.900	 3.2247e-02
     993	NGC 3077	   75.300	 8.1457e-02
     994	NGC 3077	   72.800	 1.2150e-01
     995	NGC 3077	   70.200	 1.8060e-01
     996	NGC 3077	   67.600	 2.6004e-01
     997	NGC 3077	   65.000	 3.3748e-01
     998	NGC 3077	   62.500	 4.9344e-01
     999	NGC 3077	   59.900	 6.0462e-01
    1000	NGC 3077	   57.300	 7.7341e-01
    1001	NGC 3077	   54.700	 1.0191e+00
    1002	NGC 3077	   52.100	 1.3449e+00
    1003	NGC 3077	   49.600	 1.6528e+00
    1004	NGC 3077	   47.000	 2.0431e+00
    1005	NGC 3077	   44.400	 2.3376e+00
    1006	NGC 3077	   41.800	 2.6065e+00
    1007	NGC 3077	   39.300	 2.8226e+00
    1008	NGC 3077	   36.700	 2.9443e+00
    1009	NGC 3077	   34.100	 3.0988e+00
    1010	NGC 3077	   31.500	 3.1978e+00
    1011	NGC 3077	   29.000	 3.2737e+00
    1012	NGC 3077	   26.400	 3.3065e+00
    1013	NGC 3077	   23.800	 3.3483e+00
    1014	NGC 3077	   21.200	 3.3387e+00
    1015	NGC 3077	   18.600	 3.3622e+00
    1016	NGC 3077	   16.100	 3.3461e+00
    1017	NGC 3077	   13.500	 3.2803e+00
    1018	NGC 3077	   10.900	 3.3019e+00
    1019	NGC 3077	    8.300	 3.2127e+00
    1020	NGC 3077	    5.800	 3.0485e+00
    1021	NGC 3077	    3.200	 2.7838e+00
    1022	NGC 3077	    0.600	 2.6809e+00
    1023	NGC 3077	   -2.000	 2.0694e+00
    1024	NGC 3077	   -4.500	 1.9034e+00
    1025	NGC 3077	   -7.100	 2.2195e+00
    1026	NGC 3077	   -9.700	 2.2163e+00
    1027	NGC 3077	  -12.300	 2.1392e+00
    1028	NGC 3077	  -14.800	 1.9784e+00
    1029	NGC 3077	  -17.400	 1.7569e+00
    1030	NGC 3077	  -20.000	 1.6016e+00
    1031	NGC 3077	  -22.600	 1.4813e+00
    1032	NGC 3077	  -25.200	 1.3319e+00
    1033	NGC 3077	  -27.700	 1.1813e+00
    1034	NGC 3077	  -30.300	 1.1723e+00
    1035	NGC 3077	  -32.900	 9.9176e-01
    1036	NGC 3077	  -35.500	 8.7284e-01
    1037	NGC 3077	  -38.000	 7.7704e-01
    1038	NGC 3077	  -40.600	 7.2626e-01
    1039	NGC 3077	  -43.200	 6.5434e-01
    1040	NGC 3077	  -45.800	 6.5161e-01
    1041	NGC 3077	  -48.300	 6.8822e-01
    1042	NGC 3077	  -50.900	 7.3708e-01
    1043	NGC 3077	  -53.500	 9.0748e-01
    1044	NGC 3077	  -56.100	 7.2540e-01
    1045	NGC 3077	  -58.600	 6.6725e-01
    1046	NGC 3077	  -61.200	 6.3233e-01
    1047	NGC 3077	  -63.800	 5.3191e-01
    1048	NGC 3077	  -66.400	 4.5107e-01
    1049	NGC 3077	  -68.900	 4.1419e-01
    1050	NGC 3077	  -71.500	 3.7248e-01
    1051	NGC 3077	  -74.100	 3.3307e-01
    1052	NGC 3077	  -76.700	 3.2781e-01
    1053	NGC 3077	  -79.200	 2.9854e-01
    1054	NGC 3077	  -81.800	 2.5080e-01
    1055	NGC 3077	  -84.400	 2.8652e-01
    1056	NGC 3077	  -87.000	 2.5240e-01
    1057	NGC 3077	  -89.500	 2.3335e-01
    1058	NGC 3077	  -92.100	 2.6058e-01
    1059	NGC 3077	  -94.700	 1.9903e-01
    1060	NGC 3077	  -97.300	 2.2515e-01
    1061	NGC 3077	  -99.800	 1.6828e-01
    1062	NGC 3077	 -102.400	 1.2930e-01
    1063	NGC 3077	 -105.000	 1.0161e-01
    1064	NGC 3077	 -107.600	 4.4194e-02
    1065	NGC 3077	 -110.100	 4.3689e-02
    1066	NGC 3077	 -112.700	 3.4256e-02
    1067	NGC 3077	 -115.300	
    1068	NGC 3077	 -117.900	
