#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T21:05:08 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T21:05:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/127/3273/galaxies&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51273273
#Name: J/AJ/127/3273
#Title: Nearby galaxies HI observations (Vogt+, 2004)
#INFO	ivoid=ivo://cds.vizier/j/aj/127/3273	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/127/3273	    IVOID of underlying data collection
#INFO	creator=Vogt N.P.	    First author or institution
#INFO	cites=bibcode:2004AJ....127.3273V	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2004	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/127/3273	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51273273	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-04-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	J_AJ_127_3273_galaxies:
#Name: J/AJ/127/3273/galaxies
#Title: The three sets of parameters (tables 2, 3 and 4 of the paper)
#Column	Name	(a15)	Source identification (G1)	[ucd=meta.id;meta.main]
#Column	RAB1950	(A10)	Hour of Right Ascension (B1950)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	Degree of Declination (B1950)	[ucd=pos.eq.dec;meta.main]
#Column	TType	(A3)	RC3 (Cat. <VII/155>) morphological type code (2)	[ucd=meta.code;src.morph.type]
#Column	RV	(I5)	Galaxy radial velocity in CMB reference frame (3)	[ucd=phys.veloc;pos.cmb]
#Column	Clust	(A6)	Associated cluster (4)	[ucd=meta.id.parent]
#Column	RSep	(F5.2)	? Radial separation from cluster center expressed in {sigma} (6)	[ucd=pos.distance]
#Column	OW0	(I3)	Measured velocity width	[ucd=spect.line.width]
#Column	RW0	(I3)	? Measured 21cm line profile velocity width (1)	[ucd=spect.line.width]
#Column	M/Lc	(F5.2)	? Corrected mass-to-light ratio in solar units (7)	[ucd=phys.composition.massLightRatio]
#Column	Dark	(F5.2)	? Ratio of dark to light matter within R_f_	[ucd=phys.mass;arith.ratio]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name	RAB1950	DEB1950	TType	RV	Clust	RSep	OW0	RW0	M/Lc	Dark	_RA.icrs	_DE.icrs
6928/N3987     	11 54 46.9	+25 28 23	3  	 4838	A1367 	-2.37	518	   	     	     	11 57 21.2	+25 11 41
7315/N4237     	12 14 38.2	+15 36 08	5  	 1191	Field 	     	229	246	 1.18	 0.14	12 17 10.7	+15 19 28
7724/I3516     	12 31 48.6	+27 43 40	4  	 7139	Coma  	-0.05	328	354	 1.82	 0.19	12 34 17.3	+27 27 08
7791/I3598     	12 34 52.4	+28 29 07	2  	 7954	Coma  	 0.77	510	481	 1.97	 0.35	12 37 20.5	+28 12 37
220864/N4585   	12 35 44.2	+29 12 47	2  	 7568	Coma  	 0.38	297	308	 1.29	 0.03	12 38 12.0	+28 56 18
7845/159-055   	12 38 48.5	+28 07 39	4  	 8016	Coma  	 0.83	275	286	 1.19	 0.69	12 41 16.1	+27 51 12
7877           	12 40 18.7	+27 32 43	3  	 6188	Coma  	-1.00	302	337	 1.74	 1.42	12 42 46.2	+27 16 17
7955/M+530080  	12 44 43.8	+26 58 58	5  	 7035	Coma  	-0.15	353	379	 1.86	 0.23	12 47 10.8	+26 42 36
8004/159-096   	12 49 11.8	+31 37 27	5  	 6447	Coma  	-0.74	259	300	 2.17	 0.31	12 51 36.6	+31 21 09
8013/159-099   	12 50 09.8	+27 01 14	3  	 8159	Coma  	 0.98	326	369	 2.73	 0.02	12 52 36.0	+26 44 57
8017/159-102   	12 50 29.6	+28 38 46	2  	 7328	Coma  	 0.14	525	524	 1.67	 0.01	12 52 55.2	+28 22 29
221147/160-031 	12 54 24.3	+27 21 48	5  	 7198	Coma  	 0.01	341	   	 2.46	 0.03	12 56 49.8	+27 05 35
221149/160-034 	12 54 25.4	+29 12 29	5  	 8350	Coma  	 1.17	321	276	 1.21	 0.06	12 56 50.2	+28 56 16
8069/160-038   	12 54 46.5	+29 19 19	3B 	 7892	Coma  	 0.71	351	190	 0.81	 0.02	12 57 11.2	+29 03 07
221174/I837    	12 55 05.3	+26 47 04	3  	 7480	Coma  	 0.30	300	393	 1.15	 0.22	12 57 30.9	+26 30 52
8082/N4848     	12 55 40.2	+28 30 59	6  	 7458	Coma  	 0.27	410	371	 1.45	 0.72	12 58 05.1	+28 14 48
221206/160-058 	12 55 44.6	+28 59 18	5  	 7882	Coma  	 0.70	241	274	 1.07	 0.08	12 58 09.3	+28 43 07
8096/I3949     	12 56 31.2	+28 06 10	1  	 7764	Coma  	 0.58	380	   	 1.07	 0.21	12 58 56.1	+27 50 00
8108/N4892     	12 57 38.8	+27 10 10	3  	 6210	Coma  	-0.98	432	   	 1.15	 0.12	13 00 03.9	+26 54 01
221402         	12 58 10.8	+27 50 48	4  	 5340	Coma  	-1.85	240	   	 1.38	 0.04	13 00 35.6	+27 34 39
221406/I4040   	12 58 13.6	+28 19 39	6  	 8014	Coma  	 0.83	246	   	 1.26	 0.03	13 00 38.2	+28 03 30
8118/I842      	12 58 15.4	+29 17 36	3  	 7553	Coma  	 0.37	352	373	 1.62	 0.18	13 00 39.6	+29 01 27
221409         	12 58 16.0	+28 47 28	3  	 9166	Coma  	 1.99	221	247	     	     	13 00 40.4	+28 31 19
8128/N4911     	12 58 32.1	+28 03 51	4  	 8252	Coma  	 1.07	318	335	 1.38	 0.15	13 00 56.7	+27 47 43
8140/I4088     	12 59 20.0	+29 19 12	2  	 7358	Coma  	 0.17	475	480	 2.20	 0.21	13 01 44.0	+29 03 05
221460/160-107 	12 59 40.1	+29 31 44	3  	 7591	Coma  	 0.41	250	   	 1.04	 0.23	13 02 04.0	+29 15 37
8161/160-121   	13 01 05.0	+26 49 14	3  	 6947	Coma  	-0.24	320	372	 1.14	 0.52	13 03 29.7	+26 33 09
8194/N4966     	13 03 54.4	+29 20 03	4  	 7311	Coma  	 0.13	385	410	     	     	13 06 17.7	+29 04 01
230082/160-139 	13 04 15.4	+29 07 07	7  	 5009	Coma  	-2.18	175	154	 1.77	 0.41	13 06 38.7	+28 51 06
8220/I4202     	13 06 07.0	+24 57 56	5  	 7400	Coma  	 0.22	519	539	 1.77	 0.17	13 08 31.8	+24 41 57
8229/160-148   	13 06 31.8	+28 27 08	3  	 6250	Coma  	-0.94	312	348	 1.37	 0.41	13 08 55.1	+28 11 09
8244/M+531146  	13 07 29.7	+28 38 59	5  	 7360	Coma  	 0.18	222	257	 2.39	 0.09	13 09 52.7	+28 23 02
8328           	13 13 03.6	+27 34 21	5  	 6742	Coma  	-0.44	217	264	 2.04	 0.66	13 15 26.3	+27 18 31
8337/N5056     	13 13 51.4	+31 12 48	5  	 5839	Coma  	-1.35	310	349	 1.62	 0.71	13 16 12.2	+30 56 59
8356/N5065     	13 15 10.6	+31 21 25	5  	 5796	Coma  	-1.39	251	271	 1.56	 0.42	13 17 31.1	+31 05 38
8460/N5159     	13 25 43.3	+03 14 27	5  	 6619	Field 	     	280	314	 2.08	 0.21	13 28 15.7	+02 58 56
8488/N5185     	13 27 33.7	+13 40 20	3  	 7656	Field 	     	587	590	 2.48	 0.44	13 30 01.4	+13 24 52
8705/132-006   	13 44 11.0	+21 05 33	3  	 7190	Field 	     	374	400	 1.27	 0.79	13 46 33.4	+20 50 35
230921/191-030 	13 57 54.0	+38 26 00	3  	 2895	Field 	     	 37	   	     	     	14 00 01.6	+38 11 30
8943/N5417     	13 59 44.2	+08 16 41	1  	 5141	Field 	     	556	576	 1.45	 0.40	14 02 13.1	+08 02 15
250443/049-108 	15 15 24.3	+08 24 46	3  	10826	A2063 	 0.35	309	   	     	     	15 17 50.7	+08 13 51
9807/077-062   	15 15 33.8	+11 04 25	2  	 9769	A2063 	-1.34	414	   	     	     	15 17 57.8	+10 53 30
250472/049-127 	15 16 47.5	+08 11 11	3  	 9815	A2063 	-1.26	277	   	     	     	15 19 14.0	+08 00 20
250632/049-151 	15 20 22.9	+08 15 38	5  	 9965	A2063 	-1.02	238	   	     	     	15 22 49.3	+08 04 59
250704/077-116 	15 21 18.2	+09 33 22	5  	10138	A2063 	-0.75	291	   	     	     	15 23 43.4	+09 22 46
250740/077-119 	15 22 03.2	+08 32 59	3B 	10997	A2063 	 0.63	346	   	     	     	15 24 29.3	+08 22 26
9838/049-158   	15 22 44.9	+07 19 38	2  	10376	A2063 	-0.37	526	   	     	     	15 25 12.1	+07 09 07
9844/049-162   	15 23 26.0	+07 59 39	3B 	10198	A2063 	-0.65	434	   	     	     	15 25 52.5	+07 49 11
250803/077-126 	15 23 45.4	+09 04 58	7  	10780	A2063 	 0.28	355	   	     	     	15 26 10.9	+08 54 31
250896/077-135 	15 26 56.0	+09 15 51	5  	10086	A2063 	-0.83	398	   	     	     	15 29 21.3	+09 05 35
251371/108-018 	15 55 20.7	+18 10 23	5  	 9509	A2151 	-2.22	281	306	 1.30	 0.04	15 57 35.7	+18 01 49
251744/108-023 	15 55 34.5	+16 30 18	4  	11584	A2147 	 1.21	241	   	     	     	15 57 51.4	+16 21 45
251400/108-031 	15 56 36.3	+15 07 58	4  	10685	A2147 	 0.12	401	   	 1.15	 0.29	15 58 54.6	+14 59 28
10121/108-036  	15 57 31.8	+18 56 37	4B 	 8919	A2151 	-3.04	340	353	     	     	15 59 45.9	+18 48 11
251424/108-037 	15 57 41.4	+15 43 59	4  	10202	A2147 	-0.47	534	594	     	     	15 59 59.0	+15 35 34
251503         	15 57 49.0	+15 10 06	5  	10251	A2147 	-0.41	279	   	     	     	16 00 07.2	+15 01 41
251434/I1155   	15 58 18.3	+15 49 44	5  	10796	A2147 	 0.25	205	232	     	     	16 00 35.8	+15 41 21
251436/108-043 	15 58 27.4	+16 51 26	4  	10749	A2147 	 0.20	227	244	     	     	16 00 43.7	+16 43 03
251445/I1157   	15 58 38.7	+15 40 08	4  	11680	A2147 	 1.33	281	   	     	     	16 00 56.3	+15 31 46
251509         	15 58 54.9	+15 53 51	6  	11534	A2147 	 1.15	364	402	     	     	16 01 12.3	+15 45 30
10131/F1975    	15 58 55.4	+14 13 00	3  	11775	A2147 	 1.45	367	   	 1.36	 0.55	16 01 14.6	+14 04 39
251510         	15 58 56.6	+15 49 54	3  	10849	A2147 	 0.32	369	   	     	     	16 01 14.0	+15 41 33
10166/223-033  	16 02 06.0	+40 07 00	3B 	 9271	A2199 	 0.33	340	682	 1.20	 0.17	16 03 50.8	+39 58 50
10165/N6040B   	16 02 11.9	+17 53 18	6B 	12661	A2151 	 2.19	485	   	     	     	16 04 26.9	+17 45 10
260091/108-098 	16 02 15.0	+17 36 36	4  	11981	A2151 	 1.24	274	295	 1.96	 0.04	16 04 30.3	+17 28 28
260112/108-108 	16 02 30.5	+17 35 14	3  	10725	A2151 	-0.51	221	262	 0.84	 0.33	16 04 45.8	+17 27 07
260116/108-107a	16 02 32.7	+17 01 23	3B 	13009	A2152 	-0.01	396	438	 1.06	 0.55	16 04 48.7	+16 53 16
260953         	16 02 42.1	+16 56 53	3  	13007	A2152 	-0.02	407	   	     	     	16 04 58.2	+16 48 47
10177/N6045    	16 02 55.9	+17 53 40	3  	10088	A2151 	-1.41	548	   	 1.78	     	16 05 10.9	+17 45 34
10180/I1173    	16 02 57.3	+17 33 40	3  	10511	A2151 	-0.81	350	   	     	     	16 05 12.7	+17 25 35
260146         	16 03 00.0	+17 40 27	3  	12298	A2151 	 1.69	325	   	     	     	16 05 15.2	+17 32 22
10190          	16 03 13.6	+17 49 45	5  	11163	A2151 	 0.10	257	312	 1.51	 0.64	16 05 28.6	+17 41 41
10192/260184   	16 03 27.0	+17 56 06	3  	10293	A2151 	-1.12	385	   	     	     	16 05 41.9	+17 48 02
10193/108-132N 	16 03 27.2	+16 19 47	4  	13156	A2152 	 0.19	514	643	     	     	16 05 43.9	+16 11 43
10195/I1190    	16 03 40.5	+18 21 28	3  	10805	A2151 	-0.40	536	   	 2.08	 0.57	16 05 54.9	+18 13 25
260208/108-140 	16 03 51.8	+18 48 16	5  	11628	A2151 	 0.75	433	489	     	     	16 06 05.7	+18 40 14
260226/I1192   	16 04 18.6	+17 54 33	2  	11459	A2151 	 0.51	581	   	     	     	16 06 33.5	+17 46 33
260245         	16 04 43.5	+17 59 31	3  	11566	A2151 	 0.66	210	   	     	     	16 06 58.3	+17 51 32
260246/108-155 	16 04 45.4	+15 43 36	5  	11903	A2152 	-1.56	252	   	     	     	16 07 02.7	+15 35 37
260274/108-157 	16 05 54.2	+16 54 31	5  	11611	A2152 	-1.97	490	   	     	     	16 08 10.2	+16 46 37
260284/108-158 	16 06 29.6	+16 53 30	4  	10690	A2152 	-3.26	434	   	 1.34	 0.14	16 08 45.6	+16 45 38
260302/108-163 	16 08 35.6	+17 11 19	5  	10231	A2151 	-1.21	354	348	 1.91	 0.40	16 10 51.1	+17 03 35
10287/079-083  	16 11 45.1	+14 24 17	3B 	 9182	A2152 	-5.37	285	353	 0.90	 0.34	16 14 03.6	+14 16 46
260350/167-056 	16 12 29.0	+30 06 02	5  	10233	A2162 	 1.78	353	374	 2.60	 0.23	16 14 28.2	+29 58 33
10362/224-008  	16 21 13.1	+39 54 20	3B 	 9660	A2199 	 0.81	420	476	 1.39	 0.30	16 22 56.1	+39 47 25
260481/224-011 	16 21 44.0	+41 46 10	3  	 8207	A2197 	-1.74	290	   	 0.76	 0.38	16 23 23.5	+41 39 17
260502/M+734020	16 23 14.0	+41 09 52	3  	 9967	A2197 	 1.46	362	   	 1.25	 0.18	16 24 54.5	+41 03 05
260506/N6145   	16 23 21.7	+41 03 31	3  	 8617	A2197 	-0.99	371	   	 1.41	 0.03	16 25 02.4	+40 56 44
260513/N6150A  	16 24 09.6	+40 36 03	2  	 9536	A2197 	 0.68	374	   	     	     	16 25 51.1	+40 29 20
10389          	16 24 53.2	+39 14 14	3B 	10592	A2199 	 1.94	337	   	 1.45	 0.80	16 26 37.1	+39 07 34
260532         	16 25 14.6	+39 26 30	3  	 8938	A2199 	-0.07	309	   	     	     	16 26 58.1	+39 19 51
260538/224-028 	16 25 37.9	+39 13 17	3  	 9924	A2199 	 1.13	350	   	 1.98	 0.23	16 27 21.7	+39 06 39
260543         	16 25 53.3	+39 22 38	7  	10337	A2199 	 1.63	195	   	 0.95	 0.25	16 27 36.8	+39 16 02
260927         	16 26 17.5	+40 36 33	2  	10093	A2197 	 1.69	406	   	 0.77	 0.44	16 27 58.7	+40 29 58
260561/224-036 	16 26 31.9	+40 25 22	3  	 9950	A2199 	 1.16	133	   	 0.39	 0.29	16 28 13.5	+40 18 48
260572         	16 26 42.1	+39 51 02	3  	 9391	A2199 	 0.48	374	   	     	     	16 28 24.7	+39 44 29
260571/224-037 	16 26 45.8	+41 16 57	3  	 9910	A2197 	 1.36	 78	   	     	     	16 28 25.7	+41 10 24
260599         	16 27 00.0	+39 35 00	3  	 8125	A2199 	-1.06	 76	   	     	     	16 28 43.0	+39 28 28
10415/224-046  	16 27 24.0	+41 24 00	3  	 9570	A2197 	 0.74	 63	   	 0.10	 0.05	16 29 03.6	+41 17 29
260928         	16 27 25.0	+40 42 05	5  	 9877	A2197 	 1.30	251	   	     	     	16 29 06.0	+40 35 35
260929         	16 27 26.1	+40 46 37	3  	 8988	A2197 	-0.32	336	   	 1.94	 0.06	16 29 06.9	+40 40 07
260622/M+734081	16 27 30.2	+40 57 58	3  	 9854	A2197 	 1.26	387	   	 2.24	 0.02	16 29 10.7	+40 51 28
260586         	16 27 32.1	+39 31 06	3  	 8454	A2199 	-0.66	514	   	     	     	16 29 15.2	+39 24 36
260930         	16 27 34.1	+40 22 24	4  	 8498	A2199 	-0.61	272	   	 1.58	 1.18	16 29 15.6	+40 15 54
10417          	16 28 00.2	+40 47 45	4  	 9146	A2197 	-0.03	392	   	 1.09	 1.08	16 29 40.9	+40 41 17
10420/224-048  	16 28 08.9	+39 52 22	3B 	 9561	A2199 	 0.69	282	   	 1.47	 1.28	16 29 51.3	+39 45 55
10423/M+734088 	16 28 15.7	+41 42 48	3  	 9319	A2197 	 0.29	330	   	 1.58	 0.06	16 29 54.7	+41 36 21
260640/224-055 	16 28 45.8	+39 43 58	2  	 9126	A2199 	 0.16	545	   	 2.34	 0.06	16 30 28.4	+39 37 33
260642         	16 28 50.0	+39 29 27	3  	 9133	A2199 	 0.17	123	   	     	     	16 30 33.0	+39 23 02
10432          	16 28 59.7	+41 19 00	3  	 9746	A2197 	 1.06	293	   	 1.07	 0.21	16 30 39.3	+41 12 36
10427/224-054  	16 29 18.0	+41 15 00	5B 	 8868	A2197 	-0.53	 88	140	     	     	16 30 57.7	+41 08 37
260934/F2041   	16 29 24.0	+39 32 12	5  	18817	A2199 	11.93	494	   	 1.73	 0.64	16 31 06.9	+39 25 50
260659/N6184   	16 29 53.8	+40 40 24	2  	 9300	A2197 	 0.25	432	   	 0.90	 1.37	16 31 34.6	+40 34 04
10450          	16 32 13.0	+36 17 47	5  	 9800	A2199 	 0.98	299	379	 0.13	 0.47	16 34 01.3	+36 11 36
10459/F2048    	16 33 28.6	+41 05 32	5  	 9016	A2197 	-0.27	447	473	 2.78	 0.19	16 35 08.2	+40 59 26
10469/N6195    	16 34 48.0	+39 08 00	3  	 9036	A2199 	 0.05	476	538	 1.82	 0.06	16 36 31.1	+39 02 00
10485          	16 36 12.0	+39 21 00	3  	 9283	A2199 	 0.35	437	   	 1.51	 0.86	16 37 54.6	+39 15 05
10488/224-080  	16 36 30.0	+40 01 00	2  	 8823	A2199 	-0.21	507	   	 1.85	 0.02	16 38 11.4	+39 55 06
260714/224-081 	16 36 34.4	+40 15 09	3  	 9126	A2199 	 0.16	433	   	     	     	16 38 15.3	+40 09 16
10504/197-003  	16 38 31.3	+33 46 37	2  	 9274	Field 	     	501	490	 1.57	 0.11	16 40 23.2	+33 40 52
10550          	16 45 24.0	+40 13 00	5  	 9038	A2199 	 0.05	328	349	 1.44	 0.74	16 47 04.3	+40 07 43
10661          	16 59 32.8	+28 00 33	5  	10184	Field 	     	408	424	 1.29	 0.40	17 01 32.3	+27 56 16
10716/F2111    	17 05 48.0	+30 23 40	5  	 9673	Field 	     	371	407	 1.66	 0.54	17 07 43.7	+30 19 49
10752/N6314    	17 10 33.1	+23 19 45	2  	 6614	Field 	     	468	494	 1.11	 0.17	17 12 38.7	+23 16 15
10826/I1255    	17 20 46.6	+12 44 24	3  	 9110	Field 	     	520	509	 1.84	 0.29	17 23 05.5	+12 41 38
10981/083-021  	17 45 16.4	+09 33 41	4  	10840	Field 	     	485	500	 1.73	 0.06	17 47 39.0	+09 32 42
11091/199-034  	17 58 55.7	+35 00 33	5  	 7130	Field 	     	221	272	 1.61	 0.16	18 00 42.7	+35 00 32
11348/N6701    	18 42 35.5	+60 36 08	1B 	 3823	Field 	     	 66	   	     	     	18 43 12.7	+60 39 15
11413/280-019  	19 11 18.0	+53 06 00	5  	 8059	Field 	     	224	203	     	     	19 12 27.0	+53 11 09
11429/N6792    	19 19 22.1	+43 02 15	3B 	 4463	Field 	     	558	523	 1.35	 0.22	19 20 57.2	+43 07 58
11455/341-028  	19 30 35.0	+72 00 19	5  	 5285	Field 	     	565	618	 2.11	 0.40	19 29 58.3	+72 06 44
11579/M+052026 	20 28 19.5	-00 49 11	5  	 5622	Field 	     	372	414	 1.94	 0.04	20 30 54.0	-00 39 02
11633/N6969    	20 45 59.8	+07 33 13	1  	 4390	Field 	     	463	432	 0.70	 0.53	20 48 26.9	+07 44 21
11809/402-022  	21 44 09.6	+08 03 50	3  	10541	Field 	     	583	573	 2.00	 0.11	21 46 38.1	+08 17 44
11810/I1401    	21 44 26.1	+01 28 40	5  	 4375	Field 	     	338	367	 2.08	 0.11	21 46 58.8	+01 42 35
12173/514-103  	22 41 35.8	+38 06 43	5  	 4462	Field 	     	353	366	 1.67	 0.17	22 43 52.2	+38 22 29
12631/476-054  	23 27 32.5	+26 48 20	3  	 8833	A2634 	-0.09	472	466	 1.48	 0.09	23 30 01.7	+27 04 53
12678/476-072  	23 32 20.0	+26 01 13	3  	 8608	A2634 	-0.43	501	516	 1.62	 0.41	23 34 50.0	+26 17 48
330564/476-075 	23 33 19.9	+26 43 07	3  	 6779	A2634 	-3.20	302	319	 1.61	 0.08	23 35 49.9	+26 59 43
12701/M+555040 	23 33 56.6	+27 42 17	5  	 8512	A2634 	-0.58	316	379	 1.55	 0.43	23 36 26.6	+27 58 53
330581         	23 34 26.4	+27 01 46	3  	 9524	A2634 	 0.95	269	336	 1.73	 0.26	23 36 56.5	+27 18 23
330598/476-080 	23 34 56.2	+26 48 13	3  	 9602	A2634 	 1.07	296	385	 1.87	 0.05	23 37 26.4	+27 04 50
330630/476-083 	23 35 29.8	+26 10 57	4  	 8793	A2634 	-0.15	213	284	 0.64	 0.09	23 38 00.2	+26 27 34
330633         	23 35 34.6	+26 29 33	3  	 8404	A2634 	-0.74	302	357	     	     	23 38 05.0	+26 46 10
12712/N7718    	23 35 35.9	+25 26 07	3  	 9094	A2634 	 0.30	437	478	 2.44	 0.63	23 38 06.4	+25 42 44
330712         	23 36 35.9	+26 21 39	3  	11338	A2634 	 3.70	197	222	 1.82	 0.44	23 39 06.5	+26 38 16
12721/476-098  	23 36 41.4	+26 50 17	3B 	 7258	A2634 	-2.48	402	405	 1.28	 0.74	23 39 11.9	+27 06 54
330721         	23 36 41.5	+26 52 58	3  	 7256	A2634 	-2.48	278	411	 1.25	 0.04	23 39 12.0	+27 09 35
330765/476-111 	23 38 35.1	+24 53 40	5  	11535	A2634 	 3.99	479	506	 3.13	 0.25	23 41 06.1	+25 10 18
330768/476-112 	23 38 45.0	+25 16 30	3  	 9052	A2634 	 0.24	407	448	 1.29	 0.27	23 41 16.0	+25 33 08
330778/476-116 	23 39 51.5	+27 03 17	3  	 7089	A2634 	-2.73	399	330	 1.45	 0.20	23 42 22.4	+27 19 56
331095/F2526   	23 40 00.1	+27 46 45	5  	 6827	A2634 	-3.13	211	250	 1.25	 0.13	23 42 31.0	+28 03 24
330781/476-117B	23 40 11.0	+26 50 40	5  	 7374	A2634 	-2.30	289	306	 1.44	 0.22	23 42 42.0	+27 07 19
12746/476-119  	23 40 15.1	+27 01 23	5  	 7093	A2634 	-2.73	420	456	 1.63	 0.04	23 42 46.1	+27 18 02
12755/498-004  	23 41 18.5	+28 03 50	3B 	 8459	A2634 	-0.66	505	508	 1.25	 0.30	23 43 49.5	+28 20 29
331185/F2532   	23 41 42.1	+27 59 47	5  	 6800	A2634 	-3.17	151	223	     	     	23 44 13.2	+28 16 26
12772/N7747    	23 43 00.7	+27 04 54	3B 	 7341	A2666 	-0.91	520	533	 1.01	 0.26	23 45 32.1	+27 21 34
330918/498-012 	23 44 52.4	+28 06 59	4  	 8690	A2634 	-0.31	343	383	     	     	23 47 24.0	+28 23 39
330923/477-006 	23 45 12.3	+27 09 42	5  	 8956	A2634 	 0.09	365	418	 1.10	 0.15	23 47 44.0	+27 26 22
330925         	23 45 30.1	+27 21 47	5  	 7960	A2666 	 0.39	331	367	 0.74	 1.89	23 48 01.9	+27 38 27
12792/477-013  	23 46 28.8	+26 31 29	3B 	11174	A2666 	 7.14	404	427	 1.45	 0.02	23 49 00.8	+26 48 10
12803/498-018  	23 48 02.1	+28 43 14	3  	 8604	A2666 	 1.74	466	489	 1.50	 1.39	23 50 34.1	+28 59 55
330958/477-020 	23 48 26.7	+26 57 01	3  	 6771	A2666 	-2.11	342	334	 1.34	 0.21	23 50 58.9	+27 13 42
330980/477-024 	23 49 26.0	+27 04 33	3  	 7783	A2666 	 0.01	292	327	 1.58	 0.04	23 51 58.4	+27 21 14
330992/477-027 	23 50 43.3	+27 26 55	3  	 7609	A2666 	-0.35	225	292	 0.80	 0.03	23 53 15.8	+27 43 37
330996/477-028 	23 51 15.0	+27 09 03	3  	 7622	A2666 	-0.32	347	370	 2.36	 0.06	23 53 47.6	+27 25 45
331013/478-003 	23 53 16.8	+26 34 44	2  	 7352	A2666 	-0.89	340	109	 0.95	 0.20	23 55 49.8	+26 51 26
331021/478-004 	23 54 00.9	+26 55 33	4  	 7562	A2666 	-0.45	313	327	 1.79	 0.99	23 56 34.0	+27 12 15

