#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:48:19 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:48:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/276/59/sample&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22760059
#Name: J/ApJS/276/59
#Title: The DiskMass Survey (DMS). XI. Full Ha sample (Swaters+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	creator=Swaters R.A.	    First author or institution
#INFO	cites=bibcode:2025ApJS..276...59S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/276/59	    Dataset landing page
#INFO	publication_date=2026-02-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJS_276_59_sample:
#Name: J/ApJS/276/59/sample
#Title: Halpha velocity field parameters (Table 3) and photometric data and inverse Tully-Fisher inclinations (Table 4)
#Column	UGC	(I5)	[16/12808] UGC galaxy identifier	[ucd=meta.id;meta.main]
#Column	Nobs	(I3)	Number of Halpha measurements for this galaxy (link to Table 7)	[ucd=meta.number]
#Column	N	(I3)	[25/393] Number	[ucd=meta.number]
#Column	sigMod	(F4.1)	[0/16.1] Extra error term, {sigma}_mod_ (see Equation 6)	[ucd=stat.error]
#Column	inc	(F4.1)	[14.5/47.5]? Inclination	[ucd=src.orbital.inclination]
#Column	e_inc	(F4.1)	[0.8/15]? inc uncertainty	[ucd=stat.error;src.orbital.inclination]
#Column	f_inc	(A1)	Flag on inc (1)	[ucd=meta.code]
#Column	phi0	(F5.1)	[8/374.1] Position angle of the major axis, {phi}_0_	[ucd=pos.posAng]
#Column	e_phi0	(F4.1)	[0.2/8] phi0 uncertainty	[ucd=stat.error;pos.posAng]
#Column	Vrot	(F5.1)	[6.6/211] Asymptotic rotation speed, V_rot_	[ucd=phys.veloc.rotat]
#Column	e_Vrot	(F4.1)	[0.4/12.2] Vrot uncertainty	[ucd=stat.error;phys.veloc.rotat]
#Column	hrot	(F4.1)	[0.1/38]? Rotation scale, h_rot_	[ucd=instr.scale]
#Column	e_hrot	(F4.1)	[0/5.1]? hrot uncertainty	[ucd=stat.error;instr.scale]
#Column	f_hrot	(A3)	Flag on hrot (2)	[ucd=meta.code]
#Column	Vsys	(F7.1)	[224.8/12794] Systemic velocity	[ucd=phys.veloc]
#Column	e_Vsys	(F4.1)	[0.3/4] Vsys uncertainty	[ucd=stat.error;phys.veloc]
#Column	Aphi	(F6.3)	[0.015/0.4] Asymetry measure, A_{phi}_, defined in Section 5.3	[ucd=src.morph.param]
#Column	Arc	(F6.3)	[0.016/0.8]? Asymmetry measure, A_RC_, defined in Section 5.3	[ucd=src.morph.param]
#Column	Note	(A3)	Note (s) (3)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Kmag	(F5.2)	[8.62/11.93] 2MASS K band magnitude (4)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	[0.01/0.23] Uncertainty on the Kmag	[ucd=stat.error;phot.mag;em.IR.K]
#Column	Dist	(F5.1)	[1.8/181.4] Distance (5)	[ucd=pos.distance]
#Column	e_Dist	(F4.1)	[2.5/2.5] Dist uncertainty	[ucd=stat.error;pos.distance]
#Column	Ak	(F5.2)	[-0.03/0.06] K-band extinction	[ucd=phys.absorption;em.IR.K]
#Column	Kcor	(F5.2)	[-0.1/0.01] K-correction	[ucd=arith.factor;phot.mag]
#Column	KMag	(F6.2)	[-26.07/-16.09] Absolute K band magnitude	[ucd=phys.magAbs;em.IR.K]
#Column	e_KMag	(F5.2)	[0.02/1.95] KMag uncertainty	[ucd=stat.error;phys.magAbs;em.IR.K]
#Column	iiTF	(F4.1)	[1.8/90] Inverse Tully-Fisher inclination, i_iTF_	[ucd=src.orbital.inclination]
#Column	e_iiTF	(F4.1)	[0/4.3] iiTF uncertainty	[ucd=stat.error;src.orbital.inclination]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
UGC	Nobs	N	sigMod	inc	e_inc	f_inc	phi0	e_phi0	Vrot	e_Vrot	hrot	e_hrot	f_hrot	Vsys	e_Vsys	Aphi	Arc	Note	Simbad	NED	LEDA	Kmag	e_Kmag	Dist	e_Dist	Ak	Kcor	KMag	e_KMag	iiTF	e_iiTF	_RA	_DE
 6616	 45	 45	 3.5	37.5	11.0	1	 74.4	 2.4	 34.9	 2.1	 8.4	 1.6	   	 1160.5	 1.4	 0.104	 0.101	5  	Simbad	NED	LEDA	10.92	 0.05	 20.4	 2.5	 0.00	-0.01	-20.65	 0.34	21.8	 2.0	174.83893	+58.26861
 6641	134	134	 2.8	23.7	 5.6	 	 10.1	 0.6	 68.4	 1.1	11.8	 0.6	   	 3491.6	 0.7	 0.052	 0.116	   	Simbad	NED	LEDA	10.78	 0.17	 53.1	 2.5	 0.01	-0.03	-22.89	 0.43	24.4	 1.8	175.19425	+17.79634
 6693	146	146	 4.4	22.1	 5.4	 	159.2	 0.6	 85.1	 1.1	 9.9	 0.5	   	 6849.2	 0.8	 0.048	 0.107	2  	Simbad	NED	LEDA	10.05	 0.02	 94.8	 2.5	 0.01	-0.06	-24.90	 0.07	17.9	 0.9	175.88100	+22.72541
 6813	233	231	 1.8	23.0	10.4	 	164.2	 1.0	 17.4	 0.5	 9.4	 0.7	   	  965.2	 0.3	 0.120	 0.193	1  	Simbad	NED	LEDA	10.09	 0.10	 18.1	 2.5	 0.00	-0.01	-21.21	 0.47	 9.2	 0.7	177.66225	+55.35386
 6903	106	106	 3.4	    	    	l	130.4	 0.8	 92.1	 4.7	37.9	 2.9	   	 1899.6	 1.8	 0.034	 0.071	   	Simbad	NED	LEDA	10.08	 0.05	 28.9	 2.5	 0.01	-0.01	-22.24	 0.19	40.8	 3.6	178.90361	+01.23734
 6918	300	299	 3.1	23.5	 2.3	 	190.7	 0.3	 92.7	 0.5	 8.6	 0.3	   	 1113.9	 0.4	 0.033	 0.053	   	Simbad	NED	LEDA	 8.77	 0.01	 21.4	 2.5	 0.01	-0.01	-22.89	 0.25	34.0	 2.2	179.11727	+55.12524
 6995	151	150	 4.5	    	    	l	175.4	 1.2	 40.3	 2.1	19.9	 1.9	   	 1262.1	 1.2	 0.066	 0.130	   	Simbad	NED	LEDA	10.14	 0.02	 24.9	 2.5	 0.01	-0.01	-21.87	 0.25	18.3	 1.4	180.13681	+20.07388
 7020	141	141	 5.1	38.5	 2.0	 	358.3	 0.5	136.5	 1.2	 5.5	 0.5	   	 6137.6	 0.9	 0.043	 0.045	2  	Simbad	NED	LEDA	10.12	 0.02	 85.7	 2.5	 0.01	-0.05	-24.60	 0.06	32.3	 1.8	180.65222	+41.05420
 7025	141	141	 2.3	37.8	 1.5	 	285.7	 0.4	148.4	 0.7	 5.9	 0.4	   	 3435.6	 0.6	 0.029	 0.035	   	Simbad	NED	LEDA	 9.19	 0.01	 55.3	 2.5	 0.01	-0.03	-24.56	 0.10	35.9	 2.1	180.71119	+48.63619
 7163	 86	 86	 3.4	    	    	l	363.9	 0.6	 88.0	 1.0	 5.0	 0.0	   	 6534.4	 0.8	 0.045	 0.032	1  	Simbad	NED	LEDA	 9.86	 0.03	 86.9	 2.5	 0.01	-0.05	-24.90	 0.11	18.6	 1.0	182.57605	+26.43072
 7169	210	208	 8.4	38.7	 3.3	 	323.9	 0.7	 82.3	 1.3	 4.9	 0.7	   	 2175.7	 0.9	 0.090	 0.061	2  	Simbad	NED	LEDA	 9.59	 0.01	 35.0	 2.5	 0.01	-0.02	-23.16	 0.16	27.6	 1.6	182.65630	+16.03293
 7244	118	118	 3.7	    	    	l	152.0	 1.4	 37.0	 1.9	18.8	 1.9	   	 4357.4	 1.0	 0.097	 0.143	   	Simbad	NED	LEDA	11.77	 0.12	 68.4	 2.5	 0.01	-0.04	-22.45	 0.24	14.4	 1.1	183.57522	+59.61529
 7414	145	145	 6.6	45.8	 5.9	 	251.6	 1.1	 66.7	 4.1	19.3	 2.2	   	  224.8	 1.7	 0.090	 0.093	2,4	Simbad	NED	LEDA	10.24	 0.04	  1.8	 2.5	 0.01	 0.00	-16.09	 1.95	90.0	 0.0	185.41895	+11.49993
 7416	153	149	 2.8	27.7	 3.4	 	 67.0	 0.4	 77.1	 0.9	 8.9	 0.5	   	 6901.0	 0.6	 0.042	 0.047	2  	Simbad	NED	LEDA	10.20	 0.04	 97.4	 2.5	 0.01	-0.06	-24.81	 0.13	16.6	 0.9	185.41323	+40.84888
 7541	163	163	 3.0	15.8	 8.9	 	277.3	 0.6	 54.7	 0.8	11.2	 0.6	   	 1394.9	 0.5	 0.052	 0.039	   	Simbad	NED	LEDA	 9.89	 0.03	 24.8	 2.5	 0.01	-0.01	-22.10	 0.27	23.8	 1.5	186.69469	+07.91901
 7768	145	145	 7.7	    	    	l	230.7	 1.7	 36.5	 2.0	 9.7	 1.5	   	 1400.6	 1.2	 0.164	 0.341	3  	Simbad	NED	LEDA	10.28	 0.05	 25.9	 2.5	 0.01	-0.01	-21.80	 0.29	16.8	 1.4	189.03390	+19.32259
 7861	173	172	 2.5	    	    	l	304.0	 1.1	 23.4	 0.6	 9.1	 0.7	   	  606.7	 0.4	 0.104	 0.111	1  	Simbad	NED	LEDA	 9.76	 0.01	  8.7	 2.5	 0.01	-0.01	-19.95	 0.56	17.3	 1.5	190.46963	+41.27392
 7917	124	124	 1.3	33.3	 1.8	 	218.5	 0.3	133.5	 1.2	15.3	 0.5	   	 6987.3	 0.8	 0.020	 0.037	2  	Simbad	NED	LEDA	 9.64	 0.01	 97.6	 2.5	 0.01	-0.06	-25.37	 0.05	25.4	 1.3	191.10914	+37.12121
 8099	122	119	 3.1	30.1	 2.9	 	 98.0	 0.4	113.3	 1.1	 6.9	 0.4	   	 4656.1	 0.8	 0.035	 0.034	1  	Simbad	NED	LEDA	 9.44	 0.02	 67.8	 2.5	 0.01	-0.04	-24.76	 0.10	25.1	 1.4	194.78701	+37.31041
 8196	111	110	 4.1	    	    	l	 86.7	 0.7	 69.6	 1.1	 4.2	 0.7	   	 8326.9	 0.8	 0.061	 0.068	1  	Simbad	NED	LEDA	 9.96	 0.02	117.1	 2.5	 0.01	-0.07	-25.46	 0.04	12.6	 0.7	196.51853	+55.65603
 8230	 98	 98	 3.0	14.9	 7.1	 	 67.1	 0.4	146.4	 1.8	 8.8	 0.5	   	 7168.2	 1.2	 0.032	 0.056	   	Simbad	NED	LEDA	10.35	 0.03	101.6	 2.5	 0.01	-0.06	-24.75	 0.09	33.5	 1.9	197.17387	+52.77424
 8319	129	128	 5.0	33.4	 2.6	 	139.0	 0.5	132.3	 1.2	 0.2	 0.0	   	 7480.5	 0.9	 0.046	 0.080	   	Simbad	NED	LEDA	10.61	 0.02	105.5	 2.5	 0.01	-0.06	-24.57	 0.06	31.4	 1.7	198.63525	+30.70579
 8447	138	138	 2.2	23.3	 4.7	 	 50.5	 0.5	 60.1	 0.7	 8.8	 0.5	   	 5545.6	 0.5	 0.050	 0.115	   	Simbad	NED	LEDA	10.85	 0.03	 78.1	 2.5	 0.01	-0.04	-23.67	 0.11	17.3	 0.9	201.61887	+36.01026
 8573	170	170	 5.2	    	    	l	 79.1	 0.7	 64.2	 1.0	 6.3	 0.6	   	 6855.3	 0.7	 0.074	 0.092	2  	Simbad	NED	LEDA	 9.57	 0.02	 91.4	 2.5	 0.01	-0.06	-25.30	 0.07	12.1	 0.6	203.88279	+13.67618
 8611	 41	 41	 6.2	30.2	13.5	 	112.0	 2.0	 63.8	 2.8	10.2	 1.5	   	 2635.3	 2.1	 0.080	 0.083	5  	Simbad	NED	LEDA	10.44	 0.07	 41.8	 2.5	 0.01	-0.02	-22.70	 0.20	23.8	 1.7	204.20550	+44.88147
 8740	 77	 77	 2.5	28.2	 2.9	 	123.1	 0.4	164.7	 1.5	11.7	 1.0	   	 7036.1	 1.0	 0.023	 0.033	5  	Simbad	NED	LEDA	 9.46	 0.02	 92.0	 2.5	 0.01	-0.06	-25.42	 0.08	31.5	 1.8	207.41159	+04.23829
 8768	169	169	 2.3	31.0	 3.9	 	 96.6	 0.6	 36.5	 0.6	 6.4	 0.8	   	 4360.0	 0.4	 0.060	 0.030	2  	Simbad	NED	LEDA	 9.83	 0.02	 59.5	 2.5	 0.02	-0.04	-24.10	 0.13	 9.3	 0.5	208.01740	-02.20661
 8775	124	124	 2.0	    	    	l	 22.1	 0.7	 44.1	 0.7	 8.2	 0.5	   	 4055.3	 0.5	 0.056	 0.062	   	Simbad	NED	LEDA	10.57	 0.06	 63.2	 2.5	 0.00	-0.03	-23.47	 0.19	13.2	 0.7	207.94685	+50.97832
 8909	 33	 33	 3.2	47.1	 5.3	 	235.4	 1.5	 61.3	 2.1	 7.0	 1.4	   	 1626.8	 1.4	 0.050	 0.123	5  	Simbad	NED	LEDA	11.42	 0.15	 27.1	 2.5	 0.01	-0.01	-20.76	 0.49	39.3	 3.8	209.65790	+60.79681
 9177	130	130	 2.3	31.9	 2.2	 	241.7	 0.4	133.8	 0.9	 6.8	 0.4	   	 8862.2	 0.7	 0.032	 0.059	   	Simbad	NED	LEDA	11.04	 0.07	128.3	 2.5	 0.01	-0.07	-24.58	 0.13	31.7	 1.8	215.12704	+10.43209
 9216	126	125	 2.1	31.4	 2.8	 	300.7	 0.5	104.9	 1.1	11.6	 0.5	   	 5518.4	 0.7	 0.032	 0.070	   	Simbad	NED	LEDA	10.99	 0.03	 79.3	 2.5	 0.00	-0.04	-23.56	 0.10	32.3	 1.8	215.73550	+40.41715
 9317	113	113	 3.2	    	    	l	352.0	 2.1	 18.2	 1.8	14.5	 2.7	   	 4422.4	 0.9	 0.146	 0.185	   	Simbad	NED	LEDA	11.36	 0.03	 62.8	 2.5	 0.01	-0.04	-22.67	 0.10	 6.7	 0.7	217.54625	+27.53155
 9318	 77	 74	 7.1	34.4	 4.8	 	111.3	 0.9	149.1	 3.1	 5.8	 0.6	   	 3560.7	 2.3	 0.058	 0.099	   	Simbad	NED	LEDA	 9.16	 0.03	 53.0	 2.5	 0.01	-0.03	-24.50	 0.16	36.7	 2.4	217.54341	+31.21544
 9406	120	119	 4.9	    	    	l	136.1	 4.1	 12.9	 1.9	13.4	 5.1	   	 2282.0	 1.2	 0.326	 0.419	5  	Simbad	NED	LEDA	10.64	 0.03	 35.4	 2.5	 0.01	-0.02	-22.13	 0.18	 5.4	 0.8	219.04646	+48.58453
 9505	114	114	 6.6	23.1	 5.5	 	224.9	 0.6	112.4	 1.5	 0.1	 0.0	   	 4403.5	 1.2	 0.057	 0.032	2  	Simbad	NED	LEDA	 9.95	 0.01	 65.4	 2.5	 0.00	-0.04	-24.16	 0.09	29.4	 1.6	221.33187	+38.73121
 9544	 61	 59	16.1	    	    	l	123.9	 2.1	 95.4	 5.7	 2.2	 2.5	   	10180.1	 3.9	 0.145	 0.104	   	Simbad	NED	LEDA	10.30	 0.05	145.0	 2.5	 0.01	-0.08	-25.60	 0.12	16.8	 1.4	222.39927	+25.38134
 9564	164	164	 4.0	42.3	 2.0	 	109.4	 0.5	 85.2	 1.0	 9.6	 0.5	   	 1959.1	 0.7	 0.043	 0.055	   	Simbad	NED	LEDA	 9.63	 0.06	 26.1	 2.5	 0.03	-0.02	-22.50	 0.31	34.6	 2.4	223.03314	-02.52975
 9569	125	125	 5.7	47.4	 3.8	 	315.7	 1.0	 69.4	 2.4	15.2	 1.2	   	 2470.8	 1.5	 0.069	 0.123	1,4	Simbad	NED	LEDA	11.32	 0.17	 38.0	 2.5	 0.01	-0.02	-21.61	 0.47	35.3	 3.2	222.99919	+43.72087
 9774	198	194	 4.8	    	    	l	316.2	 0.4	121.4	 1.0	 4.1	 0.4	   	 5392.6	 0.8	 0.043	 0.064	1  	Simbad	NED	LEDA	10.18	 0.02	 76.7	 2.5	 0.01	-0.04	-24.30	 0.08	30.8	 1.7	228.39240	+41.95877
 9823	153	153	 4.0	14.5	 7.6	 	110.5	 0.5	 75.0	 0.8	 5.0	 0.6	   	 5571.0	 0.6	 0.053	 0.053	   	Simbad	NED	LEDA	10.16	 0.08	 78.6	 2.5	 0.01	-0.04	-24.37	 0.22	18.1	 1.0	230.30933	+41.72594
 9837	329	325	 3.7	28.8	 2.9	 	313.4	 0.4	 77.1	 0.9	15.0	 0.5	   	 2658.7	 0.6	 0.047	 0.057	   	Simbad	NED	LEDA	10.61	 0.10	 41.7	 2.5	 0.01	-0.02	-22.52	 0.29	30.7	 2.0	230.96556	+58.05312
 9896	129	127	 1.8	28.4	 2.6	 	331.9	 0.4	118.0	 0.7	 7.6	 0.3	   	 6477.6	 0.6	 0.028	 0.049	   	Simbad	NED	LEDA	10.59	 0.04	 92.8	 2.5	 0.01	-0.05	-24.31	 0.11	29.7	 1.6	232.93840	+67.55630
 9908	155	154	 2.6	18.0	 5.8	 	214.4	 0.5	 59.5	 0.6	 6.0	 0.4	   	 1898.4	 0.4	 0.046	 0.083	   	Simbad	NED	LEDA	 9.51	 0.04	 27.7	 2.5	 0.02	-0.01	-22.74	 0.26	21.9	 1.3	233.74389	+11.75026
 9965	 91	 91	 2.0	    	    	l	205.2	 0.8	 36.6	 0.8	 9.3	 0.8	   	 4525.9	 0.5	 0.058	 0.037	   	Simbad	NED	LEDA	10.63	 0.03	 62.8	 2.5	 0.02	-0.04	-23.41	 0.09	11.1	 0.6	235.02815	+20.68058
10020	185	185	 3.1	    	    	l	316.8	 1.2	 20.7	 0.7	10.1	 1.1	   	 2076.5	 0.4	 0.142	 0.138	   	Simbad	NED	LEDA	10.49	 0.23	 31.4	 2.5	 0.02	-0.02	-22.04	 0.62	 8.9	 0.8	236.43538	+20.56070
10076	113	112	 2.8	24.2	 6.4	 	257.1	 0.6	 57.1	 1.2	14.4	 1.0	   	 4867.6	 0.7	 0.047	 0.049	1  	Simbad	NED	LEDA	 9.87	 0.08	 68.0	 2.5	 0.02	-0.04	-24.35	 0.22	13.8	 0.8	238.23343	+21.10051
10104	205	205	 3.7	24.0	 2.9	 	203.5	 0.4	104.0	 0.9	 7.7	 0.7	   	 9844.2	 0.7	 0.038	 0.041	1  	Simbad	NED	LEDA	10.60	 0.02	128.8	 2.5	 0.01	-0.08	-25.05	 0.04	21.3	 1.1	239.36627	+30.05985
10149	109	108	 0.0	29.1	 2.3	 	 77.4	 0.4	179.2	 0.6	 6.3	 0.3	   	 9385.7	 0.5	 0.015	 0.035	1  	Simbad	NED	LEDA	10.18	 0.02	121.6	 2.5	 0.01	-0.07	-25.33	 0.05	35.6	 2.0	240.66895	+37.35949
10269	 28	 29	 7.3	30.7	 5.1	 	332.4	 0.9	211.0	 3.1	 1.2	 2.3	   	10233.1	 2.7	 0.030	 0.054	5  	Simbad	NED	LEDA	 9.84	 0.01	145.3	 2.5	 0.01	-0.08	-26.07	 0.02	34.6	 2.0	243.14676	+29.36505
10436	 99	 97	 0.0	25.3	 3.6	 	264.8	 0.5	109.3	 0.8	 4.9	 0.4	   	 9067.1	 0.7	 0.032	 0.034	   	Simbad	NED	LEDA	10.94	 0.03	117.6	 2.5	 0.00	-0.07	-24.49	 0.07	26.0	 1.4	247.76614	+41.15605
10443	176	174	 2.1	36.0	 1.5	 	 73.3	 0.3	 96.7	 0.5	 3.5	 0.6	   	 3353.4	 0.4	 0.031	 0.025	   	Simbad	NED	LEDA	10.17	 0.03	 50.5	 2.5	 0.00	-0.03	-23.38	 0.14	31.0	 1.8	248.02792	+58.43898
10458	 43	 43	 2.1	44.2	14.6	 	109.2	 2.6	 17.3	 2.3	12.5	 3.2	   	 5522.5	 1.0	 0.143	 0.159	   	Simbad	NED	LEDA	10.90	 0.02	 76.8	 2.5	 0.01	-0.04	-23.58	 0.07	 5.0	 0.7	248.67341	+46.39209
10537	 83	 79	 4.4	    	    	l	190.4	 0.9	 65.7	 1.2	 0.3	 0.0	   	 4449.8	 0.9	 0.068	 0.085	1  	Simbad	NED	LEDA	10.06	 0.02	 65.5	 2.5	 0.02	-0.04	-24.07	 0.10	17.1	 0.9	250.83437	+70.63255
10586	101	101	 1.5	    	    	l	  8.7	 0.9	 26.6	 0.5	 3.1	 0.7	   	 9382.7	 0.4	 0.065	 0.122	   	Simbad	NED	LEDA	10.71	 0.03	126.1	 2.5	 0.01	-0.07	-24.88	 0.08	 5.5	 0.3	252.70202	+45.40192
10897	204	246	 5.0	26.9	 6.4	 	114.8	 0.7	 53.8	 1.2	14.8	 1.0	   	 1318.6	 0.7	 0.079	 0.073	5  	Simbad	NED	LEDA	 9.15	 0.02	 21.6	 2.5	 0.01	-0.01	-22.54	 0.26	20.7	 1.3	262.40634	+75.70433
11014	130	129	 2.0	25.2	 3.0	 	  8.1	 0.5	102.6	 0.6	 3.4	 0.4	   	 4733.5	 0.5	 0.029	 0.042	   	Simbad	NED	LEDA	10.63	 0.01	 62.0	 2.5	 0.02	-0.04	-23.39	 0.09	33.0	 1.9	267.96973	+31.46185
11318	167	167	 3.1	    	    	l	346.3	 1.1	 21.2	 0.7	 2.5	 1.7	   	 5883.5	 0.4	 0.130	 0.129	2,4	Simbad	NED	LEDA	 9.91	 0.02	 82.1	 2.5	 0.02	-0.05	-24.72	 0.07	 4.6	 0.3	279.80101	+55.64177
12158	 69	 68	 3.7	    	    	l	210.1	 1.3	 44.3	 1.8	12.0	 1.4	   	 9296.2	 1.2	 0.071	 0.083	5  	Simbad	NED	LEDA	10.70	 0.05	130.4	 2.5	 0.02	-0.07	-24.97	 0.13	 9.1	 0.6	340.54387	+19.99691
12193	142	142	 3.6	24.1	 3.0	 	108.2	 0.4	124.2	 0.9	 5.0	 0.4	   	 9568.3	 0.7	 0.037	 0.034	1  	Simbad	NED	LEDA	10.40	 0.02	133.8	 2.5	 0.02	-0.08	-25.33	 0.05	23.8	 1.2	342.18397	+27.58369
12213	 99	 99	 3.5	38.4	 8.1	 	 67.7	 1.1	 49.8	 2.7	19.4	 2.0	   	 3204.9	 1.2	 0.067	 0.120	   	Simbad	NED	LEDA	11.93	 0.06	 40.7	 2.5	 0.03	-0.03	-21.18	 0.19	27.6	 2.3	342.76267	+07.29599
12270	168	167	 2.8	    	    	l	 27.6	 0.6	 43.4	 1.0	15.8	 0.9	   	 2115.6	 0.6	 0.059	      	   	Simbad	NED	LEDA	10.32	 0.03	 26.2	 2.5	 0.01	-0.02	-21.80	 0.23	20.2	 1.2	344.54187	+14.30902
12303	122	121	 3.8	41.0	 1.7	 	283.6	 0.4	135.8	 1.2	 2.7	 1.2	   	 7947.6	 0.9	 0.039	 0.019	   	Simbad	NED	LEDA	10.40	 0.02	113.7	 2.5	 0.02	-0.06	-24.96	 0.05	29.0	 1.6	345.20457	+26.74081
12391	394	393	 4.8	33.0	 2.2	 	 38.1	 0.4	 83.1	 0.7	11.1	 0.4	   	 4879.4	 0.5	 0.053	 0.102	   	Simbad	NED	LEDA	10.49	 0.04	 64.6	 2.5	 0.03	-0.04	-23.63	 0.14	24.5	 1.3	347.23823	+12.04802
12418	228	228	 4.2	32.2	 1.7	 	170.9	 0.3	143.0	 0.8	 6.6	 0.3	   	 4467.5	 0.6	 0.033	 0.055	   	Simbad	NED	LEDA	 9.34	 0.01	 58.0	 2.5	 0.02	-0.04	-24.53	 0.11	34.7	 2.0	348.20281	+12.67933
12438	171	170	 2.4	32.8	 3.3	 	 56.7	 0.5	 51.3	 0.7	11.6	 0.6	   	 4636.8	 0.4	 0.052	 0.057	   	Simbad	NED	LEDA	10.64	 0.04	 60.5	 2.5	 0.02	-0.04	-23.33	 0.14	16.0	 0.9	348.55257	+13.58182
12586	149	148	 2.9	33.0	 1.9	 	167.0	 0.4	121.4	 0.7	 2.9	 0.7	   	 4269.8	 0.6	 0.033	 0.040	   	Simbad	NED	LEDA	 9.54	 0.03	 53.8	 2.5	 0.03	-0.04	-24.18	 0.15	31.8	 1.8	351.20567	+15.27559
12702	123	122	 3.1	42.7	 1.7	 	225.8	 0.4	111.2	 1.0	 7.9	 0.6	   	 2561.2	 0.8	 0.034	 0.035	   	Simbad	NED	LEDA	 9.05	 0.07	 31.7	 2.5	 0.01	-0.02	-23.48	 0.31	35.2	 2.4	354.13107	+00.29727
12760	135	135	 2.5	    	    	l	129.6	 0.7	 38.9	 0.5	 2.8	 0.6	   	 1657.5	 0.4	 0.065	 0.059	   	Simbad	NED	LEDA	 8.63	 0.01	 20.9	 2.5	 0.02	-0.01	-23.01	 0.27	13.2	 0.8	356.06564	+10.76709
12808	125	121	13.9	    	    	l	303.3	 0.9	148.6	 2.9	 3.4	 0.8	   	 4209.7	 2.1	 0.080	 0.071	2,4	Simbad	NED	LEDA	 8.87	 0.01	 50.7	 2.5	-0.03	 0.01	-24.62	 0.12	35.3	 2.2	357.76656	+20.15043

