#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:55:17 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:55:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table1:
#Name: J/AJ/152/157/table1
#Title: *Galaxy sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Nvel	(I3)	Number of velocities (table2)	[ucd=meta.number]
#Column	Type	(I2)	[0/11] Numerical Hubble type (1)	[ucd=meta.note]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/12.8] Mean error on Dist	[ucd=stat.error]
#Column	f_Dist	(I1)	[1/5] Flag giving the distance method (2)	[ucd=meta.code]
#Column	i	(F4.1)	[15/90] Assumed inclination angle (3)	[ucd=src.orbital.inclination;pos.posAng]
#Column	e_i	(F4.1)	[1/10] Mean error on i	[ucd=stat.error]
#Column	L3.6	(F7.3)	[0/490] Total luminosity at 3.6{mu}m (L_[3.6]_)	[ucd=phys.luminosity;em.IR]
#Column	e_L3.6	(F7.3)	[0/6.2] Mean error on L3.6	[ucd=stat.error]
#Column	Reff	(F5.2)	[0/12.4] Effective radius (R_eff_) encompassing half of the total 3.6{mu}m luminosity	[ucd=phys.size.radius]
#Column	SBeff	(F8.2)	[5.3/3317.7] Effective 3.6{mu}m surface brightness ({Sigma}_eff_), i.e., the average surface brightness within R_eff_	[ucd=phot.mag.sb]
#Column	Rdisk	(F5.2)	[0.18/18.8] The 3.6{mu}m scale length of the stellar disk (R_d_)	[ucd=src.morph.scLength]
#Column	SBdisk	(F8.2)	[12/23813.9] Extrapolated 3.6{mu}m central surface brightness of the stellar disk ({Sigma}_d_)	[ucd=phot.mag.sb]
#Column	MHI	(F7.3)	[0.01/40.1] Total HI mass (M_HI_)	[ucd=phys.mass]
#Column	RHI	(F5.2)	[0/74.3] HI radius (R_HI_) (4)	[ucd=phys.size.radius]
#Column	Vflat	(F5.1)	[0/332] Asymptotically velocity along the flat part of the rotation curve (V_f_) (5)	[ucd=phys.veloc]
#Column	e_Vflat	(F5.1)	[0/20.7] Mean error on Vflat	[ucd=stat.error]
#Column	Qual	(I3)	[1/3] Rotation-curve quality flag (1=high, 2=medium, or 3=low) (6)	[ucd=meta.code.qual]
#Column	Ref	(a14)	References for HI and H{alpha} data; in refs.dat file	[ucd=pos.frame]
#Column	L16a	(I3)	Indicates a galaxy in the SPARC paper of Lelli et al. 2016 (Cat. J/ApJ/816/L14)	[ucd=meta.number]
#Column	L16b	(I3)	Indicates a galaxy in the SPARC paper of Lelli et al. 2016 (Cat. J/ApJ/827/L19)	[ucd=meta.number]
#Column	S4G	(I3)	Indicates an object from the Spitzer Survey for Stellar Structure in Galaxies (S4G; Sheth et al. 2010, Cat. J/PASP/122/1397)	[ucd=meta.number]
#Column	EDD	(I3)	Indicates an object from the Extragalactic Distance Database (EDD; Jacobs et al. 2009, Cat. J/PASP/138/332)	[ucd=meta.number]
#Column	RC	(A2)	Rotation Curve	[ucd=meta.ref.url]
#Column	SimbadName	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	Nvel	Type	Dist	e_Dist	f_Dist	i	e_i	L3.6	e_L3.6	Reff	SBeff	Rdisk	SBdisk	MHI	RHI	Vflat	e_Vflat	Qual	Ref	L16a	L16b	S4G	EDD	RC	SimbadName	NEDname	_RA	_DE
      63	NGC3953    	  8	 4	 18.00	 2.50	4	62.0	 1.0	141.301	  0.521	 6.17	  587.26	 4.89	 1999.08	  2.832	17.38	220.8	  6.1	  1	VS01,SV98     	  1	  1	  1	  0	RC	NGC3953      	NGC3953      	178.45428	+52.32654
      64	NGC3972    	 10	 4	 18.00	 2.50	4	77.0	 1.0	 14.353	  0.172	 3.73	  164.75	 2.18	 1587.93	  1.214	10.05	132.7	  2.9	  1	VS01,SV98     	  1	  1	  1	  0	RC	NGC3972      	NGC3972      	178.93799	+55.32067
      65	NGC3992    	  9	 4	 23.70	 2.30	5	56.0	 2.0	226.932	  0.836	 9.99	  360.44	 4.96	 3257.09	 16.599	32.75	241.0	  5.2	  1	VS01,SV98     	  1	  1	  1	  0	RC	NGC3992      	NGC3992      	179.39993	+53.37452
      66	NGC4010    	 12	 7	 18.00	 2.50	4	89.0	 1.0	 17.193	  0.190	 6.63	   14.75	 2.81	 2611.14	  2.832	17.59	125.8	  4.7	  2	VS01,SV98     	  1	  0	  1	  0	RC	NGC4010      	NGC4010      	179.65830	+47.26131
      67	NGC4013    	 36	 3	 18.00	 2.50	4	89.0	 1.0	 79.094	  0.364	 4.11	  746.16	 3.53	10205.40	  2.967	31.35	172.9	  7.1	  2	VS01,SV98     	  1	  0	  1	  0	RC	NGC4013      	NGC4013      	179.63090	+43.94702
      68	NGC4051    	  7	 4	 18.00	 2.50	4	49.0	 3.0	 95.268	  0.439	 6.87	  319.76	 4.65	 1320.78	  2.697	15.13	157.0	  5.5	  2	VS01,SV98     	  1	  1	  1	  0	RC	NGC4051      	NGC4051      	180.79036	+44.53126
      69	NGC4068    	  6	10	  4.37	 0.22	2	44.0	 6.0	  0.236	  0.005	 1.11	   30.26	 0.59	  261.11	  0.154	 3.18	  0.0	  0.0	  2	Le14          	  0	  1	  1	  1	RC	NGC4068      	NGC4068      	181.01360	+52.59057
      70	NGC4085    	  7	 5	 18.00	 2.50	4	82.0	 2.0	 21.724	  0.200	 2.00	  856.70	 1.65	 5021.46	  1.349	10.16	131.5	  4.8	  2	VS01,SV98     	  1	  1	  1	  0	RC	NGC4085      	NGC4085      	181.34460	+50.35275
      71	NGC4088    	 12	 4	 18.00	 2.50	4	69.0	 2.0	107.286	  0.494	 6.10	  457.96	 2.58	 3988.69	  8.226	22.25	171.7	  6.9	  1	VS01,SV98     	  1	  1	  1	  0	RC	NGC4088      	NGC4088      	181.39245	+50.53903
      72	NGC4100    	 24	 4	 18.00	 2.50	4	73.0	 2.0	 59.394	  0.328	 4.93	  388.00	 2.15	 8970.78	  3.102	18.06	158.2	  5.0	  1	VS01,SV98     	  1	  1	  1	  0	RC	NGC4100      	NGC4100      	181.53584	+49.58231
      73	NGC4138    	  7	 0	 18.00	 2.50	4	53.0	 3.0	 44.111	  0.284	 1.91	 1909.11	 1.51	 3952.12	  1.483	18.58	147.3	  5.9	  2	VS01,SV98     	  1	  1	  1	  0	RC	NGC4138      	NGC4138      	182.37412	+43.68532
      74	NGC4157    	 17	 3	 18.00	 2.50	4	82.0	 3.0	105.620	  0.486	 4.44	  848.85	 2.32	23813.87	  8.226	24.09	184.7	  7.2	  1	VS01,SV98     	  1	  1	  1	  0	RC	NGC4157      	NGC4157      	182.76819	+50.48468
      75	NGC4183    	 23	 6	 18.00	 2.50	4	82.0	 2.0	 10.838	  0.150	 4.47	   86.46	 2.79	 1098.58	  3.506	16.07	110.6	  5.4	  1	VS01,SV98     	  1	  1	  1	  0	RC	NGC4183      	NGC4183      	183.32025	+43.69827
      76	NGC4214    	 14	10	  2.87	 0.14	2	15.0	10.0	  1.141	  0.008	 0.70	  363.77	 0.51	 1308.67	  0.486	 5.84	 80.1	  5.8	  2	Le14          	  0	  0	  1	  1	RC	NGC4214      	NGC4214      	183.91322	+36.32689
      77	NGC4217    	 19	 3	 18.00	 2.50	4	86.0	 2.0	 85.299	  0.393	 5.28	  483.98	 2.94	 4373.51	  2.562	16.70	181.3	  7.2	  1	VS01,SV98     	  1	  0	  1	  0	RC	NGC4217      	NGC4217      	183.96208	+47.09179
      78	NGC4389    	  6	 4	 18.00	 2.50	4	50.0	 4.0	 21.328	  0.216	 4.05	  207.41	 2.79	  322.72	  0.539	 6.81	  0.0	  0.0	  3	VS01,SV98     	  0	  0	  1	  0	RC	NGC4389      	NGC4389      	186.39624	+45.68467
      79	NGC4559    	 32	 6	  9.00	 2.70	1	67.0	 1.0	 19.377	  0.107	 3.82	  211.27	 2.10	 1602.62	  5.811	21.16	121.2	  5.1	  1	Ba05          	  0	  1	  1	  0	RC	NGC4559      	NGC4559      	188.99037	+27.95976
      80	NGC5005    	 18	 4	 16.90	 1.50	5	68.0	 2.0	178.720	  0.494	 3.97	 1789.91	 9.45	   96.57	  1.280	10.41	262.2	 20.7	  1	Ri15          	  1	  1	  1	  0	RC	NGC5005      	NGC5005      	197.73463	+37.05894
      81	NGC5033    	 22	 5	 15.70	 4.70	1	66.0	 1.0	110.509	  0.407	 2.94	 2036.24	 5.16	  614.94	 11.314	29.53	194.2	  3.6	  1	Sa96,Be87     	  1	  1	  1	  0	RC	NGC5033      	NGC5033      	198.36473	+36.59365
      82	NGC5055    	 28	 4	  9.90	 0.30	2	55.0	 6.0	152.922	  0.282	 4.18	 1383.02	 3.20	 3348.34	 11.722	35.06	179.0	  4.9	  1	Ba06,Bl04     	  1	  1	  1	  0	RC	NGC5055      	NGC5055      	198.95554	+42.02929
      83	NGC5371    	 19	 4	 39.70	 9.92	1	53.0	 2.0	340.393	  1.881	 9.80	  560.83	 7.44	 1395.82	 11.180	30.03	209.5	  3.9	  1	Sa96,Be87     	  1	  1	  1	  0	RC	NGC5371      	NGC5371      	208.91676	+40.46177
      84	NGC5585    	 24	 7	  7.06	 2.12	1	51.0	 2.0	  2.943	  0.033	 2.27	   90.54	 1.53	  297.05	  1.683	10.92	 90.3	  2.4	  1	Bl99,Sa96,Co91	  1	  1	  1	  0	RC	NGC5585      	NGC5585      	214.95085	+56.72905
      85	NGC5907    	 19	 5	 17.30	 0.90	2	88.0	 2.0	175.425	  0.646	 7.88	  449.60	 5.34	 8646.29	 21.025	 0.00	215.0	  2.9	  1	Sa96,SA87     	  1	  0	  1	  0	RC	NGC5907      	NGC5907      	228.97370	+56.32885
      86	NGC5985    	 33	 3	 39.70	 9.90	1	60.0	 2.0	208.728	  1.538	10.71	  288.95	 7.01	 1461.61	 11.586	39.50	293.6	  8.6	  1	Bl04,Br92     	  0	  1	  1	  0	RC	NGC5985      	NGC5985      	234.90454	+59.33195
      87	NGC6015    	 44	 6	 17.00	 5.10	1	60.0	 2.0	 32.129	  0.237	 3.92	  331.76	 2.30	 1926.77	  5.834	21.43	154.1	  7.0	  2	VM97          	  1	  1	  1	  0	RC	NGC6015      	NGC6015      	237.85513	+62.31003
      88	NGC6195    	 23	 3	127.80	12.80	1	62.0	 5.0	391.076	  6.123	 9.52	  686.80	13.94	  174.11	 20.907	40.89	251.7	  9.3	  1	SG06          	  1	  1	  0	  0	RC	NGC6195      	NGC6195      	249.13555	+39.02800
      89	NGC6503    	 31	 6	  6.26	 0.31	2	74.0	 2.0	 12.845	  0.059	 1.62	  774.16	 2.16	  398.87	  1.744	14.05	116.3	  2.4	  1	Be91,Be87     	  1	  1	  1	  0	RC	NGC6503      	NGC6503      	267.36047	+70.14434
      90	NGC6674    	 15	 3	 51.20	10.20	1	54.0	 6.0	214.654	  1.977	 7.75	  560.83	 6.04	 1370.35	 32.165	50.02	241.3	  4.9	  1	Sa96,Br92     	  1	  1	  0	  0	RC	NGC6674      	NGC6674      	279.64120	+25.37511
      91	NGC6789    	  4	11	  3.52	 0.18	2	43.0	 7.0	  0.100	  0.003	 0.52	   59.27	 0.31	  319.76	  0.017	 0.97	  0.0	  0.0	  2	Le14          	  0	  1	  0	  0	RC	NGC6789      	NGC6789      	289.17154	+63.97331
      92	NGC6946    	 58	 6	  5.52	 1.66	2	38.0	 2.0	 66.173	  0.122	 4.20	  571.26	 2.44	 2232.70	  5.670	21.25	158.9	 10.9	  1	Bo08          	  1	  1	  0	  0	RC	NGC6946      	NGC6946      	308.71805	+60.15368
      93	NGC7331    	 36	 3	 14.70	 1.50	3	75.0	 2.0	250.631	  0.693	 3.99	 2470.76	 5.02	 1806.47	 11.067	27.01	239.0	  5.4	  1	Be91,Be87     	  1	  1	  0	  0	RC	NGC7331      	NGC7331      	339.26709	+34.41592
      94	NGC7793    	 46	 7	  3.61	 0.18	2	47.0	 9.0	  7.050	  0.026	 2.19	  233.79	 1.21	 1068.64	  0.861	 7.35	  0.0	  0.0	  1	Di08,Sa96,CP90	  0	  1	  1	  1	RC	NGC7793      	NGC7793      	359.45761	-32.59103
      95	NGC7814    	 18	 2	 14.40	 0.66	2	90.0	 1.0	 74.529	  0.343	 2.08	 2709.13	 2.54	 2635.30	  1.070	12.15	218.9	  7.0	  1	Fr11          	  1	  0	  1	  0	RC	NGC7814      	NGC7814      	000.81228	+16.14523
      96	PGC51017   	  6	11	 13.60	 1.40	2	66.0	 3.0	  0.155	  0.014	 1.28	   15.03	 0.53	   93.94	  0.201	 4.29	 18.6	  1.3	  3	Le14          	  0	  0	  0	  0	RC	PGC51017     	PGC51017     	214.25733	+43.50372
      97	UGC00128   	 22	 8	 64.50	 9.70	1	57.0	10.0	 12.020	  0.565	 9.63	   20.36	 5.95	   88.89	  7.431	31.27	129.3	  2.8	  1	VB99,VH93     	  1	  1	  0	  0	RC	UGC00128     	UGC00128     	003.46221	+35.99350
      98	UGC00191   	  9	 9	 17.10	 5.10	1	45.0	 5.0	  2.004	  0.063	 2.50	   50.21	 1.58	  207.41	  1.343	10.03	  0.0	  0.0	  1	KN08,vZ97     	  1	  1	  1	  0	RC	UGC00191     	UGC00191     	005.02150	+10.87931
      99	UGC00634   	  4	 9	 30.90	 7.70	1	37.0	 8.0	  2.989	  0.146	 4.26	   26.11	 2.45	  126.13	  3.663	16.78	  0.0	  0.0	  2	vZ97          	  1	  1	  1	  0	RC	UGC00634     	UGC00634     	015.35488	+07.62599
     100	UGC00731   	 12	10	 12.50	 3.75	1	57.0	 3.0	  0.323	  0.019	 1.40	   25.63	 2.30	   82.57	  1.807	11.57	 73.3	  2.3	  1	Sw09,Sw02     	  1	  1	  0	  0	RC	UGC00731     	UGC00731     	017.68333	+49.60219
     101	UGC00891   	  5	 9	 10.20	 3.10	1	60.0	 5.0	  0.374	  0.017	 1.76	   19.09	 1.43	  113.98	  0.428	 6.23	  0.0	  0.0	  2	vZ97          	  0	  1	  1	  0	RC	UGC00891     	UGC00891     	020.32954	+12.41172
     102	UGC01230   	 11	 9	 53.70	10.70	1	22.0	10.0	  7.620	  0.379	 6.45	   28.63	 4.34	   69.32	  6.430	26.29	103.7	  6.1	  1	dB02,VdH93    	  0	  0	  0	  0	RC	UGC01230     	UGC01230     	026.38438	+25.52147
     103	UGC01281   	 25	 8	  5.27	 0.24	2	90.0	 1.0	  0.353	  0.009	 2.01	   13.83	 1.63	  135.78	  0.294	 5.26	 55.2	  3.5	  1	dB02,Sw02     	  0	  0	  0	  0	RC	UGC01281     	UGC01281     	027.38212	+32.58783
     104	UGC02023   	  5	10	 10.40	 3.10	1	19.0	10.0	  1.308	  0.033	 2.73	   27.59	 1.55	  121.57	  0.477	 6.50	  0.0	  0.0	  2	Sw09,Sw02     	  0	  0	  0	  0	RC	UGC02023     	UGC02023     	038.32550	+33.49042
     105	UGC02259   	  8	 8	 10.50	 3.10	1	41.0	 3.0	  1.725	  0.038	 2.40	   47.08	 1.62	  172.52	  0.494	 7.28	 86.2	  2.9	  2	Be91,Ca88     	  1	  1	  0	  0	RC	UGC02259     	UGC02259     	041.98082	+37.53844
     106	UGC02455   	  8	10	  6.92	 2.08	1	51.0	 5.0	  3.649	  0.034	 1.49	  254.00	 0.99	  795.85	  0.803	 7.11	  0.0	  0.0	  3	Sw09,Sw02     	  0	  0	  0	  0	RC	UGC02455     	UGC02455     	044.92849	+25.24119
     107	UGC02487   	 17	 0	 69.10	10.40	1	36.0	 5.0	489.955	  4.061	 9.63	  818.14	 7.89	 1150.35	 17.963	40.20	332.0	  3.5	  1	No07,No05     	  1	  1	  0	  0	RC	UGC02487     	UGC02487     	045.42649	+35.20565
     108	UGC02885   	 19	 5	 80.60	 8.06	1	64.0	 4.0	403.525	  4.088	12.20	  421.53	11.40	  470.79	 40.075	74.24	289.5	 12.0	  1	Sa96,RA85     	  1	  1	  0	  0	RC	UGC02885     	UGC02885     	058.26017	+35.58947
     109	UGC02916   	 43	 2	 65.40	 9.80	1	50.0	 5.0	124.153	  1.830	 2.80	 2425.66	 6.15	  520.99	 23.273	34.24	182.7	  6.9	  2	No07,No05     	  1	  1	  0	  0	RC	UGC02916     	UGC02916     	060.64098	+71.70592
     110	UGC02953   	115	 2	 16.50	 4.95	1	50.0	 4.0	259.518	  0.717	 5.03	 1544.65	 3.55	 4215.31	  7.678	24.00	264.9	  6.0	  2	No07,No05     	  1	  1	  0	  0	RC	UGC02953     	UGC02953     	061.94545	+69.81243
     111	UGC03205   	 48	 2	 50.00	10.00	1	67.0	 4.0	113.642	  1.361	 5.35	  587.26	 3.19	 3915.89	  9.677	28.60	219.6	  8.6	  1	No07,No05     	  1	  1	  0	  0	RC	UGC03205     	UGC03205     	074.06173	+30.05219
     112	UGC03546   	 30	 1	 28.70	 7.20	1	55.0	 5.0	101.336	  0.747	 2.58	 2403.42	 3.79	  922.21	  2.675	18.37	196.9	  7.4	  1	No07,No05     	  1	  1	  0	  0	RC	UGC03546     	UGC03546     	102.53610	+60.84569
     113	UGC03580   	 47	 1	 20.70	 5.20	1	63.0	 4.0	 13.266	  0.195	 1.84	  614.94	 2.43	  302.57	  4.370	19.97	126.2	  3.2	  2	No07,No05     	  1	  1	  0	  0	RC	UGC03580     	UGC03580     	103.87864	+69.56300
     114	UGC04278   	 25	 7	  9.51	 2.85	1	90.0	 3.0	  1.307	  0.026	 2.46	   34.11	 2.21	  377.42	  1.116	 8.90	 91.4	  4.8	  1	dB02,Sw02     	  0	  0	  0	  0	RC	UGC04278     	UGC04278     	123.49545	+45.74215
     115	UGC04305   	 22	10	  3.45	 0.17	2	40.0	10.0	  0.736	  0.007	 1.23	   76.71	 1.16	   88.07	  0.690	 7.41	 34.5	  2.7	  3	Sw09,Sw02     	  0	  0	  1	  0	RC	UGC04305     	UGC04305     	124.77074	+70.72003
     116	UGC04325   	  8	 9	  9.60	 2.88	1	41.0	 3.0	  2.026	  0.035	 2.79	   41.00	 1.86	  213.22	  0.678	 6.61	 90.9	  2.7	  1	Sw09,Sw02     	  1	  1	  0	  0	RC	UGC04325     	UGC04325     	124.83554	+50.00961
     117	UGC04483   	  8	10	  3.34	 0.31	2	58.0	 3.0	  0.013	  0.001	 0.26	   29.71	 0.18	   82.57	  0.032	 1.46	  0.0	  0.0	  2	Le14,Le12     	  0	  1	  1	  0	RC	UGC04483     	UGC04483     	129.26371	+69.77478
     118	UGC04499   	  9	 8	 12.50	 3.75	1	50.0	 3.0	  1.552	  0.043	 2.69	   33.79	 1.73	  127.30	  1.100	 8.67	 72.8	  2.4	  1	Sw09,Sw02     	  1	  1	  1	  0	RC	UGC04499     	UGC04499     	129.42287	+51.65238
     119	UGC05005   	 11	10	 53.70	10.70	1	41.0	10.0	  4.100	  0.283	 5.02	   25.63	 3.20	   65.59	  3.093	21.61	 98.9	  7.2	  1	dB02,VH93     	  0	  1	  0	  0	RC	UGC05005     	UGC05005     	141.12245	+22.27482
     120	UGC05253   	 73	 2	 22.90	 5.72	1	37.0	 4.0	171.582	  0.790	 4.28	 1488.78	 8.07	  189.16	 16.396	36.64	213.7	  7.1	  2	No07,No05     	  1	  1	  0	  0	RC	UGC05253     	UGC05253     	147.59264	+72.27865
     121	UGC05414   	  6	10	  9.40	 2.82	1	55.0	 3.0	  1.123	  0.028	 2.33	   32.87	 1.47	  127.30	  0.574	 6.65	  0.0	  0.0	  1	Sw09,Sw02     	  0	  1	  0	  0	RC	UGC05414     	UGC05414     	150.98827	+40.76151
     122	UGC05716   	 12	 9	 21.30	 5.30	1	54.0	10.0	  0.588	  0.042	 1.84	   27.59	 1.14	   90.54	  1.094	10.64	 73.1	  1.2	  2	vZ97          	  1	  1	  0	  0	RC	UGC05716     	UGC05716     	157.93028	+25.30761
     123	UGC05721   	 23	 7	  6.18	 1.85	1	61.0	 5.0	  0.531	  0.011	 0.60	  233.79	 0.38	  913.76	  0.562	 6.74	 79.7	  6.6	  1	dB02,Sw02     	  1	  1	  0	  0	RC	UGC05721     	UGC05721     	158.07200	+27.66877
     124	UGC05750   	 11	 8	 58.70	11.70	1	64.0	10.0	  3.336	  0.264	 8.80	    6.87	 3.46	  124.98	  1.099	16.79	  0.0	  0.0	  1	dB01,VdH93    	  0	  1	  0	  0	RC	UGC05750     	UGC05750     	158.93796	+20.99019
     125	UGC05764   	 10	10	  7.47	 2.24	1	60.0	10.0	  0.085	  0.006	 1.20	    9.31	 1.17	   33.79	  0.163	 3.51	  0.0	  0.0	  2	vZ97          	  0	  1	  1	  0	RC	UGC05764     	UGC05764     	159.17976	+31.54726
     126	UGC05829   	 11	10	  8.64	 2.59	1	34.0	10.0	  0.564	  0.019	 2.91	   10.59	 1.99	   63.22	  1.023	 7.87	  0.0	  0.0	  2	Sw09,Sw02     	  0	  1	  1	  0	RC	UGC05829     	UGC05829     	160.67828	+34.44928
     127	UGC05918   	  8	10	  7.66	 2.30	1	46.0	 5.0	  0.233	  0.011	 2.63	    5.36	 1.66	   24.94	  0.297	 5.90	  0.0	  0.0	  2	Sw09,Sw02     	  0	  1	  1	  0	RC	UGC05918     	UGC05918     	162.40172	+65.53363
     128	UGC05986   	 15	 9	  8.63	 2.59	1	90.0	 3.0	  4.695	  0.048	 3.12	   76.71	 1.67	 1725.16	  2.667	16.53	113.0	  4.1	  2	Sw09,Sw02     	  1	  0	  0	  0	RC	UGC05986     	UGC05986     	163.12972	+36.61878
     129	UGC05999   	  5	10	 47.70	 9.50	1	22.0	10.0	  3.384	  0.231	 4.83	   22.95	 3.22	   51.62	  2.022	15.26	  0.0	  0.0	  2	dB97,VH93     	  0	  0	  0	  0	RC	UGC05999     	UGC05999     	163.24438	+07.61980
     130	UGC06399   	  9	 9	 18.00	 2.50	4	75.0	 2.0	  2.296	  0.072	 3.45	   30.82	 2.05	  311.05	  0.674	 8.80	 85.0	  3.8	  1	VS01,SV98     	  1	  1	  1	  0	RC	UGC06399     	UGC06399     	170.84677	+50.89268
     131	UGC06446   	 17	 7	 12.00	 3.60	1	51.0	 3.0	  0.988	  0.032	 2.06	   37.05	 1.49	   86.46	  1.379	10.33	 82.2	  4.3	  1	VS01,SV98     	  1	  1	  1	  0	RC	UGC06446     	UGC06446     	171.66854	+53.74667
     132	UGC06614   	 13	 1	 88.70	 8.87	1	36.0	10.0	124.350	  2.520	 3.68	 1461.61	 5.10	  540.54	 21.888	60.63	199.8	 16.0	  1	dB01,VH93     	  1	  1	  0	  0	RC	UGC06614     	UGC06614     	174.81185	+17.14358
     133	UGC06628   	  7	 9	 15.10	 4.53	1	20.0	10.0	  3.739	  0.076	 4.14	   34.74	 2.82	  103.00	  1.500	10.47	 41.8	  6.4	  2	Sw09,Sw02     	  0	  0	  1	  0	RC	UGC06628     	UGC06628     	175.02392	+45.94216
     134	UGC06667   	  9	 6	 18.00	 2.50	4	89.0	 1.0	  1.397	  0.066	 3.50	   18.06	 5.15	  614.94	  0.809	 8.59	 83.8	  3.1	  1	VS01,SV98     	  1	  0	  1	  0	RC	UGC06667     	UGC06667     	175.60962	+51.59801
     135	UGC06786   	 45	 0	 29.30	 7.32	1	64.0	 3.0	 73.407	  0.676	 3.42	  992.73	 3.60	 1078.52	  5.030	20.31	219.4	  7.8	  1	No07,No05     	  1	  1	  0	  0	RC	UGC06786     	UGC06786     	177.28931	+27.02207
     136	UGC06787   	 71	 2	 21.30	 5.32	1	66.0	 3.0	 98.256	  0.543	 2.88	 1891.60	 5.37	  429.37	  5.030	26.44	248.1	  4.8	  2	No07,No05     	  1	  1	  0	  0	RC	UGC06787     	UGC06787     	177.31404	+56.08435
     137	UGC06818   	  8	 9	 18.00	 2.50	4	75.0	 3.0	  1.588	  0.057	 2.12	   56.08	 1.39	  286.31	  1.079	 6.96	 71.2	  4.0	  2	VS01,SV98     	  1	  1	  1	  0	RC	UGC06818     	UGC06818     	177.69564	+45.80720
     138	UGC06917   	 11	 9	 18.00	 2.50	4	56.0	 2.0	  6.832	  0.120	 4.52	   53.07	 2.76	  261.11	  2.023	12.67	108.7	  3.5	  1	VS01,SV98     	  1	  1	  1	  0	RC	UGC06917     	UGC06917     	179.11989	+50.42839
     139	UGC06923   	  6	10	 18.00	 2.50	4	65.0	 2.0	  2.890	  0.077	 1.66	  166.28	 1.44	  347.40	  0.809	 6.75	 79.6	  2.5	  2	VS01,SV98     	  1	  1	  0	  0	RC	UGC06923     	UGC06923     	179.20636	+53.16034
     140	UGC06930   	 10	 7	 18.00	 2.50	4	32.0	 5.0	  8.932	  0.140	 4.38	   73.93	 3.94	  189.16	  3.237	16.76	107.2	  5.1	  1	VS01,SV98     	  1	  1	  1	  0	RC	UGC06930     	UGC06930     	179.32248	+49.28325
     141	UGC06973   	  9	 2	 18.00	 2.50	4	71.0	 3.0	 53.870	  0.347	 1.61	 3317.65	 1.07	12730.05	  1.753	11.57	174.2	  6.2	  3	VS01,SV98     	  1	  0	  0	  0	RC	UGC06973     	UGC06973     	179.71760	+42.72240
     142	UGC06983   	 17	 6	 18.00	 2.50	4	49.0	 1.0	  5.298	  0.102	 3.95	   53.56	 3.21	  121.57	  2.967	16.07	109.0	  5.8	  1	VS01,SV98     	  1	  1	  1	  0	RC	UGC06983     	UGC06983     	179.78639	+52.70779
     143	UGC07089   	 12	 8	 18.00	 2.50	4	80.0	 3.0	  3.585	  0.089	 3.90	   37.40	 2.26	  520.99	  1.214	 9.29	  0.0	  0.0	  2	VS01,SV98     	  0	  1	  1	  0	RC	UGC07089     	UGC07089     	181.49061	+43.14336
     144	UGC07125   	 13	 9	 19.80	 5.90	1	90.0	 3.0	  2.712	  0.080	 3.92	   28.11	 3.38	  103.00	  4.629	23.04	 65.2	  2.1	  1	Sw09,Sw02     	  1	  0	  1	  0	RC	UGC07125     	UGC07125     	182.17297	+36.80230
     145	UGC07151   	 11	 6	  6.87	 0.34	2	90.0	 3.0	  2.284	  0.025	 2.17	   76.71	 1.25	  965.67	  0.616	 6.39	 73.5	  2.8	  1	Sw09,Sw02     	  1	  0	  0	  0	RC	UGC07151     	UGC07151     	182.49417	+46.45718
