#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:23:26 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:23:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/PASP/122/1397/s4g&-out=Name,RAJ2000,DEJ2000,amaj,ell,[3.6],M3.6,logM*,Dmean,TT,Vr&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_61221397
#Name: J/PASP/122/1397
#Title: Spitzer Survey of Stellar Structure in Galaxies (Sheth+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	creator=Sheth K.	    First author or institution
#INFO	cites=bibcode:2010PASP..122.1397S	    Article or Data origin sources
#INFO	journal=PASP	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PASP/122/1397	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.61221397	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PASP_122_1397_s4g:
#Name: J/PASP/122/1397/s4g
#Title: S^4^G catalog Version 2 (2013-09)
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	amaj	(F5.1)	? Semi-major axis at level {mu}(3.6um)=25.5mag(AB)/arcsec^2^	[ucd=phys.angSize.smajAxis]
#Column	ell	(F6.3)	[0/1]? Ellipticity (1-b/a)	[ucd=src.ellipticity]
#Column	[3.6]	(F6.3)	? Spitzer/IRAC 3.6um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.3-4um]
#Column	M3.6	(F7.3)	? Absolute magnitude at 3.6um	[ucd=phys.magAbs;em.IR.3-4um]
#Column	logM*	(F6.3)	? Stellar mass	[ucd=phys.mass]
#Column	Dmean	(F7.3)	? Mean redshift-independent distance	[ucd=pos.distance;pos.heliocentric]
#Column	TT	(F4.1)	? Morphological type code	[ucd=meta.code;src.morph.type]
#Column	Vr	(F7.1)	? Heliocentric radial velocity from radio measurement	[ucd=spect.dopplerVeloc;pos.heliocentric]
Name	RAJ2000	DEJ2000	amaj	ell	[3.6]	M3.6	logM*	Dmean	TT	Vr
ESO438-017	169.32392	-27.82243	 75.6	 0.543	13.747	-17.243	 9.067	       	 4.9	 1248.0
ESO440-004	176.42428	-28.36626	 79.0	 0.604	14.363	-19.088	 9.648	 49.000	 7.9	 1843.6
ESO440-011	177.18972	-28.29350	 95.5	 0.093	12.430	-19.775	10.031	 27.600	 6.9	 1938.1
ESO440-027	178.35019	-28.55306	133.0	 0.735	11.907	-19.766	10.001	 21.600	 6.6	 1705.7
ESO572-018	178.96122	-18.19632	 56.8	 0.493	13.454	-18.592	 9.560	 25.656	 4.7	 1593.9
ESO572-022	179.09371	-19.55214	 51.4	 0.684	14.717	-17.627	 9.179	 29.429	 6.7	 1912.8
ESO572-024	179.24830	-19.98662	 51.9	 0.606	15.118	-16.904	 9.255	       	 7.0	 1882.0
ESO572-030	179.60634	-22.44012	 82.3	 0.443	14.112	-17.564	 9.159	 21.633	 9.1	 1791.5
ESO572-034	179.74200	-19.02988	 47.0	 0.522	14.579	-16.248	 8.629	       	 9.2	 1113.8
ESO572-049	180.85157	-19.52136	 63.8	 0.770	14.684	-17.313	 9.028	 25.086	 5.8	 1661.1
ESO573-003	183.23018	-20.42011	     	      	      	       	      	 24.000	 9.8	 1544.6
ESO575-061	197.06413	-21.00136	 59.3	 0.215	14.511	-17.827	10.175	 29.355	 7.0	 1646.5
ESO576-001	197.59899	-21.68419	 38.0	 0.462	13.405	-21.257	10.636	 85.600	 3.1	 2884.0
ESO576-003	197.64872	-21.74813	 70.0	 0.611	13.567	-19.122	 9.742	 34.500	 6.7	 2960.5
ESO576-005	197.82486	-19.82826	 54.0	 0.512	14.430	-18.472	 9.787	       	 8.0	 2753.0
ESO576-008	198.07872	-19.44596	 52.0	 0.445	13.687	-19.249	 9.908	       	-1.6	 2816.0
ESO576-011	198.27130	-19.97696	105.0	 0.796	12.699	-20.137	10.155	 36.911	 5.8	 2758.2
ESO576-017	198.80401	-17.96663	 49.1	 0.124	14.248	-18.681	 9.573	       	 7.0	 2773.5
ESO576-026	199.64510	-21.29945	 64.6	 0.754	14.583	-17.821	 9.255	 30.260	 6.8	 1946.0
ESO576-032	199.96674	-22.27893	 89.8	 0.268	12.201	-20.118	10.139	 29.100	 5.8	 3055.0
ESO576-040	200.18251	-22.05111	 83.7	 0.754	13.872	-17.902	 9.266	 22.633	 6.7	 2085.6
ESO576-050	201.17417	-19.69583	 84.8	 0.326	12.746	-19.217	 9.789	 24.688	 5.1	 1975.7
ESO576-059	201.64548	-22.23815	 59.8	 0.479	14.779	-17.001	 9.151	 22.700	 9.8	 1426.4
ESO577-038	207.10665	-18.87146	 36.2	 0.821	16.889	-15.955	 8.597	 37.050	 6.9	 1889.1
ESO580-022	221.52182	-18.02201	 62.9	 0.234	13.417	-19.034	 9.744	       	 7.7	 2222.6
ESO580-029	221.89028	-19.76409	 71.3	 0.720	12.186	-20.487	10.293	 34.250	 5.0	 2590.1
ESO580-030	221.89773	-18.07046	 52.7	 0.115	13.250	-19.594	 9.952	       	 5.5	 2652.1
ESO580-034	221.97675	-19.13045	 40.0	 0.765	15.319	-17.585	 9.121	       	 5.1	 2727.0
ESO580-041	222.65207	-18.15110	 65.4	 0.715	13.419	-19.202	 9.764	 33.425	 4.1	 2944.1
UGC08516  	202.96910	+20.00123	 43.0	 0.257	13.442	-18.390	 9.481	 23.250	 5.9	 1021.5
UGC08575  	203.93998	+08.96931	 78.3	 0.835	15.144	-16.655	 8.733	 22.900	 9.8	 1162.4
UGC08588  	203.92829	+45.92962	 44.4	 0.122	14.527	-17.581	 9.153	 26.400	 8.8	 1447.0
UGC08597  	204.06533	+46.20008	 55.2	 0.275	14.326	-18.596	 9.525	 38.400	 6.6	 2434.0
UGC08614  	204.35861	+07.64674	105.9	 0.272	12.905	-18.768	10.152	 21.600	 9.9	 1048.3
UGC08629  	204.62768	+08.44249	 56.6	 0.440	14.844	-16.135	 9.288	       	 9.8	 1020.2
UGC08630  	204.60360	+33.11771	 85.7	 0.654	13.664	-19.161	 9.891	       	 5.7	 2438.0
PGC027747 	145.59663	-06.25194	 62.5	 0.716	14.306	-18.111	 9.355	 30.433	 6.1	 1853.7
ESO506-018	188.42371	-23.68061	 31.9	 0.782	16.368	-17.368	 9.005	 55.867	 5.6	 2823.0
ESO506-029	189.81477	-26.91078	 63.1	 0.302	14.350	-18.693	 9.950	       	 6.0	 2993.4
ESO506-033	190.05756	-25.32681	 79.0	 0.546	11.867	-19.130	 9.844	       	-2.0	
ESO507-065	195.27060	-26.09101	 42.3	 0.265	14.918	-17.795	10.038	       	 8.6	 2563.0
ESO508-007	196.78238	-24.11033	 45.4	 0.450	15.147	-17.423	 8.936	 32.660	 7.0	 2982.6
ESO508-011	196.93766	-22.85780	103.0	 0.796	13.364	-19.229	 9.783	 33.009	 6.6	 2605.8
ESO508-015	197.32860	-24.38456	 51.0	 0.263	14.828	-18.188	 9.539	 40.100	 9.9	 2851.0
ESO508-019	197.46624	-24.23903	 66.1	 0.531	13.936	-19.040	 9.672	 39.373	 8.8	 2964.1
ESO508-024	197.69156	-23.86577	 81.0	 0.178	12.825	-20.185	10.194	 40.000	 5.0	 2854.5
ESO508-030	198.72855	-23.14375	 66.0	 0.774	15.761	-16.094	 8.694	 23.500	 9.9	 1512.3
ESO508-034	199.23929	-25.33718	 47.9	 0.539	14.490	-17.939	 9.347	 30.600	 8.1	 1909.0
ESO508-051	200.12372	-26.08554	 53.8	 0.496	14.685	-17.535	 9.149	 27.807	 7.9	 2133.2
ESO509-026	202.10280	-27.56976	 37.7	 0.616	15.697	-16.468	 8.489	 27.100	 9.0	 1836.5
ESO509-074	203.92232	-24.07372	 81.2	 0.720	12.121	-20.598	10.323	 34.989	 4.7	 2594.5
ESO510-026	209.39918	-25.79080	 40.8	 0.093	14.697	-17.852	10.010	       	 9.0	 2367.1
ESO510-058	211.15575	-24.83314	 49.3	 0.421	12.918	-19.597	 9.952	       	 5.9	 2314.0
ESO510-059	211.19264	-24.82708	 69.9	 0.210	13.393	-19.238	 9.845	 33.600	 5.9	 2333.2
ESO532-014	330.73877	-22.47275	 50.2	 0.625	15.527	-16.125	 8.474	 21.400	 5.9	 1716.1
ESO532-022	332.29732	-27.16584	 50.2	 0.410	14.482	-17.931	 9.281	 30.380	 5.5	 2603.0
ESO532-032	333.22162	-25.64297	 42.2	 0.829	16.454	-16.194	 8.584	 33.850	 7.9	 2657.0
ESO533-004	333.51255	-26.93767	 77.4	 0.763	12.497	-20.566	10.338	 40.977	 5.2	 2594.9
ESO533-028	336.66397	-24.87167	 40.2	 0.427	13.227	-19.467	 9.883	       	 4.6	 2578.0
ESO536-003	350.56727	-23.70072	 35.3	 0.789	15.367	-19.831	10.114	       	 6.0	
ESO539-007	004.70154	-19.00797	 39.7	 0.144	15.256	-16.785	 8.876	 25.600	 8.7	 3199.2
ESO540-016	010.56137	-18.16164	 92.4	 0.840	14.549	-17.360	 8.976	 24.090	 6.0	 1553.2
ESO540-031	012.45750	-21.01273	 52.3	 0.643	16.189	-11.495	 6.844	  3.442	 9.8	  293.8
ESO541-004	014.74156	-18.74271	104.3	 0.551	12.419	-20.142	10.185	 32.527	 4.2	 2000.0
ESO541-005	014.82666	-20.57898	 36.8	 0.557	15.462	-16.584	 8.746	       	 8.0	 1958.9
ESO544-027	033.22760	-19.31666	 43.0	 0.650	13.665	-19.361	 9.836	 40.283	 3.5	 2505.0
ESO480-020	045.61798	-22.80147	 50.4	 0.535	15.207	-16.051	 8.631	       	 4.9	 1445.0
ESO480-025	045.95989	-25.27208	 49.7	 0.384	15.063	-16.614	 8.617	       	 8.8	 1724.6
ESO481-014	048.41813	-25.18888	119.9	 0.816	14.274	-17.285	 8.967	 20.500	 8.9	 1734.4
ESO481-018	049.63758	-25.83650	 98.9	 0.632	13.117	-18.651	 9.588	 22.577	 6.3	 1800.1
ESO481-030	052.40908	-23.35058	 35.0	 0.677	15.747	-16.060	 8.461	 22.978	 7.0	 1639.0
ESO482-005	053.25953	-24.13285	 63.4	 0.781	15.213	-17.180	 8.929	 30.100	 7.7	 1915.8
ESO482-011	054.07242	-25.60465	 45.9	 0.563	14.336	-17.135	 8.990	       	 4.6	 1591.0
ESO482-013	054.22440	-24.91278	 34.7	 0.513	14.997	-16.841	 8.807	       	-1.0	 1846.3
ESO482-035	055.31181	-23.83704	 70.9	 0.360	13.009	-19.175	 9.811	 27.340	 2.2	 1890.0
ESO482-046	057.42602	-26.99360	113.9	 0.823	13.128	-18.693	 9.578	 23.136	 5.1	 1525.2
ESO483-008	061.51024	-22.63134	 30.2	 0.550	16.298	-15.030	 7.993	       	 9.0	 1494.4
ESO483-013	063.17132	-23.15894	 63.5	 0.404	13.503	-16.484	 8.689	       	-2.6	  896.7
ESO485-021	073.22107	-25.24647	 85.1	 0.073	13.596	-17.425	 9.148	 16.000	 8.2	 1372.2
ESO486-003	074.89099	-22.69708	 46.2	 0.547	15.554	-16.177	 8.546	       	 8.9	 1764.1
ESO486-021	075.83305	-25.42297	 35.8	 0.318	14.536	-15.220	 8.272	       	 4.2	  833.6
ESO501-079	160.35825	-23.38418	     	      	      	       	      	 18.950	 8.8	 1195.8
ESO501-080	160.65918	-23.93589	 76.9	 0.713	13.771	-16.954	 8.905	 13.967	 4.9	 1043.6
ESO502-016	166.30481	-26.62483	 58.4	 0.552	14.542	-16.907	 8.889	       	 8.9	 1511.9
ESO502-020	167.34172	-22.87547	 46.1	 0.163	13.904	-17.361	 9.129	       	 5.0	 1381.5
ESO502-023	168.05850	-24.23299	 35.2	 0.590	16.071	-15.319	 8.242	       	10.0	 1462.1
ESO503-022	173.37255	-26.94621	 47.3	 0.495	14.369	-17.460	 9.113	 23.220	 9.8	 1875.0
ESO504-010	175.76221	-23.43348	 35.6	 0.665	16.112	-15.945	 8.501	       	 8.7	 1932.0
ESO504-024	178.40759	-26.99598	 34.2	 0.268	15.399	-16.597	 8.711	       	 9.0	 1894.0
ESO504-028	178.72736	-27.24970	 53.0	 0.138	13.670	-18.483	 9.513	       	 7.0	 2027.0
ESO505-002	180.13275	-24.72393	 51.3	 0.159	14.330	-17.443	 9.094	       	 9.7	 1707.0
ESO505-003	180.27990	-24.56847	 86.3	 0.787	13.394	-18.548	 9.520	 24.450	 7.7	 1784.6
ESO505-008	180.89580	-25.38031	 45.1	 0.661	14.613	-17.648	 9.150	 28.317	 4.0	 1858.0
ESO505-009	180.96131	-27.60194	 48.2	 0.521	15.378	-16.899	 8.831	       	 5.0	 2138.5
ESO505-013	181.53051	-22.84970	106.3	 0.369	13.290	-18.760	 9.611	 25.700	 8.5	 1723.3
ESO505-023	182.40092	-23.41143	 47.3	 0.774	15.674	-16.061	 8.463	       	 9.0	 1671.5
IC4237    	201.13651	-21.13689	 74.5	 0.256	11.977	-21.037	10.533	 40.073	 3.5	 2657.1
IC4247    	201.68520	-30.36250	 51.6	 0.542	14.594	-13.918	 7.705	  5.040	 6.9	  420.0
IC4263    	202.13890	+46.92718	 59.1	 0.741	14.580	-18.516	 9.520	       	 6.6	 2706.5
IC4316    	205.07654	-28.89308	 76.2	 0.411	13.993	-14.239	 7.840	  4.430	 9.9	  577.9
IC4351    	209.47591	-29.31566	201.4	 0.715	10.612	-21.867	10.867	 31.311	 3.3	 2669.5
IC4407    	215.90329	-05.98187	 48.1	 0.472	14.656	-18.285	 9.419	       	 8.8	 2716.4
IC4468    	219.61144	-22.36754	 76.0	 0.648	12.402	-20.253	10.215	 33.960	 4.7	 2451.7
IC4536    	228.32230	-18.13710	 69.9	 0.111	12.931	-19.688	 9.984	 33.400	 7.4	 2280.5
IC4582    	236.41428	+28.08861	 41.9	 0.572	13.015	-20.329	10.219	 46.650	 4.1	 2148.0
IC4660    	260.43866	+75.84868	 51.6	 0.624	13.935	-17.743	 9.181	       	 3.3	 1242.0
IC4901    	298.59812	-58.71359	144.0	 0.302	11.471	-20.401	10.300	 23.680	 5.1	 2138.1
IC4951    	302.38215	-61.85057	 93.6	 0.774	14.303	-15.578	 8.373	  9.466	 7.7	  813.4
IC4986    	304.29770	-55.03549	 77.2	 0.586	14.282	-18.169	 9.415	 30.917	 7.6	 2168.5
IC5007    	310.89314	-29.70382	 83.4	 0.347	12.445	-20.215	10.221	 34.043	 6.7	 2715.3
IC5026    	312.11708	-78.06923	 75.3	 0.814	14.111	-18.701	 9.622	 36.510	 6.7	 2750.1
IC5039    	310.80968	-29.85336	 68.9	 0.629	12.359	-20.198	10.186	 32.473	 4.0	 2713.7
IC5052    	313.02465	-69.20345	220.5	 0.783	11.500	-18.041	 9.286	  8.095	 7.0	  588.3
IC5069    	315.04332	-71.81063	 41.1	 0.045	13.953	-18.840	 9.671	       	 3.4	 2821.4
NGC5775   	223.49021	+03.54468	135.1	 0.489	10.054	-21.602	10.722	 21.440	 5.2	 1679.0
NGC5777   	222.82404	+58.97785	 92.4	 0.713	11.779	-21.747	10.838	 50.725	 3.2	 2139.6
NGC5781   	224.17207	-17.24336	 52.2	 0.442	12.534	-19.984	10.096	 31.875	 2.8	 1906.4
NGC5783   	223.36786	+52.07620	 84.5	 0.430	12.945	-19.934	10.126	 37.650	 5.2	 2334.0
IC1898    	047.58319	-22.40462	110.7	 0.745	12.323	-19.170	 9.766	 19.891	 5.7	 1324.7
IC1913    	049.89398	-32.46523	 61.3	 0.736	14.172	-17.479	 9.072	 21.386	 3.4	 1450.8
IC1914    	049.85510	-49.59967	111.3	 0.547	13.201	-18.092	 9.347	 18.137	 6.9	 1030.4
IC1933    	051.41621	-52.78552	 71.1	 0.431	12.802	-18.713	 9.588	 20.091	 6.2	 1061.9
IC1952    	053.36105	-23.71280	 82.8	 0.696	12.436	-19.374	 9.812	       	 4.0	 1822.5
IC1953    	053.42431	-21.47868	105.3	 0.340	11.840	-20.118	10.149	 24.640	 6.2	 1860.2
IC1954    	052.88003	-51.90485	121.8	 0.438	11.277	-19.645	 9.959	 15.287	 3.2	 1062.6
IC1959    	053.30210	-50.41450	 91.6	 0.726	13.425	-16.144	 8.547	  8.200	 8.5	  640.2
IC1962    	053.90577	-21.29266	 78.2	 0.788	14.720	-16.653	 8.803	 18.820	 7.8	 1804.5
IC1970    	054.13096	-43.95668	 85.5	 0.493	11.531	-19.970	10.080	 19.964	 3.0	 1244.6
IC1986    	055.14687	-45.35605	 38.9	 0.311	15.119	-16.133	 8.731	 17.800	 8.8	 1549.7
IC1993    	056.77017	-33.70998	 99.4	 0.159	11.609	-18.788	 9.658	       	 3.0	 1078.5
IC2000    	057.28188	-48.85821	150.3	 0.788	12.177	-19.337	 9.852	 20.080	 6.2	  980.2
IC2006    	058.61856	-35.96710	 89.4	 0.127	11.164	-20.262	10.271	 19.278	-4.2	 1384.0
IC2007    	058.84505	-28.15772	 48.8	 0.410	12.968	-18.793	 9.606	 22.500	 3.7	 1523.6
IC2032    	061.76302	-55.32213	 35.4	 0.217	15.135	-15.501	 8.294	 13.400	 9.9	 1066.7
IC2035    	062.25765	-45.51759	 44.1	 0.126	11.564	-19.523	 9.975	 16.500	-2.6	
IC2040    	063.24887	-32.55340	 49.4	 0.333	13.134	-17.840	 9.242	       	-0.8	 1326.0
IC2051    	058.00331	-83.83074	105.8	 0.398	10.755	-21.136	10.578	 23.890	 4.1	 1727.5
IC2056    	064.10196	-60.20680	 60.3	 0.123	11.573	-19.985	10.093	 20.500	 3.8	 1133.0
IC2058    	064.47612	-55.93302	111.3	 0.833	13.167	-18.497	 9.497	 21.524	 6.5	 1378.7
IC2085    	067.85097	-54.41689	 78.4	 0.725	13.036	-17.899	 9.277	 15.383	-1.2	
IC2135    	083.30535	-36.39927	109.8	 0.699	11.874	-20.133	10.149	 25.210	 5.9	 1321.8
IC2233    	123.49515	+45.74313	139.9	 0.837	13.298	-17.317	 9.015	 13.275	 6.5	  557.3
IC2361    	126.43540	+27.87448	 54.6	 0.650	13.553	-18.863	 9.667	       	 2.0	 2087.9
IC2389    	131.99188	+73.53889	 58.1	 0.669	13.711	-18.819	 9.628	 32.067	 3.0	 2379.2
IC2461    	139.99153	+37.19107	 64.3	 0.622	12.462	-21.207	10.535	 54.180	 3.3	 2263.3
IC2574    	157.09833	+68.41214	429.9	 0.633	10.923	-16.991	 8.456	  3.827	 8.9	   46.2
IC2604    	162.35445	+32.77266	 40.3	 0.256	14.450	-17.541	 9.197	       	 9.1	 1634.1
PGC045877 	198.14758	-17.54243	 93.9	 0.586	11.326	-21.419	10.648	 35.400	 4.9	 2756.7
PGC045958 	198.39315	-15.43181	     	      	      	       	      	 36.400	 8.0	 2502.5
PGC046261 	199.27560	-16.25218	 79.8	 0.796	13.305	-20.041	10.154	 46.680	 5.2	 2630.8
PGC046382 	199.67084	-08.44598	 59.1	 0.223	14.184	-17.653	 9.199	 23.300	 9.9	 1304.3
PGC047721 	203.30800	-16.12138	 84.1	 0.452	11.913	-20.482	10.336	       	 4.0	 2169.0
PGC047846 	203.66602	-12.32986	 59.1	 0.123	14.268	-17.351	 9.646	       	 8.9	 1506.8
PGC048087 	204.27032	-11.82985	 62.2	 0.130	13.692	-19.119	 9.786	 36.500	 8.0	 2470.3
PGC048179 	204.54320	-09.80233	 77.1	 0.061	12.447	-19.333	 9.846	 22.700	 8.9	 1299.0
PGC049521 	208.93955	-06.00199	 45.2	 0.530	15.159	-17.107	 8.936	       	 8.0	 1985.0
PGC050229 	211.29684	-03.36981	 64.3	 0.352	13.425	-18.426	 9.504	       	 1.1	 1621.6
PGC051291 	215.34270	-03.75880	 38.4	 0.425	14.854	-18.112	 9.321	       	 2.0	 2737.7
PGC051523 	216.43910	-05.40181	 48.0	 0.470	14.039	-17.909	 9.251	       	 9.0	 1701.7
PGC052336 	219.68970	+51.31825	     	      	      	       	      	       	    	 2147.0
PGC052460 	220.27676	-08.87512	 45.3	 0.331	13.562	-18.589	 9.530	       	 1.4	 1882.0
PGC052809 	221.85073	-17.44557	118.4	 0.760	12.026	-19.950	10.038	 24.844	 5.8	 2196.3
PGC052853 	221.98399	-14.28271	 68.3	 0.204	13.288	-19.417	 9.885	 34.750	 6.0	 2044.6
PGC052935 	222.38730	-10.16417	 92.0	 0.653	14.269	-17.829	 9.293	       	 6.3	 1845.3
PGC052940 	222.37767	-10.17593	 78.0	 0.509	13.678	-18.619	 9.602	 28.800	 9.9	 1846.8
PGC053093 	223.04339	-10.74029	 52.0	 0.387	12.624	-20.308	10.240	 38.575	 2.9	 2577.5
PGC053134 	223.14481	-03.56145	 77.3	 0.302	13.616	-18.820	 9.642	 30.700	 8.0	 1952.1
PGC053415 	224.16101	-16.48784	 50.4	 0.527	13.034	-19.590	 9.935	       	 0.7	 2320.4
PGC053568 	224.92036	-06.99038	 56.8	 0.660	15.118	-17.271	 8.967	       	 8.0	 2095.4
PGC053634 	225.25042	-15.12170	 74.1	 0.756	14.708	-17.966	 9.307	 34.250	 7.0	 2928.2
PGC053724 	225.75089	-13.28266	 65.6	 0.446	12.299	-19.615	 9.999	 24.150	 0.7	 2507.8
PGC053764 	226.01199	-10.73791	 51.2	 0.761	14.864	-17.835	 9.237	       	 5.5	 2440.0
PGC053779 	226.05661	-07.22278	 69.5	 0.347	13.195	-18.935	 9.651	       	 3.0	 1855.0
PGC053796 	226.11329	-14.43983	 66.6	 0.800	14.685	-18.243	 9.426	 38.500	 6.2	 2930.2
PGC054817 	230.38838	-07.44796	143.4	 0.859	13.365	-18.872	 9.684	 28.012	-1.9	 1937.0
PGC054944 	230.83394	-04.15163	 57.6	 0.327	12.637	-19.702	 9.974	 29.367	 1.8	 1999.0
UGC09751  	227.74351	+01.43783	 44.8	 0.799	15.925	-15.886	 8.517	       	 6.0	 1552.0
NGC5950   	232.87815	+40.43010	 55.5	 0.459	13.375	-19.546	 9.930	 38.375	 3.1	 2597.0
NGC5951   	233.42929	+15.00724	104.7	 0.742	12.684	-19.540	 9.926	 27.836	 5.2	 1779.3
NGC5953   	233.63488	+15.19383	 67.2	 0.079	11.542	-20.620	10.348	 27.060	 0.0	 1965.4
NGC5954   	233.64594	+15.20013	 54.2	 0.294	12.340	-20.192	10.176	 32.100	 6.0	 1968.4
NGC5956   	233.74387	+11.75028	 51.1	 0.053	12.426	-19.862	10.089	       	 5.9	 1901.4
NGC5957   	233.84675	+12.04762	 90.0	 0.121	11.907	-20.294	10.260	       	 3.0	 1827.1
NGC5958   	233.70474	+28.65525	 58.5	 0.172	12.683	-19.786	10.060	       	 4.7	 2021.0
NGC5962   	234.13201	+16.60778	109.0	 0.339	10.870	-21.790	10.820	 34.050	 5.1	 1957.8
NGC5963   	233.36606	+56.55961	 74.9	 0.270	12.248	-19.891	10.096	 26.775	 4.1	  655.3
NGC5964   	234.40074	+05.97425	140.6	 0.275	11.846	-20.275	10.262	 26.567	 6.9	 1447.1
NGC5970   	234.62481	+12.18659	 94.2	 0.351	11.256	-21.188	10.585	 30.811	 5.0	 1957.0
NGC5981   	234.47303	+59.39193	 91.0	 0.731	11.846	-20.481	10.348	 29.200	 4.2	 2527.0
NGC5984   	235.72157	+14.23145	 90.9	 0.655	12.525	-18.977	 9.703	 19.969	 6.4	 1105.9
NGC5985   	234.90445	+59.33208	158.1	 0.491	10.765	-22.364	11.114	 42.257	 3.0	 2519.1
NGC6010   	238.57986	+00.54306	 77.8	 0.567	11.567	-20.105	10.215	 21.600	 0.5	 2037.4
NGC6012   	238.55797	+14.60120	 91.8	 0.118	11.871	-19.826	10.036	 21.850	 1.7	 1853.9
NGC6014   	238.98924	+05.93194	 67.1	 0.194	12.346	-20.471	10.327	       	-1.8	 2491.0
NGC6015   	237.85512	+62.31005	171.9	 0.572	10.930	-20.191	10.168	 16.756	 5.9	  832.5
NGC6063   	241.80418	+07.97901	 56.7	 0.454	13.041	-20.280	10.232	 46.171	 5.9	 2847.5
NGC6070   	242.49455	+00.70931	135.7	 0.559	10.936	-21.545	10.725	 31.344	 6.0	 2006.7
NGC6106   	244.69661	+07.41089	 80.3	 0.455	12.120	-19.836	10.050	 24.618	 5.3	 1451.2
NGC6118   	245.45257	-02.28343	170.1	 0.599	10.801	-21.043	10.538	 23.372	 6.0	 1571.2
NGC6140   	245.24185	+65.39065	109.6	 0.144	12.024	-19.323	 9.854	 18.600	 5.6	  908.3
NGC6155   	246.53471	+48.36681	 52.3	 0.205	12.415	-20.470	10.283	       	 5.2	 2415.0
UGC09071  	212.51280	+54.21838	 60.9	 0.703	14.260	-18.354	 9.469	 33.333	 5.9	 1826.8
UGC09126  	213.91935	+16.54890	 41.1	 0.262	15.270	-17.511	 9.369	 36.000	 9.8	 2271.8
UGC09128  	213.98580	+23.05480	 47.7	 0.421	15.224	-12.567	 6.964	  3.616	 9.9	  152.4
UGC09169  	214.93545	+09.36220	136.5	 0.810	13.768	-16.758	 8.865	 12.743	 9.6	 1280.2
UGC09206  	215.61420	+15.08602	 43.7	 0.465	14.072	-18.590	 9.525	       	 3.8	 2284.0
PGC041743 	188.47962	-10.67977	 57.9	 0.459	14.568	-16.233	 8.656	       	 9.0	 1052.0
NGC0899   	035.47107	-20.82380	 60.2	 0.250	12.818	-18.518	 9.505	 18.500	 9.9	 1564.6
NGC0907   	035.76102	-20.71175	 78.9	 0.633	12.345	-19.219	 9.782	 20.550	 7.6	 1663.4
NGC0908   	035.76885	-21.23382	191.2	 0.474	 9.784	-21.446	10.663	 17.615	 5.1	 1507.1
NGC0918   	036.46166	+18.49632	125.7	 0.421	11.323	-19.969	10.109	 18.131	 5.2	 1508.6
NGC0936   	036.90597	-01.15595	176.1	 0.249	 9.679	-21.899	10.926	 20.683	-1.2	 1340.0
NGC0941   	037.11608	-01.15148	 81.6	 0.268	12.691	-19.492	 9.903	 27.340	 5.3	 1606.8
NGC0955   	037.63804	-01.10842	 93.4	 0.594	11.418	-20.397	10.311	 23.075	 2.0	 1485.0
NGC0986   	038.39309	-39.04500	137.6	 0.104	10.300	-20.871	10.441	 17.150	 2.4	 1975.3
NGC0986A  	038.17476	-39.29515	 57.4	 0.603	14.771	-16.368	 8.621	       	 9.9	 1434.5
NGC0988   	038.86596	-09.35637	156.2	 0.601	11.461	-19.710	 9.976	 17.150	 5.9	 1505.8
NGC0991   	038.88612	-07.15433	 84.7	 0.072	12.399	-18.971	 9.680	 18.800	 5.0	 1532.8
NGC1015   	039.54810	-01.31877	 84.5	 0.092	11.977	-20.622	10.392	 33.100	 1.0	 2628.4
NGC1022   	039.63627	-06.67742	105.3	 0.105	10.987	-20.349	10.186	 18.500	 1.1	 1453.0
NGC1032   	039.84848	+01.09381	168.1	 0.646	10.999	-21.871	10.920	       	 0.4	 2725.0
NGC1035   	039.87144	-08.13296	 87.1	 0.601	11.539	-19.792	10.009	 18.460	 5.2	 1245.2
NGC1036   	040.12070	+19.29701	 57.3	 0.137	13.048	-17.198	 8.994	 11.200	 0.0	  789.9
