#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:44:46 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:44:46	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/234/18/table1&-out.max=unlimited&-out=Name,RAJ2000,DEJ2000,Dist,e_Dist,T,3.6mag,e_3.6mag,Group	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22340018
#Name: J/ApJS/234/18
#Title: GALEX/S4G surface brightness profiles. I. (Bouquin+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	creator=Bouquin A.Y.K.	    First author or institution
#INFO	cites=bibcode:2018ApJS..234...18B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/234/18	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22340018	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-07-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_234_18_table1:
#Name: J/ApJS/234/18/table1
#Title: The GALEX/S^4^G sample
#Column	Name	(a10)	Galaxy identifier using S^4^G nomenclature	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F4.1)	[0.4/94.1] Redshift-independent distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F6.1)	[0/50.1]? Standard deviation in Dist (1)	[ucd=stat.error]
#Column	T	(F4.1)	[-5/10] Numerical morphological type from RC2 from HyperLEDA	[ucd=src.morph.type]
#Column	3.6mag	(F6.3)	[6.3/17.3] Spitzer/IRAC 3.6um band asymptotic AB magnitude (3)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_3.6mag	(F6.3)	[0.001/0.4] The 1{sigma} uncertainty in 3.6mag	[ucd=stat.error]
#Column	Group	(A4)	Group identifier (4)	[ucd=meta.id]
Name	RAJ2000	DEJ2000	Dist	e_Dist	T	3.6mag	e_3.6mag	Group
NGC1345   	052.382023	-17.778122	18.1	      	 5.2	13.500	 0.011	0
PGC012981 	052.388490	-15.238360	22.7	      	 8.7	13.904	 0.001	0
ESO481-030	052.409081	-23.350583	23.0	   2.5	 7.0	15.747	 0.005	0
NGC1350   	052.783562	-33.628346	20.9	   3.6	 1.9	 9.940	 0.001	9
ESO418-008	052.877732	-30.213335	20.7	   3.5	 7.7	13.804	 0.003	844
IC1954    	052.880028	-51.904846	15.3	   2.6	 3.2	11.277	 0.001	951
ESO548-032	053.080187	-17.718751	33.3	   9.3	 9.0	15.158	 0.006	0
ESO482-005	053.259530	-24.132850	30.1	   0.6	 7.7	15.213	 0.023	0
ESO358-015	053.278470	-34.807050	16.1	      	 8.9	15.157	 0.002	0
IC1959    	053.302096	-50.414497	 8.2	   2.0	 8.5	13.425	 0.001	239
NGC1357   	053.321030	-13.664128	24.7	      	 1.9	10.840	 0.001	0
IC1952    	053.361049	-23.712795	24.3	      	 4.0	12.436	 0.001	862
NGC1365   	053.401552	-36.140394	17.9	   2.7	 3.2	 8.699	 0.001	9
NGC1359   	053.449101	-19.492207	33.8	   9.4	 8.5	12.989	 0.001	0
ESO358-020	053.739019	-32.639537	23.4	      	 9.3	14.285	 0.007	0
NGC1367   	053.755581	-24.933204	23.3	   3.1	 1.1	10.351	 0.001	849
IC0335    	053.879420	-34.447001	18.0	   4.6	-2.1	11.881	 0.001	843
ESO358-025	053.887290	-32.465485	18.6	   4.3	-2.6	13.213	 0.001	843
ESO482-011	054.072417	-25.604645	21.2	      	 4.6	14.336	 0.014	0
NGC1386   	054.192386	-35.999202	16.2	   0.8	-0.7	10.640	 0.001	9
ESO482-013	054.224400	-24.912780	24.6	      	-1.0	14.997	 0.006	0
NGC1389   	054.298861	-35.746101	17.7	   3.1	-2.8	11.256	 0.001	9
ESO249-008	054.328722	-43.586393	16.7	      	 1.3	14.260	 0.008	0
NGC1385   	054.368701	-24.501198	15.0	   4.1	 5.9	10.752	 0.001	849
NGC1390   	054.467418	-19.008275	16.4	      	 0.4	14.069	 0.002	0
NGC1411   	054.686891	-44.100608	15.5	   6.1	-3.0	10.887	 0.001	950
ESO548-063	054.894465	-20.015207	25.1	   2.0	 4.0	14.445	 0.011	0
NGC1427A  	055.038750	-35.624510	16.4	   0.7	 9.9	13.506	 0.001	9
IC1986    	055.146870	-45.356050	17.8	      	 8.8	15.119	 0.002	0
NGC1415   	055.236843	-22.564520	17.7	      	 0.5	10.857	 0.001	849
ESO482-035	055.311813	-23.837040	27.3	   3.9	 2.2	13.009	 0.002	849
NGC1422   	055.380461	-21.681209	21.5	   5.6	 2.3	13.178	 0.001	849
ESO358-051	055.385988	-34.887995	15.7	      	 0.0	13.685	 0.003	843
NGC1425   	055.547806	-29.893391	21.3	   1.9	 3.2	10.806	 0.001	848
NGC1421   	055.621924	-13.488081	26.4	   1.6	 4.1	10.836	 0.001	866
ESO548-082	055.681087	-17.507317	23.0	      	 4.2	15.542	 0.001	0
ESO549-002	055.739281	-19.020772	14.8	      	 9.6	14.802	 0.002	0
ESO358-054	055.759165	-36.272745	16.9	      	 8.0	14.315	 0.001	0
NGC1436   	055.904510	-35.853062	18.4	   1.5	 2.0	11.438	 0.001	843
PGC013716 	056.004352	-14.358653	28.0	   4.3	 4.0	12.319	 0.001	849
ESO358-060	056.301150	-35.570550	10.7	      	 9.9	16.549	 0.004	0
ESO358-063	056.579091	-34.943580	19.7	   3.9	 7.7	11.314	 0.001	843
PGC013821 	056.658809	-16.549839	16.5	      	 8.9	12.190	 0.001	849
IC1993    	056.770168	-33.709981	14.4	      	 3.0	11.609	 0.002	9
PGC090694 	056.825793	-14.697088	33.7	   0.4	 7.9	15.314	 0.003	0
NGC1473   	056.859234	-68.220939	18.0	   1.6	 9.7	13.287	 0.009	0
ESO549-018	057.058561	-21.474404	31.0	   7.9	 4.8	12.593	 0.009	849
NGC1461   	057.113007	-16.392844	20.8	   3.2	-2.0	11.031	 0.001	0
IC2000    	057.281877	-48.858210	20.1	   6.5	 6.2	12.177	 0.001	950
ESO482-046	057.426015	-26.993600	23.1	   3.7	 5.1	13.128	 0.001	849
ESO302-014	057.920049	-38.453462	 9.3	      	10.0	15.948	 0.012	0
ESO359-003	058.003760	-33.468005	15.8	   3.4	 1.4	14.415	 0.001	843
NGC1476   	058.037201	-44.532433	22.5	      	 1.4	14.070	 0.002	0
NGC1483   	058.198876	-47.477544	20.7	   5.2	 4.0	12.973	 0.002	0
ESO249-026	058.553700	-43.757340	12.4	      	 7.2	16.001	 0.010	0
NGC1484   	058.574062	-36.970931	17.5	   2.4	 3.2	13.234	 0.001	843
ESO249-027	058.622850	-44.753160	16.4	      	 9.9	15.124	 0.001	0
ESO549-035	058.766495	-20.383236	24.3	      	 6.0	15.508	 0.007	0
IC2007    	058.845054	-28.157722	22.5	   0.5	 3.7	12.968	 0.001	0
NGC1487   	058.936324	-42.367400	 8.9	      	 7.2	11.971	 0.001	0
ESO302-021	058.969024	-40.685862	10.5	      	 5.0	16.138	 0.018	0
NGC1493   	059.364187	-46.210719	11.3	      	 6.0	11.450	 0.001	0
NGC1494   	059.426459	-48.908346	15.2	   2.1	 7.0	12.181	 0.001	950
NGC1495   	059.591884	-44.466494	17.3	   1.4	 5.1	12.325	 0.001	0
ESO249-035	059.737790	-45.859190	22.9	   4.1	 5.9	17.009	 0.002	0
ESO249-036	059.815500	-45.873310	 9.4	      	10.0	15.251	 0.014	0
NGC1511   	059.902289	-67.633865	16.5	   1.3	 1.8	10.649	 0.001	939
NGC1511A  	060.080730	-67.807157	23.1	   7.7	 1.6	13.457	 0.003	939
NGC1511B  	060.227182	-67.611847	 8.5	   0.4	 7.1	15.183	 0.001	0
NGC1510   	060.886044	-43.399972	11.0	   1.0	-1.6	13.526	 0.015	0
NGC1512   	060.975601	-43.348746	12.3	   1.6	 1.1	10.033	 0.001	950
NGC1515   	061.011081	-54.100224	16.9	   2.7	 4.0	10.420	 0.001	933
ESO550-005	061.499487	-17.773913	22.8	   1.6	 8.8	14.979	 0.043	0
ESO483-008	061.510240	-22.631343	19.9	      	 9.0	16.298	 0.005	0
NGC1518   	061.707614	-21.172711	 9.6	   1.7	 8.2	11.903	 0.001	985
IC2032    	061.763020	-55.322130	13.4	      	 9.9	15.135	 0.002	0
PGC014487 	061.804195	-17.203950	22.4	      	 7.9	14.245	 0.001	0
NGC1519   	062.031561	-17.192868	25.6	   2.8	 3.0	12.913	 0.001	855
ESO359-022	062.189941	-35.389356	19.1	      	 8.6	16.645	 0.006	0
IC2035    	062.257649	-45.517592	16.5	      	-2.6	11.564	 0.001	933
NGC1533   	062.465849	-56.118495	18.4	   3.0	-2.5	10.390	 0.001	933
ESO420-009	062.752711	-31.407467	18.3	      	 5.0	13.390	 0.002	0
ESO483-013	063.171322	-23.158943	12.0	      	-2.6	13.503	 0.001	0
NGC1546   	063.651264	-56.060915	13.4	      	-0.4	10.513	 0.001	0
NGC1553   	064.043625	-55.780023	15.1	   5.1	-2.3	 8.830	 0.001	933
IC2056    	064.101960	-60.206804	20.5	   6.3	 3.8	11.573	 0.001	0
NGC1556   	064.436689	-50.164436	18.7	   3.7	 2.6	13.333	 0.001	0
IC2058    	064.476119	-55.933017	21.5	   3.7	 6.5	13.167	 0.002	0
ESO550-024	065.307000	-21.845830	13.6	   3.8	 6.7	12.665	 0.001	987
NGC1592   	067.420164	-27.408694	12.6	      	 7.6	14.318	 0.001	0
ESO202-035	068.068681	-49.675887	23.8	   2.3	 3.5	12.610	 0.001	988
ESO551-016	068.918902	-21.988227	19.0	   4.7	 4.1	14.830	 0.003	0
PGC015625 	069.102927	-09.513335	32.3	      	 9.8	15.428	 0.003	0
ESO202-041	069.236166	-52.175180	17.0	   4.2	 8.9	15.660	 0.005	0
ESO157-049	069.903689	-53.012570	24.3	   0.6	 5.5	12.652	 0.001	0
NGC1640   	070.560419	-20.434823	19.1	      	 3.0	11.372	 0.001	0
ESO551-031	070.619850	-21.691460	23.5	   1.0	 6.7	14.702	 0.002	0
ESO361-009	071.745150	-35.916530	17.9	      	 9.9	15.892	 0.035	0
ESO421-019	072.302080	-29.207130	17.0	      	 9.0	13.218	 0.002	0
PGC016090 	072.350404	-12.747515	29.2	      	 9.0	15.179	 0.001	0
NGC1679   	072.479197	-31.965522	12.7	   1.9	 9.4	11.954	 0.001	957
ESO119-016	072.870026	-61.649696	26.6	  12.0	 9.7	14.665	 0.001	0
ESO361-015	072.989000	-33.179270	19.5	   3.6	 6.7	13.146	 0.003	954
ESO422-005	073.023200	-28.591970	26.3	   7.0	 9.5	15.592	 0.272	0
NGC1703   	073.217120	-59.742332	17.4	      	 3.2	11.541	 0.001	0
ESO485-021	073.221073	-25.246472	16.0	      	 8.2	13.596	 0.023	0
NGC1705   	073.555973	-53.360988	 5.4	   0.6	-2.9	13.064	 0.001	934
ESO085-014	073.682450	-62.800049	15.9	      	 9.0	13.339	 0.001	0
ESO361-019	073.719621	-37.320854	30.9	      	 1.1	14.171	 0.002	0
ESO486-003	074.890986	-22.697084	23.5	      	 8.9	15.554	 0.001	0
NGC1744   	074.992200	-26.028090	10.9	   1.6	 6.7	11.768	 0.001	991
ESO085-030	075.373662	-63.293363	31.1	   9.4	-0.4	13.227	 0.001	938
ESO486-021	075.833051	-25.422974	11.1	      	 4.2	14.536	 0.001	0
NGC1792   	076.309986	-37.980583	13.2	   2.3	 4.0	 9.437	 0.001	954
NGC1800   	076.606801	-31.954077	 7.4	      	 8.0	12.811	 0.003	0
ESO422-033	076.704560	-27.657357	16.9	      	 9.7	14.560	 0.003	0
NGC1824   	076.734164	-59.727516	13.8	   1.8	 8.9	13.140	 0.001	936
ESO085-047	076.930840	-62.990950	16.7	      	 9.0	15.117	 0.018	0
ESO305-009	077.032183	-38.309897	13.2	   3.0	 8.0	13.818	 0.001	954
NGC1827   	077.519105	-36.960375	11.6	      	 5.9	12.637	 0.002	0
ESO553-017	077.799890	-19.612803	38.2	   0.7	 5.0	15.933	 0.009	0
ESO362-009	077.997256	-32.972063	10.2	      	 9.1	13.189	 0.001	0
ESO305-017	078.751506	-41.392456	14.3	      	 9.9	14.657	 0.001	0
ESO423-002	078.817973	-30.526685	21.4	   1.9	 6.5	12.729	 0.001	886
ESO362-011	079.161786	-37.102840	20.2	   3.9	 4.3	11.674	 0.001	955
NGC1879   	079.950593	-32.142932	21.1	   4.8	 8.6	13.188	 0.001	0
ESO362-019	080.265460	-36.956730	16.5	   1.4	 8.9	14.651	 0.001	955
IC2135    	083.305347	-36.399266	25.2	  11.9	 5.9	11.874	 0.001	959
ESO120-012	084.996724	-58.584689	14.4	   2.2	 7.1	14.072	 0.001	0
ESO159-025	085.775870	-52.706139	11.8	      	10.0	15.192	 0.021	0
NGC2101   	086.600850	-52.088620	13.3	      	 9.9	13.774	 0.036	0
NGC2104   	086.768892	-51.552576	14.1	   2.9	 8.7	13.220	 0.001	940
ESO120-021	088.310700	-59.066380	17.4	      	10.0	15.618	 0.030	0
UGC04024  	117.138625	+62.207304	33.2	   3.5	 5.8	14.104	 0.005	486
NGC2460   	119.217974	+60.349392	31.9	  11.7	 1.9	11.107	 0.002	0
UGC04121  	119.725558	+58.043205	18.9	      	 8.8	15.208	 0.002	0
UGC04148  	120.099351	+42.194591	16.5	   2.1	 7.2	15.921	 0.013	300
NGC2500   	120.471726	+50.737187	10.1	      	 7.0	11.817	 0.001	0
UGC04169  	120.637613	+61.388083	32.6	   1.1	 5.8	13.487	 0.005	486
UGC04151  	121.078618	+77.816649	30.5	      	 7.9	13.065	 0.001	0
NGC2543   	123.241433	+36.254596	33.6	   4.2	 3.0	11.909	 0.001	408
NGC2537   	123.310350	+45.991675	 7.9	   1.5	 8.7	11.727	 0.001	0
IC2233    	123.495150	+45.743130	13.3	   1.4	 6.5	13.298	 0.001	299
NGC2541   	123.667218	+49.061618	12.4	   1.5	 6.0	12.195	 0.001	296
UGC04306  	124.403286	+35.446008	33.6	   2.2	 1.3	12.547	 0.001	586
UGC04305  	124.770081	+70.720186	 3.3	   0.9	 9.9	12.040	 0.005	217
NGC2552   	124.835550	+50.009670	11.9	   2.0	 9.0	12.833	 0.001	296
NGC2551   	126.209258	+73.412064	34.1	      	 0.5	12.019	 0.001	0
UGC04390  	126.966235	+73.517471	33.5	      	 6.6	13.888	 0.015	0
UGC04426  	127.118337	+41.856409	 8.2	   2.6	 9.8	15.487	 0.011	301
UGC04413  	127.439893	+73.857547	37.6	   0.1	 6.0	15.583	 0.001	0
NGC2608   	128.822289	+28.473461	26.5	   4.5	 3.3	11.878	 0.001	569
UGC04483  	129.261627	+69.775918	 3.4	   0.2	 9.8	15.637	 0.044	217
NGC2591   	129.355570	+78.026289	21.0	   2.2	 5.9	11.921	 0.001	122
UGC04499  	129.422413	+51.653016	12.8	      	 8.0	13.915	 0.003	0
UGC04514  	129.909151	+53.456929	17.9	   3.5	 5.9	13.858	 0.002	292
NGC2648   	130.665890	+14.285562	34.3	   0.2	 1.1	11.262	 0.001	0
PGC024469 	130.700885	+14.265205	27.4	      	 4.2	14.312	 0.002	0
UGC04550  	130.816796	+13.085964	37.7	   7.9	 3.4	13.234	 0.001	579
UGC04543  	130.839276	+45.736205	30.0	      	 7.9	14.479	 0.004	0
UGC04551  	131.024700	+49.793852	23.0	      	-1.9	12.002	 0.001	0
UGC04559  	131.031947	+30.119085	38.4	   5.6	 2.1	12.544	 0.001	570
UGC04549  	131.089447	+58.841971	17.2	      	 8.1	12.996	 0.004	0
NGC2633   	132.018990	+74.098973	29.4	   2.7	 3.0	11.307	 0.001	136
NGC2654   	132.299290	+60.221263	26.2	   2.5	 2.0	11.133	 0.001	167
UGC04628  	132.919274	+51.118733	20.1	   1.4	 5.8	14.987	 0.006	292
NGC2681   	133.386411	+51.313604	15.3	   2.8	 0.4	10.169	 0.001	292
UGC04659  	133.668282	+47.105324	23.3	      	 8.0	14.993	 0.004	0
NGC2685   	133.894531	+58.734410	13.5	   2.6	-1.0	10.959	 0.001	0
NGC2655   	133.908239	+78.223301	24.4	      	 0.1	 9.610	 0.001	0
UGC04704  	134.751226	+39.209979	10.9	   1.3	 7.9	14.814	 0.020	0
NGC2701   	134.773903	+53.771599	40.8	   6.0	 5.2	12.233	 0.001	392
NGC2712   	134.877018	+44.913950	31.2	   2.2	 3.1	11.684	 0.001	396
NGC2710   	134.951442	+55.706361	50.4	   4.6	 3.1	13.008	 0.001	0
UGC04722  	135.098271	+25.611552	26.2	   2.1	 7.9	15.491	 0.002	0
UGC04701  	135.504561	+78.277612	18.8	      	 7.0	14.650	 0.003	0
NGC2731   	135.535322	+08.301702	41.0	   0.8	 4.2	12.810	 0.001	587
NGC2735   	135.661084	+25.934486	47.3	   6.5	 3.0	12.374	 0.006	0
UGC04714  	135.813340	+78.563220	16.7	      	 3.1	13.653	 0.002	0
UGC04753  	136.141102	+45.292386	37.5	   5.6	 6.7	14.979	 0.005	0
NGC2743   	136.225353	+25.003900	39.9	      	 7.9	13.296	 0.006	0
NGC2726   	136.236642	+59.932967	24.0	      	 1.0	12.443	 0.001	167
NGC2750   	136.449700	+25.437430	38.4	      	 5.3	11.938	 0.001	0
UGC04777  	136.668564	+34.619197	33.6	   2.0	 9.2	14.722	 0.008	389
NGC2742   	136.889776	+60.479448	23.8	   2.0	 5.3	11.215	 0.001	167
UGC04787  	136.895920	+33.275530	 7.8	      	 7.9	14.358	 0.003	0
NGC2715   	137.025975	+78.085355	21.9	   2.9	 5.2	11.184	 0.001	122
UGC04797  	137.044572	+05.927763	19.6	      	 8.8	14.271	 0.005	0
NGC2764   	137.072973	+21.443379	37.4	      	-1.8	12.193	 0.001	0
UGC04800  	137.330995	+54.911837	45.1	   0.6	 5.9	14.127	 0.003	392
NGC2770   	137.390214	+33.123451	30.4	   3.3	 5.3	11.925	 0.001	389
NGC2775   	137.583953	+07.037979	17.0	      	 1.7	 9.473	 0.001	0
NGC2768   	137.905841	+60.037458	20.1	   3.1	-4.5	 9.646	 0.001	167
UGC04834  	137.962020	+34.963559	27.6	      	 8.0	15.710	 0.004	0
UGC04837  	138.039600	+35.531600	28.9	      	 8.7	15.042	 0.005	0
NGC2776   	138.060538	+44.954873	27.6	   8.0	 5.2	11.539	 0.001	0
UGC04845  	138.107803	+09.955413	41.3	   2.4	 6.9	14.175	 0.010	582
NGC2780   	138.184865	+34.925594	55.6	  24.5	 3.0	13.264	 0.001	0
NGC2748   	138.429388	+76.475236	21.6	   1.4	 4.0	11.160	 0.001	122
NGC2782   	138.521287	+40.113657	23.4	  10.7	 1.1	11.232	 0.014	0
UGC04867  	138.679675	+40.879928	33.3	      	 7.0	14.499	 0.006	0
UGC04841  	138.698888	+74.232402	27.3	   9.8	 6.9	13.133	 0.011	0
UGC04871  	138.733922	+39.262725	33.4	      	 8.8	15.595	 0.013	0
UGC04878  	138.861767	+31.401682	25.0	      	 9.0	16.256	 0.003	0
NGC2793   	139.194300	+34.431680	26.3	      	 8.7	13.614	 0.002	0
NGC2798   	139.345273	+41.999978	25.7	   3.1	 1.1	11.366	 0.001	0
NGC2799   	139.379530	+41.993907	27.4	      	 8.8	13.679	 0.001	0
NGC2787   	139.827383	+69.203333	10.2	   3.9	-1.0	 9.922	 0.001	153
NGC2805   	140.085004	+64.102980	27.8	   0.8	 6.9	11.783	 0.001	0
UGC04953  	140.107576	+36.245640	29.1	      	 7.0	16.057	 0.003	0
NGC2814   	140.297700	+64.251940	27.1	      	 2.8	13.518	 0.001	0
UGC04970  	140.439852	+39.524689	55.5	   4.5	 5.7	14.502	 0.002	398
NGC2820   	140.440427	+64.257798	32.1	   4.4	 5.3	12.101	 0.001	0
NGC2844   	140.450136	+40.151265	37.9	   9.3	 0.6	12.389	 0.001	388
NGC2841   	140.511219	+50.976585	16.8	   5.3	 3.0	 8.713	 0.001	293
UGC04982  	140.762661	+44.554858	35.1	      	 7.9	13.329	 0.001	0
UGC04988  	140.813275	+34.734417	21.0	      	 9.0	14.914	 0.003	0
NGC2854   	141.013174	+49.204229	33.7	   1.9	 3.1	12.501	 0.001	0
NGC2859   	141.077201	+34.513533	27.3	   1.9	-1.2	10.467	 0.001	0
UGC05004  	141.141592	+34.659383	24.5	      	10.0	15.004	 0.005	0
UGC05015  	141.450252	+34.277248	22.0	      	 7.9	14.354	 0.224	0
UGC05020  	141.506205	+34.653300	32.4	   2.5	 5.8	14.431	 0.002	381
NGC2882   	141.650581	+07.954567	37.9	   1.5	 5.0	12.450	 0.001	582
NGC2894   	142.376007	+07.718839	42.3	   3.2	 1.0	11.786	 0.001	582
NGC2893   	142.570656	+29.540002	26.8	      	 0.3	12.719	 0.001	0
UGC05050  	142.795894	+76.465184	29.0	      	 3.1	13.974	 0.006	0
NGC2906   	143.025968	+08.441823	38.4	   1.3	 5.9	11.724	 0.001	555
NGC2903   	143.042403	+21.501831	 9.1	   1.6	 4.0	 8.400	 0.001	271
NGC2919   	143.698035	+10.283742	41.8	   4.1	 3.7	12.583	 0.001	582
UGC05107  	143.781076	+05.120066	37.4	   3.5	 6.4	15.186	 0.002	555
NGC2938   	144.604049	+76.319302	46.0	  13.5	 5.8	14.027	 0.004	154
UGC05114  	145.019931	+82.104955	21.4	      	 9.9	15.409	 0.006	0
NGC2962   	145.224724	+05.165910	33.9	   4.3	-1.1	11.353	 0.001	555
NGC2967   	145.513799	+00.336436	30.9	      	 5.2	11.322	 0.001	0
NGC2966   	145.547837	+04.673138	25.9	   4.7	 4.2	12.077	 0.002	0
PGC027747 	145.596634	-06.251936	30.4	   2.7	 6.1	14.306	 0.008	537
NGC2974   	145.638709	-03.699192	24.7	   6.0	-4.3	10.520	 0.001	537
NGC2964   	145.725892	+31.847374	21.2	   2.3	 4.1	10.789	 0.001	378
UGC05179  	145.756952	+58.973606	18.1	      	 3.7	14.593	 0.005	0
NGC2968   	145.800077	+31.928740	13.9	   9.1	 1.2	10.930	 0.005	0
PGC027825 	145.869150	-05.365380	25.2	      	 7.0	14.193	 0.012	0
PGC027833 	145.900907	-05.912533	28.8	      	 7.4	13.340	 0.001	0
UGC05228  	146.515258	+01.668345	31.9	   3.7	 4.9	12.608	 0.001	0
UGC05238  	146.724972	+00.508064	34.5	   5.8	 7.0	14.297	 0.001	538
UGC05203  	146.732444	+79.810764	28.4	   1.4	 6.4	14.966	 0.006	122
NGC2976   	146.813661	+67.916707	 3.6	   0.7	 5.2	 9.907	 0.001	217
UGC05249  	146.938888	+02.626866	27.7	   1.5	 6.7	14.055	 0.007	539
NGC3003   	147.148757	+33.421633	22.7	   3.7	 4.3	11.871	 0.001	378
NGC3018   	147.422690	+00.621409	24.9	      	 3.1	13.687	 0.001	0
NGC3023   	147.468653	+00.619035	31.5	   2.5	 5.5	12.992	 0.001	0
NGC3020   	147.527590	+12.813720	28.5	   9.5	 5.9	12.922	 0.001	401
PGC028308 	147.558140	-12.057475	75.1	   0.2	 6.7	12.654	 0.001	0
UGC05272  	147.594130	+31.487820	 6.8	   0.4	 9.8	15.156	 0.010	0
NGC3024   	147.613982	+12.765714	18.9	      	 5.0	13.436	 0.009	0
NGC3026   	147.730456	+28.551058	25.4	   1.3	 9.7	13.209	 0.001	0
NGC3021   	147.738159	+33.553599	27.3	   3.8	 4.0	11.665	 0.001	378
NGC3032   	148.033996	+29.236235	22.9	   1.7	-1.9	12.226	 0.001	379
NGC3044   	148.419984	+01.579714	23.3	   2.2	 5.6	11.360	 0.001	373
NGC3049   	148.706654	+09.271200	30.8	   1.1	 2.5	12.430	 0.001	401
NGC3055   	148.825245	+04.269998	31.6	   3.2	 5.3	11.909	 0.001	557
NGC3031   	148.888327	+69.065347	 3.7	   0.5	 2.4	 6.345	 0.001	217
NGC3034   	148.968000	+69.679750	 3.8	   0.7	 7.5	 6.763	 0.001	217
NGC3061   	149.050248	+75.866441	55.1	  22.9	 5.3	13.146	 0.001	0
NGC3043   	149.061900	+59.307160	46.2	   0.6	 3.0	12.939	 0.001	0
UGC05340  	149.190520	+28.826112	 5.9	   0.0	 9.7	15.567	 0.011	0
UGC05347  	149.319067	+04.527696	50.8	   0.9	 6.5	14.500	 0.001	555
UGC05336  	149.383200	+69.045960	 4.2	   2.6	 9.9	15.470	 0.003	217
UGC05349  	149.526245	+37.292979	23.4	      	 7.8	14.145	 0.003	0
NGC3067   	149.587799	+32.370092	21.3	   2.9	 2.1	11.328	 0.001	0
UGC05358  	149.696492	+11.388681	38.9	      	 3.1	14.731	 0.002	0
UGC05354  	149.722582	+47.736981	15.6	      	 4.3	14.410	 0.067	158
UGC05373  	150.000420	+05.332220	 1.6	   0.3	 9.9	12.310	 0.003	227
UGC05376  	150.112671	+03.374372	27.3	      	 7.8	12.042	 0.002	0
NGC3073   	150.216899	+55.618860	23.2	   7.3	-2.8	13.194	 0.008	157
NGC3094   	150.358116	+15.770114	39.2	   3.4	 1.1	11.197	 0.001	0
UGC05391  	150.421554	+37.247490	25.8	      	 8.9	14.867	 0.003	0
UGC05393  	150.425423	+33.136380	24.2	      	 8.0	14.560	 0.002	0
NGC3079   	150.490903	+55.679875	19.1	   1.5	 6.6	 9.585	 0.001	157
NGC3098   	150.569611	+24.711167	20.3	   5.5	-1.5	11.816	 0.001	0
UGC05401  	150.630646	+19.033002	26.7	      	 9.7	15.888	 0.004	0
UGC05403  	150.648093	+19.177004	27.8	      	 0.0	12.749	 0.001	0
PGC029086 	150.650575	-06.012597	10.2	   2.3	 7.2	14.910	 0.008	0
NGC3104   	150.987900	+40.755750	 9.4	      	 9.9	13.382	 0.003	0
UGC05427  	151.170613	+29.364377	 7.1	      	 7.7	15.071	 0.047	274
UGC05421  	151.173750	+55.311360	15.3	   0.1	 8.0	16.216	 0.014	0
NGC3115   	151.308123	-07.718601	10.2	   1.4	-2.9	 8.476	 0.001	270
UGC05423  	151.377620	+70.365217	 7.7	   2.1	 9.9	14.839	 0.004	217
NGC3057   	151.414585	+80.286652	25.7	      	 7.9	13.538	 0.040	0
PGC029300 	151.423327	-07.981516	11.3	   2.8	-1.9	12.728	 0.002	0
UGC05446  	151.628755	+32.946665	36.8	   1.6	 5.9	15.213	 0.016	378
NGC3118   	151.798218	+33.027431	27.8	   1.1	 4.1	13.895	 0.002	378
UGC05451  	151.828817	+47.006538	 8.4	      	 9.9	13.639	 0.001	286
UGC05456  	151.831795	+10.362022	 4.1	   1.4	 9.0	13.996	 0.117	0
UGC05464  	152.032153	+29.542962	13.6	      	 8.7	15.679	 0.023	0
UGC05478  	152.382549	+30.149890	23.4	      	 9.9	14.533	 0.005	0
PGC029653 	152.754321	-04.692623	 1.4	   0.2	 9.9	12.054	 0.007	227
NGC3165   	153.380400	+03.374940	17.8	      	 8.5	14.158	 0.001	0
NGC3162   	153.381615	+22.737555	26.7	   3.2	 4.6	11.775	 0.001	0
NGC3166   	153.440425	+03.424893	22.0	      	 0.3	 9.850	 0.001	0
UGC05522  	153.495419	+07.024039	38.0	  12.9	 6.4	14.124	 0.024	372
