#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:44:48 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:44:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/234/18/table3&-out.max=unlimited&-out=Name,sma,mu36corr,e_mu36corr,ell,tmagcorr,e_tmagcorr	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22340018
#Name: J/ApJS/234/18
#Title: GALEX/S4G surface brightness profiles. I. (Bouquin+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	creator=Bouquin A.Y.K.	    First author or institution
#INFO	cites=bibcode:2018ApJS..234...18B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/234/18	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22340018	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-07-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_234_18_table3:
#Name: J/ApJS/234/18/table3
#Title: Surface brightness data for the 1931 galaxies
#Column	Name	(a10)	Galaxy identifier using S^4^G nomenclature	[ucd=meta.id;meta.main]
#Column	sma	(I3)	[6/498] Semi-major axis steps in arcsec	[ucd=phys.angSize;src]
#Column	mu36corr	(F6.3)	[14/39]? 3.6um aperture-corrected surface brightness (1)	[ucd=phot.mag.sb;em.IR.3-4um]
#Column	e_mu36corr	(F9.3)	[0/21707]? 1{sigma} uncertainty in SB36 (1)	[ucd=stat.error]
#Column	ell	(F6.3)	Ellipticity	[ucd=src.ellipticity]
#Column	tmagcorr	(F6.3)	[6/22]? 3.6um aperture-corrected AB magnitude inside aperture (1)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_tmagcorr	(F6.3)	[0/1.1]? 1{sigma} uncertainty in tmagcorr (1)	[ucd=stat.error]
Name	sma	mu36corr	e_mu36corr	ell	tmagcorr	e_tmagcorr
ESO482-046	156	26.949	    0.913	 0.816	13.139	 0.032
ESO482-046	162	27.751	    1.908	 0.816	13.138	 0.035
ESO482-046	168	27.479	    1.485	 0.816	13.136	 0.037
ESO482-046	174	      	         	 0.816	13.135	 0.040
ESO482-046	180	27.926	    2.239	 0.816	13.135	 0.043
ESO482-046	186	27.483	    1.488	 0.816	13.134	 0.045
ESO482-046	192	27.012	    0.964	 0.816	13.133	 0.048
ESO482-046	198	28.197	    2.869	 0.816	13.131	 0.051
ESO482-046	204	27.664	    1.755	 0.816	13.130	 0.054
ESO482-046	210	27.661	    1.749	 0.816	13.129	 0.058
ESO482-046	216	29.441	    9.015	 0.816	13.128	 0.061
ESO482-046	222	30.596	   26.110	 0.816	13.128	 0.064
ESO482-046	228	29.464	    9.200	 0.816	13.128	 0.068
ESO482-046	234	27.658	    1.743	 0.816	13.127	 0.071
ESO482-046	240	28.767	    4.837	 0.816	13.127	 0.075
ESO483-008	  6	22.834	    0.037	 0.500	18.261	 0.029
ESO483-008	 12	23.528	    0.068	 0.500	17.225	 0.041
ESO483-008	 18	24.274	    0.134	 0.500	16.745	 0.059
ESO483-008	 24	25.012	    0.262	 0.500	16.534	 0.085
ESO483-008	 30	25.501	    0.410	 0.500	16.389	 0.111
ESO483-008	 36	26.430	    0.961	 0.500	16.324	 0.143
ESO483-008	 42	      	         	 0.500	16.301	 0.189
ESO483-008	 48	      	         	 0.500	16.316	 0.253
ESO483-008	 54	      	         	 0.500	16.320	 0.323
ESO483-008	 60	      	         	 0.500	16.312	 0.391
ESO483-008	 66	31.692	  121.636	 0.500	16.315	 0.465
ESO483-013	  6	20.374	    0.002	 0.381	15.371	 0.002
ESO483-013	 12	21.393	    0.005	 0.381	14.528	 0.003
ESO483-013	 18	22.232	    0.011	 0.381	14.167	 0.004
ESO483-013	 24	22.914	    0.021	 0.381	13.974	 0.006
ESO483-013	 30	23.357	    0.032	 0.381	13.861	 0.008
ESO483-013	 36	23.787	    0.047	 0.381	13.774	 0.010
ESO483-013	 42	24.252	    0.071	 0.381	13.705	 0.013
ESO483-013	 48	24.680	    0.106	 0.381	13.657	 0.016
ESO483-013	 54	24.915	    0.131	 0.381	13.619	 0.020
ESO483-013	 60	25.307	    0.188	 0.381	13.590	 0.023
ESO483-013	 66	25.665	    0.261	 0.381	13.569	 0.027
ESO483-013	 72	26.198	    0.426	 0.381	13.556	 0.031
ESO483-013	 78	26.480	    0.552	 0.381	13.544	 0.036
ESO483-013	 84	26.470	    0.547	 0.381	13.535	 0.040
ESO483-013	 90	26.954	    0.854	 0.381	13.527	 0.045
ESO483-013	 96	26.804	    0.744	 0.381	13.520	 0.050
ESO483-013	102	27.069	    0.948	 0.381	13.513	 0.056
ESO483-013	108	27.294	    1.167	 0.381	13.508	 0.063
ESO485-021	  6	22.282	    0.016	 0.071	16.911	 0.012
ESO485-021	 12	22.774	    0.024	 0.071	15.917	 0.016
ESO485-021	 18	23.217	    0.036	 0.071	15.429	 0.021
ESO485-021	 24	23.497	    0.046	 0.071	15.062	 0.026
ESO485-021	 30	23.677	    0.054	 0.071	14.799	 0.031
ESO485-021	 36	23.964	    0.070	 0.071	14.599	 0.036
ESO485-021	 42	24.188	    0.086	 0.071	14.430	 0.042
ESO485-021	 48	24.353	    0.100	 0.071	14.295	 0.048
ESO485-021	 54	24.566	    0.121	 0.071	14.180	 0.054
ESO485-021	 60	24.705	    0.137	 0.071	14.074	 0.061
ESO485-021	 66	24.831	    0.154	 0.071	13.985	 0.068
ESO485-021	 72	25.125	    0.202	 0.071	13.908	 0.075
ESO485-021	 78	25.295	    0.236	 0.071	13.842	 0.082
ESO485-021	 84	25.444	    0.270	 0.071	13.782	 0.092
ESO485-021	 90	25.729	    0.351	 0.071	13.729	 0.102
ESO485-021	 96	25.984	    0.444	 0.071	13.686	 0.113
ESO485-021	102	26.215	    0.549	 0.071	13.654	 0.125
ESO485-021	108	26.677	    0.840	 0.071	13.629	 0.137
ESO485-021	114	26.920	    1.051	 0.071	13.610	 0.151
ESO485-021	120	27.481	    1.761	 0.071	13.598	 0.166
ESO485-021	126	29.237	    8.867	 0.071	13.589	 0.182
ESO485-021	132	28.155	    3.275	 0.071	13.582	 0.200
ESO485-021	138	28.789	    5.869	 0.071	13.577	 0.218
ESO485-021	144	      	         	 0.071	13.578	 0.238
ESO486-003	  6	22.563	    0.020	 0.533	18.392	 0.018
ESO486-003	 12	23.250	    0.036	 0.533	17.369	 0.024
ESO486-003	 18	23.865	    0.061	 0.533	16.861	 0.033
ESO486-003	 24	24.315	    0.092	 0.533	16.481	 0.046
ESO486-003	 30	24.656	    0.125	 0.533	16.211	 0.058
ESO486-003	 36	24.944	    0.162	 0.533	16.028	 0.071
ESO486-003	 42	25.044	    0.177	 0.533	15.870	 0.086
ESO486-003	 48	25.580	    0.290	 0.533	15.750	 0.101
ESO486-003	 54	25.879	    0.381	 0.533	15.672	 0.118
ESO486-003	 60	26.502	    0.675	 0.533	15.618	 0.136
ESO486-003	 66	27.153	    1.227	 0.533	15.585	 0.157
ESO486-003	 72	28.480	    4.162	 0.533	15.564	 0.181
ESO486-003	 78	      	         	 0.533	15.553	 0.207
ESO486-003	 84	28.206	    3.229	 0.533	15.547	 0.235
ESO486-021	  6	21.411	    0.011	 0.333	16.393	 0.009
ESO486-021	 12	22.088	    0.021	 0.333	15.343	 0.013
ESO486-021	 18	22.970	    0.047	 0.333	14.895	 0.019
ESO486-021	 24	23.728	    0.093	 0.333	14.697	 0.027
ESO486-021	 30	24.347	    0.165	 0.333	14.596	 0.035
ESO486-021	 36	25.522	    0.486	 0.333	14.556	 0.043
ESO486-021	 42	26.545	    1.245	 0.333	14.543	 0.053
ESO486-021	 48	28.693	    9.000	 0.333	14.539	 0.068
ESO486-021	 54	      	         	 0.333	14.546	 0.086
ESO486-021	 60	      	         	 0.333	14.559	 0.105
ESO486-021	 66	      	         	 0.333	14.573	 0.127
ESO486-021	 72	      	         	 0.333	14.589	 0.152
ESO486-021	 78	      	         	 0.333	14.608	 0.184
ESO501-080	  6	20.679	    0.003	 0.731	16.750	 0.003
ESO501-080	 12	21.203	    0.004	 0.731	15.520	 0.003
ESO501-080	 18	21.673	    0.006	 0.731	14.942	 0.003
ESO501-080	 24	22.151	    0.009	 0.731	14.615	 0.004
ESO501-080	 30	22.579	    0.013	 0.731	14.402	 0.005
ESO501-080	 36	22.889	    0.018	 0.731	14.251	 0.006
ESO501-080	 42	23.113	    0.021	 0.731	14.128	 0.008
ESO501-080	 48	23.637	    0.034	 0.731	14.042	 0.009
ESO501-080	 54	24.096	    0.052	 0.731	13.978	 0.011
ESO501-080	 60	24.310	    0.063	 0.731	13.929	 0.013
ESO501-080	 66	24.750	    0.094	 0.731	13.890	 0.015
ESO501-080	 72	25.197	    0.142	 0.731	13.864	 0.017
ESO501-080	 78	25.549	    0.196	 0.731	13.845	 0.020
ESO501-080	 84	25.843	    0.257	 0.731	13.829	 0.022
ESO501-080	 90	25.951	    0.283	 0.731	13.818	 0.025
ESO501-080	 96	26.427	    0.438	 0.731	13.808	 0.028
ESO501-080	102	26.370	    0.415	 0.731	13.801	 0.031
ESO501-080	108	26.472	    0.455	 0.731	13.794	 0.033
ESO501-080	114	26.569	    0.498	 0.731	13.787	 0.036
ESO501-080	120	27.384	    1.053	 0.731	13.782	 0.040
ESO501-080	126	28.212	    2.256	 0.731	13.779	 0.043
ESO501-080	132	27.350	    1.019	 0.731	13.776	 0.047
ESO501-080	138	27.325	    0.995	 0.731	13.772	 0.051
ESO501-080	144	27.684	    1.384	 0.731	13.769	 0.056
ESO502-023	  6	22.786	    0.041	 0.583	18.487	 0.036
ESO502-023	 12	23.171	    0.056	 0.583	17.222	 0.042
ESO502-023	 18	23.771	    0.097	 0.583	16.728	 0.052
ESO502-023	 24	24.301	    0.157	 0.583	16.451	 0.068
ESO502-023	 30	24.969	    0.290	 0.583	16.301	 0.090
ESO502-023	 36	25.492	    0.469	 0.583	16.195	 0.117
ESO502-023	 42	26.152	    0.860	 0.583	16.138	 0.146
ESO502-023	 48	27.269	    2.404	 0.583	16.101	 0.180
ESO502-023	 54	28.311	    6.274	 0.583	16.076	 0.218
ESO502-023	 60	29.144	   13.499	 0.583	16.072	 0.267
ESO502-023	 66	      	         	 0.583	16.082	 0.323
ESO503-022	  6	21.452	    0.003	 0.500	16.859	 0.003
ESO503-022	 12	21.911	    0.005	 0.500	15.614	 0.003
ESO503-022	 18	22.483	    0.008	 0.500	15.082	 0.004
ESO503-022	 24	22.948	    0.012	 0.500	14.785	 0.005
ESO503-022	 30	23.648	    0.022	 0.500	14.610	 0.007
ESO503-022	 36	24.281	    0.039	 0.500	14.502	 0.009
ESO503-022	 42	24.948	    0.072	 0.500	14.439	 0.011
ESO503-022	 48	25.556	    0.126	 0.500	14.406	 0.014
ESO503-022	 54	26.284	    0.245	 0.500	14.389	 0.016
ESO503-022	 60	27.141	    0.538	 0.500	14.380	 0.020
ESO503-022	 66	27.651	    0.861	 0.500	14.376	 0.023
ESO503-022	 72	28.499	    1.878	 0.500	14.373	 0.027
ESO503-022	 78	28.689	    2.236	 0.500	14.372	 0.031
ESO503-022	 84	28.811	    2.501	 0.500	14.370	 0.035
ESO503-022	 90	29.324	    4.009	 0.500	14.368	 0.039
ESO504-010	  6	22.447	    0.017	 0.667	18.360	 0.015
ESO504-010	 12	22.968	    0.025	 0.667	17.365	 0.018
ESO504-010	 18	23.631	    0.043	 0.667	16.829	 0.023
ESO504-010	 24	24.314	    0.079	 0.667	16.520	 0.032
ESO504-010	 30	24.895	    0.134	 0.667	16.339	 0.042
ESO504-010	 36	25.546	    0.242	 0.667	16.239	 0.055
ESO504-010	 42	26.780	    0.749	 0.667	16.174	 0.070
ESO504-010	 48	27.361	    1.273	 0.667	16.139	 0.089
ESO504-010	 54	27.209	    1.103	 0.667	16.122	 0.110
ESO504-010	 60	28.529	    3.709	 0.667	16.109	 0.132
ESO504-010	 66	      	         	 0.667	16.107	 0.157
ESO504-010	 72	      	         	 0.667	16.109	 0.185
ESO504-010	 78	29.706	   10.899	 0.667	16.112	 0.216
ESO504-024	  6	22.853	    0.026	 0.273	17.786	 0.019
ESO504-024	 12	23.379	    0.039	 0.273	16.638	 0.025
ESO504-024	 18	23.950	    0.065	 0.273	16.159	 0.033
ESO504-024	 24	24.442	    0.100	 0.273	15.862	 0.044
ESO504-024	 30	25.045	    0.174	 0.273	15.666	 0.058
ESO504-024	 36	25.801	    0.348	 0.273	15.557	 0.075
ESO504-024	 42	26.122	    0.466	 0.273	15.490	 0.095
ESO504-024	 48	27.354	    1.446	 0.273	15.449	 0.118
ESO504-024	 54	26.782	    0.852	 0.273	15.434	 0.142
ESO504-024	 60	27.786	    2.146	 0.273	15.408	 0.171
ESO504-024	 66	27.751	    2.075	 0.273	15.398	 0.204
ESO504-028	  6	21.575	    0.006	 0.167	16.448	 0.005
ESO504-028	 12	22.180	    0.009	 0.167	15.315	 0.006
ESO504-028	 18	22.447	    0.011	 0.167	14.695	 0.007
ESO504-028	 24	22.880	    0.017	 0.167	14.308	 0.009
ESO504-028	 30	23.225	    0.023	 0.167	14.064	 0.011
ESO504-028	 36	23.750	    0.036	 0.167	13.895	 0.013
ESO504-028	 42	24.473	    0.070	 0.167	13.808	 0.016
ESO504-028	 48	24.950	    0.108	 0.167	13.756	 0.019
ESO504-028	 54	25.512	    0.181	 0.167	13.721	 0.023
ESO504-028	 60	26.389	    0.405	 0.167	13.699	 0.028
ESO504-028	 66	26.980	    0.697	 0.167	13.686	 0.034
ESO504-028	 72	27.563	    1.191	 0.167	13.679	 0.041
ESO504-028	 78	29.073	    4.778	 0.167	13.675	 0.047
ESO504-028	 84	30.223	   13.762	 0.167	13.673	 0.054
ESO504-028	 90	27.594	    1.220	 0.167	13.669	 0.061
ESO505-002	  6	22.470	    0.019	 0.176	17.537	 0.018
ESO505-002	 12	22.596	    0.020	 0.176	16.051	 0.018
ESO505-002	 18	23.004	    0.029	 0.176	15.370	 0.020
ESO505-002	 24	23.436	    0.042	 0.176	15.014	 0.024
ESO505-002	 30	23.940	    0.067	 0.176	14.760	 0.031
ESO505-002	 36	24.356	    0.098	 0.176	14.584	 0.038
ESO505-002	 42	24.935	    0.167	 0.176	14.494	 0.045
ESO505-002	 48	25.183	    0.209	 0.176	14.437	 0.052
ESO505-002	 54	25.581	    0.301	 0.176	14.387	 0.061
ESO505-002	 60	26.127	    0.498	 0.176	14.358	 0.071
ESO505-002	 66	26.777	    0.905	 0.176	14.334	 0.084
ESO505-002	 72	28.899	    6.383	 0.176	14.330	 0.099
ESO505-002	 78	27.572	    1.880	 0.176	14.325	 0.115
ESO505-002	 84	28.873	    6.225	 0.176	14.319	 0.132
ESO505-002	 90	29.324	    9.423	 0.176	14.311	 0.148
ESO505-003	  6	20.125	    0.002	 0.793	16.467	 0.002
ESO505-003	 12	20.637	    0.003	 0.793	15.265	 0.002
ESO505-003	 18	21.194	    0.004	 0.793	14.683	 0.002
ESO505-003	 24	21.591	    0.005	 0.793	14.342	 0.002
ESO505-003	 30	21.988	    0.007	 0.793	14.101	 0.002
ESO505-003	 36	22.241	    0.008	 0.793	13.923	 0.003
ESO505-003	 42	22.504	    0.011	 0.793	13.789	 0.004
ESO505-003	 48	22.822	    0.014	 0.793	13.674	 0.004
ESO505-003	 54	23.196	    0.020	 0.793	13.594	 0.005
ESO505-003	 60	23.518	    0.026	 0.793	13.533	 0.005
ESO505-003	 66	23.893	    0.037	 0.793	13.483	 0.006
ESO505-003	 72	24.257	    0.051	 0.793	13.450	 0.007
ESO505-003	 78	24.793	    0.083	 0.793	13.431	 0.008
ESO505-003	 84	25.349	    0.138	 0.793	13.419	 0.009
ESO505-003	 90	25.735	    0.197	 0.793	13.413	 0.010
ESO505-003	 96	26.196	    0.300	 0.793	13.408	 0.012
ESO505-003	102	26.373	    0.352	 0.793	13.405	 0.013
ESO505-003	108	26.551	    0.415	 0.793	13.403	 0.014
ESO505-003	114	26.860	    0.550	 0.793	13.401	 0.016
ESO505-003	120	27.929	    1.471	 0.793	13.398	 0.018
ESO505-003	126	27.365	    0.874	 0.793	13.397	 0.020
ESO505-008	  6	21.070	    0.004	 0.667	16.845	 0.004
ESO505-008	 12	21.665	    0.006	 0.667	15.679	 0.004
ESO505-008	 18	22.263	    0.010	 0.667	15.159	 0.004
ESO505-008	 24	22.887	    0.016	 0.667	14.912	 0.006
ESO505-008	 30	23.646	    0.032	 0.667	14.779	 0.007
ESO505-008	 36	24.258	    0.055	 0.667	14.690	 0.010
ESO505-008	 42	25.128	    0.122	 0.667	14.643	 0.012
ESO505-008	 48	25.798	    0.224	 0.667	14.623	 0.015
ESO505-008	 54	28.242	    2.109	 0.667	14.616	 0.018
ESO505-008	 60	      	         	 0.667	14.613	 0.021
ESO505-008	 66	29.467	    6.451	 0.667	14.614	 0.026
ESO505-008	 72	28.562	    2.792	 0.667	14.613	 0.031
ESO505-008	 78	      	         	 0.667	14.613	 0.037
ESO505-008	 84	29.931	    9.784	 0.667	14.614	 0.043
ESO505-008	 90	      	         	 0.667	14.617	 0.050
ESO505-009	  6	22.031	    0.009	 0.500	18.120	 0.009
ESO505-009	 12	22.571	    0.013	 0.500	17.239	 0.009
ESO505-009	 18	23.103	    0.020	 0.500	16.748	 0.010
ESO505-009	 24	23.154	    0.020	 0.500	16.297	 0.012
ESO505-009	 30	23.650	    0.031	 0.500	16.009	 0.015
ESO505-009	 36	24.227	    0.052	 0.500	15.779	 0.019
ESO505-009	 42	24.972	    0.102	 0.500	15.635	 0.024
ESO505-009	 48	25.652	    0.189	 0.500	15.547	 0.032
ESO505-009	 54	26.172	    0.303	 0.500	15.488	 0.041
ESO505-009	 60	26.417	    0.378	 0.500	15.456	 0.051
ESO505-009	 66	26.434	    0.383	 0.500	15.424	 0.062
ESO505-009	 72	27.183	    0.761	 0.500	15.405	 0.075
ESO505-009	 78	26.978	    0.628	 0.500	15.384	 0.090
ESO505-009	 84	27.593	    1.105	 0.500	15.378	 0.106
ESO505-009	 90	29.471	    6.221	 0.500	15.372	 0.121
ESO505-009	 96	27.681	    1.194	 0.500	15.362	 0.136
ESO505-013	  6	21.698	    0.006	 0.371	16.816	 0.005
ESO505-013	 12	22.295	    0.009	 0.371	15.761	 0.006
ESO505-013	 18	22.782	    0.013	 0.371	15.248	 0.007
ESO505-013	 24	23.062	    0.017	 0.371	14.926	 0.009
ESO505-013	 30	23.180	    0.018	 0.371	14.653	 0.011
ESO505-013	 36	23.342	    0.021	 0.371	14.421	 0.012
ESO505-013	 42	23.469	    0.023	 0.371	14.243	 0.013
ESO505-013	 48	23.606	    0.026	 0.371	14.071	 0.015
ESO505-013	 54	23.966	    0.036	 0.371	13.938	 0.016
ESO505-013	 60	24.091	    0.041	 0.371	13.825	 0.018
ESO505-013	 66	24.252	    0.047	 0.371	13.723	 0.020
ESO505-013	 72	24.480	    0.058	 0.371	13.648	 0.022
ESO505-013	 78	24.646	    0.067	 0.371	13.583	 0.025
ESO505-013	 84	24.735	    0.072	 0.371	13.532	 0.027
ESO505-013	 90	24.970	    0.090	 0.371	13.485	 0.029
ESO505-013	 96	25.191	    0.110	 0.371	13.445	 0.032
ESO505-013	102	25.389	    0.132	 0.371	13.418	 0.034
ESO505-013	108	25.553	    0.153	 0.371	13.394	 0.037
ESO505-013	114	26.025	    0.236	 0.371	13.376	 0.039
ESO505-013	120	26.010	    0.233	 0.371	13.360	 0.042
ESO505-013	126	26.115	    0.256	 0.371	13.345	 0.045
ESO505-013	132	26.420	    0.339	 0.371	13.331	 0.048
ESO505-013	138	26.414	    0.336	 0.371	13.317	 0.051
ESO505-013	144	26.936	    0.544	 0.371	13.309	 0.055
ESO505-013	150	26.973	    0.562	 0.371	13.299	 0.058
ESO505-013	156	28.186	    1.718	 0.371	13.294	 0.062
ESO505-013	162	27.703	    1.101	 0.371	13.292	 0.066
ESO505-013	168	28.324	    1.949	 0.371	13.290	 0.071
ESO506-018	  6	21.854	    0.011	 0.818	18.089	 0.010
ESO506-018	 12	22.788	    0.021	 0.818	17.097	 0.011
ESO506-018	 18	23.795	    0.050	 0.818	16.761	 0.015
ESO506-018	 24	24.450	    0.089	 0.818	16.633	 0.020
ESO506-018	 30	25.322	    0.195	 0.818	16.572	 0.026
ESO506-018	 36	25.977	    0.351	 0.818	16.528	 0.035
ESO506-018	 42	26.992	    0.885	 0.818	16.501	 0.046
ESO506-018	 48	26.976	    0.865	 0.818	16.478	 0.058
ESO506-018	 54	28.340	    3.022	 0.818	16.456	 0.072
ESO506-018	 60	26.980	    0.859	 0.818	16.436	 0.091
ESO506-018	 66	27.056	    0.918	 0.818	16.406	 0.109
ESO506-018	 72	27.593	    1.500	 0.818	16.384	 0.127
ESO506-018	 78	      	         	 0.818	16.371	 0.149
ESO506-018	 84	28.122	    2.429	 0.818	16.367	 0.169
ESO506-029	  6	22.443	    0.039	 0.286	17.266	 0.027
ESO506-029	 12	23.029	    0.066	 0.286	16.310	 0.042
ESO506-029	 18	23.469	    0.098	 0.286	15.763	 0.057
ESO506-029	 24	23.588	    0.109	 0.286	15.442	 0.071
ESO506-029	 30	23.909	    0.146	 0.286	15.154	 0.083
ESO506-029	 36	24.109	    0.175	 0.286	14.942	 0.096
ESO506-029	 42	24.430	    0.235	 0.286	14.786	 0.109
ESO506-029	 48	24.721	    0.307	 0.286	14.685	 0.125
ESO506-029	 54	24.963	    0.383	 0.286	14.607	 0.140
ESO506-029	 60	25.331	    0.538	 0.286	14.549	 0.157
ESO506-029	 66	25.771	    0.806	 0.286	14.508	 0.177
ESO506-029	 72	26.050	    1.043	 0.286	14.476	 0.198
ESO506-033	  6	18.033	    0.001	 0.538	12.682	 0.000
ESO506-033	 12	19.821	    0.005	 0.538	12.235	 0.001
ESO506-033	 18	20.944	    0.015	 0.538	12.110	 0.002
ESO506-033	 24	21.712	    0.030	 0.538	12.045	 0.003
ESO506-033	 30	22.358	    0.054	 0.538	11.998	 0.005
ESO506-033	 36	22.830	    0.083	 0.538	11.964	 0.007
ESO506-033	 42	23.290	    0.126	 0.538	11.941	 0.009
ESO506-033	 48	23.639	    0.174	 0.538	11.925	 0.011
ESO506-033	 54	23.924	    0.226	 0.538	11.912	 0.013
ESO506-033	 60	24.347	    0.333	 0.538	11.900	 0.016
ESO506-033	 66	24.843	    0.526	 0.538	11.890	 0.020
ESO506-033	 72	24.956	    0.584	 0.538	11.883	 0.023
ESO506-033	 78	25.339	    0.831	 0.538	11.876	 0.027
ESO506-033	 84	25.828	    1.303	 0.538	11.873	 0.031
ESO506-033	 90	26.463	    2.338	 0.538	11.871	 0.035
ESO506-033	 96	26.791	    3.163	 0.538	11.869	 0.039
ESO506-033	102	27.635	    6.878	 0.538	11.868	 0.044
ESO506-033	108	29.177	   28.463	 0.538	11.867	 0.048
ESO506-033	114	      	         	 0.538	11.867	 0.054
ESO507-065	  6	22.913	    0.070	 0.286	18.032	 0.063
ESO507-065	 12	23.470	    0.115	 0.286	16.742	 0.077
ESO507-065	 18	23.953	    0.179	 0.286	16.194	 0.102
ESO507-065	 24	24.402	    0.270	 0.286	15.867	 0.133
ESO507-065	 30	24.896	    0.425	 0.286	15.653	 0.169
ESO507-065	 36	25.303	    0.618	 0.286	15.510	 0.210
ESO507-065	 42	25.523	    0.757	 0.286	15.406	 0.253
ESO507-065	 48	25.820	    0.994	 0.286	15.320	 0.300
ESO507-065	 54	25.957	    1.128	 0.286	15.243	 0.348
ESO507-065	 60	26.277	    1.513	 0.286	15.179	 0.400
ESO507-065	 66	26.121	    1.311	 0.286	15.117	 0.455
ESO507-065	 72	26.069	    1.249	 0.286	15.047	 0.507
ESO507-065	 78	26.418	    1.722	 0.286	14.995	 0.559
ESO508-007	  6	22.332	    0.012	 0.467	17.488	 0.009
ESO508-007	 12	22.975	    0.019	 0.467	16.546	 0.011
ESO508-007	 18	23.531	    0.031	 0.467	16.102	 0.015
ESO508-007	 24	23.765	    0.037	 0.467	15.741	 0.019
ESO508-007	 30	24.414	    0.066	 0.467	15.501	 0.024
ESO508-007	 36	24.626	    0.080	 0.467	15.342	 0.030
ESO508-007	 42	24.726	    0.087	 0.467	15.198	 0.036
ESO508-007	 48	25.836	    0.239	 0.467	15.113	 0.044
ESO508-007	 54	28.348	    2.410	 0.467	15.111	 0.055
ESO508-007	 60	27.744	    1.376	 0.467	15.109	 0.067
ESO508-007	 66	      	         	 0.467	15.111	 0.080
ESO508-007	 72	      	         	 0.467	15.122	 0.095
ESO508-007	 78	      	         	 0.467	15.138	 0.112
ESO508-007	 84	27.783	    1.415	 0.467	15.153	 0.131
ESO508-007	 90	27.616	    1.211	 0.467	15.132	 0.147
ESO508-007	 96	      	         	 0.467	15.131	 0.168
ESO508-007	102	27.914	    1.589	 0.467	15.122	 0.187
ESO508-011	  6	20.574	    0.003	 0.794	17.080	 0.004
ESO508-011	 12	21.044	    0.004	 0.794	15.801	 0.003
ESO508-011	 18	21.417	    0.005	 0.794	15.176	 0.003
ESO508-011	 24	21.649	    0.006	 0.794	14.731	 0.003
ESO508-011	 30	21.848	    0.007	 0.794	14.369	 0.004
ESO508-011	 36	22.101	    0.009	 0.794	14.118	 0.004
ESO508-011	 42	22.425	    0.011	 0.794	13.936	 0.005
ESO508-011	 48	22.753	    0.015	 0.794	13.806	 0.005
ESO508-011	 54	23.034	    0.019	 0.794	13.703	 0.006
ESO508-011	 60	23.354	    0.026	 0.794	13.626	 0.007
ESO508-011	 66	23.635	    0.033	 0.794	13.569	 0.008
ESO508-011	 72	23.884	    0.041	 0.794	13.521	 0.009
ESO508-011	 78	24.115	    0.051	 0.794	13.483	 0.010
ESO508-011	 84	24.465	    0.070	 0.794	13.448	 0.011
ESO508-011	 90	24.823	    0.097	 0.794	13.427	 0.013
ESO508-011	 96	25.119	    0.128	 0.794	13.407	 0.014
ESO508-011	102	25.443	    0.172	 0.794	13.394	 0.016
ESO508-011	108	26.057	    0.302	 0.794	13.385	 0.017
ESO508-011	114	26.515	    0.459	 0.794	13.379	 0.019
ESO508-011	120	26.360	    0.398	 0.794	13.375	 0.021
ESO508-011	126	26.961	    0.691	 0.794	13.372	 0.023
ESO508-011	132	27.422	    1.055	 0.794	13.371	 0.025
ESO508-011	138	28.299	    2.364	 0.794	13.370	 0.028
ESO508-011	144	27.167	    0.832	 0.794	13.369	 0.030
ESO508-011	150	27.590	    1.228	 0.794	13.367	 0.032
ESO508-011	156	28.372	    2.521	 0.794	13.366	 0.035
ESO508-011	162	26.804	    0.595	 0.794	13.364	 0.037
ESO508-011	168	      	         	 0.794	13.361	 0.039
ESO508-011	174	26.890	    0.642	 0.794	13.359	 0.042
ESO508-011	180	27.493	    1.119	 0.794	13.355	 0.044
ESO508-011	186	27.313	    0.947	 0.794	13.353	 0.046
ESO508-011	192	27.531	    1.157	 0.794	13.352	 0.048
ESO508-030	  6	23.442	    0.039	 0.773	20.055	 0.041
ESO508-030	 12	23.646	    0.041	 0.773	18.788	 0.032
ESO508-030	 18	23.869	    0.047	 0.773	18.072	 0.032
ESO508-030	 24	24.094	    0.056	 0.773	17.505	 0.035
