#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-02T15:48:49 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T15:48:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/831/134/table2&-out.max=300&-out=*	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18310134
#Name: J/ApJ/831/134
#Title: BH masses & host galaxy dispersion vel. (van den Bosch, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/831/134	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/831/134	    IVOID of underlying data collection
#INFO	creator=van den Bosch R.C.E.	    First author or institution
#INFO	cites=bibcode:2016ApJ...831..134V	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/831/134	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18310134	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_831_134_table2:
#Name: J/ApJ/831/134/table2
#Title: Sample of the black hole mass measurements and the growth curve photometry
#Column	Name	(a14)	Name	[ucd=meta.id;meta.main]
#Column	f_Name	(I1)	? Omission Flag (1)	[ucd=meta.code]
#Column	Dist	(F6.1)	[0.008/1251] Distance	[ucd=pos.distance;pos.heliocentric]
#Column	logBHMass	(F5.2)	[0/10.4] Black Hole Mass, log solar units	[ucd=phys.mass]
#Column	E_logBHMass	(F5.2)	[0.02/7] Upper uncertainty on BHMass	[ucd=stat.error;stat.max]
#Column	logsigma	(F5.2)	[1.1/2.6]? Stellar velocity dispersion inside Re, log km/s	[ucd=phys.veloc.dispersion]
#Column	logLk	(F5.2)	[8.2/12.3]? Total luminosity, log solar units	[ucd=phys.luminosity]
#Column	logRe	(F5.2)	[-1.7/1.5]? Half-light radius (=R50), log kpc	[ucd=phys.size.radius]
#Column	cov	(F5.2)	[0.02/0.2]? Covariance between Lk and Re	[ucd=stat.covariance]
#Column	C28	(F4.1)	[2.5/11]? Concentration, 5log(R20/R80)	[ucd=meta.note]
#Column	logAGN	(F5.2)	[6.5/12]? Non-stellar AGN flux, log solar units	[ucd=phys.luminosity]
#Column	Meth	(a6)	Method used for BH mass measurement (2)	[ucd=meta.note]
#Column	Refs	(a8)	Literature Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	f_Name	Dist	logBHMass	E_logBHMass	logsigma	logLk	logRe	cov	C28	logAGN	Meth	Refs	SimbadName	NED	_RA	_DE
NGC4303       	 	  17.9	 6.51	 0.74	 1.92	11.17	 0.81	 0.05	 3.9	     	gas   	70      	NGC4303                	NED	185.47896	+04.47359
NGC4314       	 	  15.5	 6.91	 0.30	 2.03	10.90	 0.81	 0.06	 5.2	     	gas   	7       	NGC4314                	NED	185.63324	+29.89530
NGC4321       	 	  14.2	 6.67	 0.17	 1.92	11.14	 0.98	 0.08	 4.2	     	gas   	7       	NGC4321                	NED	185.72875	+15.82238
NGC4335       	 	  59.1	 8.39	 0.31	 2.41	11.30	 0.60	 0.05	 5.8	     	gas   	7       	NGC4335                	NED	185.75795	+58.44471
NGC4342       	 	  22.9	 8.66	 0.19	 2.38	10.44	-0.24	 0.04	 8.6	     	star  	18      	NGC4342                	NED	185.91260	+07.05394
NGC4350       	 	  17.0	 8.58	 0.41	 2.24	10.69	 0.23	 0.05	 6.0	     	star  	73      	NGC4350                	NED	185.99089	+16.69336
NGC4371       	 	  16.9	 6.84	 0.07	 2.16	10.78	 0.40	 0.04	 4.7	     	stars 	75      	NGC4371                	NED	186.23096	+11.70429
NGC4374       	 	  18.5	 8.97	 0.05	 2.41	11.40	 0.57	 0.02	 5.0	     	gas   	89      	NGC4374                	NED	186.26560	+12.88698
NGC4382       	 	  17.9	 7.11	 1.24	 2.25	11.50	 0.86	 0.05	 4.8	     	star  	38      	NGC4382                	NED	186.35022	+18.19108
NGC4388       	 	  16.5	 6.86	 0.04	 2.03	10.72	 0.75	 0.05	 5.2	 8.71	maser 	52      	NGC4388                	NED	186.44508	+12.66207
NGC4429       	 	  18.2	 7.85	 0.35	 2.25	11.42	 1.04	 0.06	 5.2	     	gas   	7       	NGC4429                	NED	186.86066	+11.10754
NGC4435       	 	  17.0	 0.00	 6.30	 2.18	10.70	 0.14	 0.05	 5.2	     	star  	17      	NGC4435                	NED	186.91876	+13.07902
NGC4450       	 	  28.3	 8.06	 0.28	 2.03	11.60	 1.11	 0.06	 4.7	     	gas   	7       	NGC4450                	NED	187.12347	+17.08495
NGC4459       	 	  16.0	 7.84	 0.09	 2.20	10.94	 0.42	 0.03	 5.8	     	gas   	76      	NGC4459                	NED	187.25011	+13.97858
NGC4472       	 	  17.1	 9.40	 0.04	 2.40	11.75	 0.89	 0.04	 5.2	     	star  	74      	NGC4472                	NED	187.44499	+08.00041
NGC4473       	 	  15.2	 7.95	 0.24	 2.27	10.89	 0.38	 0.03	 5.8	     	star  	78      	NGC4473                	NED	187.45366	+13.42932
NGC4477       	 	  20.8	 7.55	 0.30	 2.17	11.17	 0.69	 0.06	 5.1	     	gas   	7       	NGC4477                	NED	187.50905	+13.63644
NGC4486       	 	  16.7	 9.58	 0.10	 2.42	11.61	 0.82	 0.03	 5.7	 7.57	gas   	91      	NGC4486                	NED	187.70593	+12.39112
NGC4486A      	 	  16.0	 7.10	 0.15	 2.09	10.08	-0.19	 0.03	 4.9	     	star  	63      	NGC4486A               	NED	187.74054	+12.27036
NGC4486B      	 	  16.5	 8.60	 0.02	 2.23	 9.75	-0.70	 0.10	 4.8	     	star  	75      	NGC4486B               	NED	187.63327	+12.49024
NGC4501       	 	  16.5	 7.30	 0.08	 2.20	11.27	 0.72	 0.03	 3.5	 9.23	stars 	75      	NGC4501                	NED	187.99673	+14.42041
NGC4507       	 	  47.0	 7.18	 0.35	 2.16	11.08	 0.62	 0.04	 4.1	10.38	gas   	7       	NGC4507                	NED	188.90257	-39.90921
NGC4526       	 	  16.4	 8.65	 0.12	 2.32	11.22	 0.54	 0.07	 5.6	     	gas   	21      	NGC4526                	NED	188.51262	+07.69914
NGC4548       	 	  17.9	 7.25	 0.29	 2.16	11.27	 1.08	 0.07	 4.2	     	gas   	7       	NGC4548                	NED	188.86012	+14.49632
NGC4552       	 	  15.3	 8.70	 0.05	 2.35	11.11	 0.45	 0.05	 6.3	     	stars 	15      	NGC4552                	NED	188.91590	+12.55630
NGC4564       	 	  15.9	 7.95	 0.12	 2.19	10.67	 0.42	 0.03	 6.5	     	star  	78      	NGC4564                	NED	189.11247	+11.43932
NGC4579       	 	  23.0	 7.96	 0.36	 2.04	11.61	 1.03	 0.07	 4.9	     	gas   	7       	NGC4579                	NED	189.43165	+11.81809
NGC4593       	 	  38.5	 6.86	 0.21	 2.13	11.35	 0.98	 0.06	 5.6	10.28	reverb	5       	NGC4593                	NED	189.91455	-05.34421
NGC4594       	 	   9.9	 8.82	 0.05	 2.38	11.39	 0.74	 0.04	 4.2	     	star  	44      	NGC4594                	NED	189.99763	-11.62305
NGC4596       	 	  16.5	 7.89	 0.26	 2.10	10.97	 0.70	 0.14	 5.3	     	gas   	76      	NGC4596                	NED	189.98306	+10.17603
NGC4621       	 	  18.3	 8.60	 0.09	 2.30	11.19	 0.53	 0.06	 5.2	     	stars 	15      	NGC4621                	NED	190.50967	+11.64693
NGC4649       	 	  16.5	 9.67	 0.10	 2.43	11.66	 0.90	 0.05	 5.8	     	star  	80      	NGC4649                	NED	190.91670	+11.55261
NGC4697       	 	  12.5	 8.31	 0.11	 2.23	11.08	 0.64	 0.03	 4.9	     	star  	78      	NGC4697                	NED	192.14961	-05.80085
NGC4698       	 	  16.4	 7.76	 0.16	 2.09	10.82	 0.56	 0.05	 5.0	     	gas   	7       	NGC4698                	NED	192.09557	+08.48724
NGC4742       	 	  15.7	 7.10	 0.15	 1.95	10.46	 0.06	 0.08	 7.8	     	star  	83      	NGC4742                	NED	192.95017	-10.45479
NGC4748       	 	  62.7	 6.36	 0.26	 2.02	10.82	 0.62	 0.04	 3.4	10.30	reverb	8       	NGC4748                	NED	193.05188	-13.41467
NGC4751       	 	  26.9	 9.15	 0.06	 2.55	10.95	 0.52	 0.05	 6.4	     	star  	74      	NGC4751                	NED	193.21167	-42.65996
NGC4800       	 	  12.5	 7.02	 0.53	 2.01	10.23	 0.01	 0.04	 4.2	     	gas   	7       	NGC4800                	NED	193.65740	+46.53114
NGC4889       	 	 102.0	10.32	 0.44	 2.56	12.13	 1.34	 0.03	 5.6	     	star  	56a     	NGC4889                	NED	195.03374	+27.97702
NGC4945       	 	   3.7	 6.14	 0.18	 2.13	10.80	 0.77	 0.08	 3.9	     	maser 	35      	NGC4945                	NED	196.36366	-49.46790
NGC5005       	 	  14.6	 8.27	 0.23	 2.30	11.10	 0.54	 0.04	 5.0	     	gas   	7       	NGC5005                	NED	197.73463	+37.05894
NGC5055       	 	   8.7	 8.92	 0.10	 2.00	11.13	 0.77	 0.05	 4.7	     	gas   	10      	NGC5055                	NED	198.95554	+42.02929
NGC5077       	 	  38.7	 8.93	 0.27	 2.35	11.26	 0.52	 0.08	 5.1	     	gas   	22      	NGC5077                	NED	199.88196	-12.65697
NGC5127       	 	  62.5	 8.27	 0.41	 2.29	11.35	 0.96	 0.05	 5.4	     	gas   	7       	NGC5127                	NED	200.93741	+31.56580
NGC5128       	 	   3.6	 7.76	 0.08	 2.18	11.04	 0.41	 0.03	 4.9	     	star  	16      	NGC5128                	NED	201.36506	-43.01911
NGC5248       	 	  17.9	 6.30	 0.38	 2.10	10.97	 0.69	 0.05	 4.7	 8.86	gas   	7       	NGC5248                	NED	204.38362	+08.88506
NGC5252       	 	 103.7	 9.07	 0.34	 2.28	11.49	 0.88	 0.05	 5.2	     	gas   	13      	NGC5252                	NED	204.56612	+04.54251
NGC5273       	 	  15.5	 6.61	 0.27	 1.82	10.29	 0.36	 0.05	 4.1	 7.49	reverb	9,88    	NGC5273                	NED	205.53494	+35.65424
NGC5283       	 	  34.5	 7.41	 0.33	 2.13	10.44	 0.06	 0.06	 5.3	     	gas   	7       	NGC5283                	NED	205.27390	+67.67215
NGC5328       	 	  64.1	 9.67	 0.16	 2.52	11.71	 0.94	 0.05	 6.0	     	star  	74      	NGC5328                	NED	208.22214	-28.48927
NGC5347       	 	  32.3	 7.21	 0.42	 1.80	10.54	 0.59	 0.05	 5.2	     	gas   	7       	NGC5347                	NED	208.32439	+33.49076
NGC5419       	 	  56.2	 9.86	 0.14	 2.57	12.00	 1.26	 0.05	 5.5	     	stars 	75      	NGC5419                	NED	210.91155	-33.97839
NGC5427       	 	  36.3	 7.58	 0.30	 1.80	11.12	 0.88	 0.05	 4.2	     	gas   	7       	NGC5427                	NED	210.85854	-06.03081
NGC5457       	 	   7.0	 6.41	 0.08	 1.35	10.87	 0.87	 0.07	 3.5	 6.93	star  	48      	NGC5457                	NED	210.80243	+54.34875
NGC5490       	 	  65.2	 8.73	 0.35	 2.41	11.48	 0.70	 0.05	 6.0	     	gas   	7       	NGC5490                	NED	212.48887	+17.54542
NGC5495       	 	 126.3	 7.00	 0.05	 2.22	11.76	 1.11	 0.15	 3.8	     	maser 	34      	NGC5495                	NED	213.09730	-27.10798
NGC5516       	 	  58.4	 9.52	 0.06	 2.48	11.83	 1.30	 0.06	 6.3	     	star  	74      	NGC5516                	NED	213.97781	-48.11488
NGC5548       	 	  73.6	 7.70	 0.13	 2.29	11.21	 0.64	 0.06	 5.2	10.85	reverb	50      	NGC5548                	NED	214.49797	+25.13679
NGC5576       	 	  25.7	 8.44	 0.13	 2.19	11.18	 0.69	 0.04	 6.7	     	star  	37      	NGC5576                	NED	215.26538	+03.27105
NGC5643       	 	  17.4	 7.05	 0.59	 1.95	11.09	 0.94	 0.06	 3.8	     	gas   	7       	NGC5643                	NED	218.16991	-44.17461
NGC5695       	 	  54.6	 8.00	 0.32	 2.16	10.97	 0.64	 0.04	 4.6	     	gas   	7       	NGC5695                	NED	219.34228	+36.56779
NGC5728       	 	  37.6	 8.05	 0.29	 2.28	11.28	 0.90	 0.05	 6.0	     	gas   	7       	NGC5728                	NED	220.59970	-17.25317
NGC5765B      	 	 113.0	 7.66	 0.03	 2.20	11.18	 0.50	 0.06	 3.6	10.15	maser 	31      	NGC5765B               	NED	222.71463	+05.11450
NGC5813       	 	  32.2	 8.85	 0.06	 2.32	11.50	 0.96	 0.04	 5.5	     	stars 	15      	NGC5813                	NED	225.29694	+01.70197
NGC5845       	 	  25.9	 8.69	 0.16	 2.36	10.53	-0.31	 0.09	 5.2	     	star  	78      	NGC5845                	NED	226.50328	+01.63382
NGC5846       	 	  24.9	 9.04	 0.06	 2.35	11.46	 0.80	 0.06	 5.0	     	stars 	15      	NGC5846                	NED	226.62189	+01.60564
NGC5879       	 	  10.6	 6.62	 0.28	 1.73	 9.92	 0.08	 0.05	 4.5	     	gas   	7       	NGC5879                	NED	227.44480	+57.00021
NGC5921       	 	  20.5	 7.07	 0.42	 1.93	10.79	 0.81	 0.05	 4.3	     	gas   	7       	NGC5921                	NED	230.48567	+05.07054
NGC6086       	 	 138.0	 9.57	 0.17	 2.50	11.87	 1.20	 0.06	 6.2	     	star  	56      	NGC6086                	NED	243.14809	+29.48485
NGC6240(S)    	 	 105.0	 9.17	 0.21	 2.44	11.84	 0.93	 0.05	 7.1	     	star  	59      	NGC 6240S              	NED	253.24567	+02.40028
NGC6251       	 	 108.4	 8.79	 0.16	 2.46	11.95	 1.13	 0.05	 5.8	     	gas   	30      	NGC6251                	NED	248.13321	+82.53789
NGC6300       	 	  14.2	 7.14	 0.20	 1.94	10.98	 0.74	 0.05	 3.9	     	gas   	7       	NGC6300                	NED	259.24780	-62.82055
NGC6323       	 	 113.4	 7.00	 0.05	 2.20	11.25	 0.91	 0.05	 3.3	 9.45	maser 	52      	NGC6323                	NED	258.32525	+43.78233
NGC6500       	 	  36.5	 8.34	 0.26	 2.33	10.90	 0.50	 0.05	 5.6	     	gas   	7       	NGC6500                	NED	268.99909	+18.33824
NGC6503       	 	   5.3	 6.30	 0.11	 1.74	 9.92	 0.20	 0.04	 3.6	     	star  	48      	NGC6503                	NED	267.36047	+70.14434
NGC6814       	 	  22.3	 7.02	 0.17	 1.98	11.04	 0.68	 0.05	 3.7	 9.54	reverb	8       	NGC6814                	NED	295.66907	-10.32375
NGC6861       	 	  27.3	 9.30	 0.08	 2.59	11.14	 0.32	 0.07	 5.3	     	star  	74      	NGC6861                	NED	301.83117	-48.37026
NGC6951       	 	  16.0	 6.93	 0.19	 1.98	11.01	 0.85	 0.05	 4.7	     	gas   	7       	NGC6951                	NED	309.30865	+66.10564
NGC7052       	 	  70.4	 8.60	 0.23	 2.42	11.68	 1.00	 0.05	 5.7	     	gas   	86      	NGC7052                	NED	319.63770	+26.44685
NGC7331       	 	  12.2	 8.02	 0.18	 2.06	11.14	 0.57	 0.05	 4.6	     	gas   	7       	NGC7331                	NED	339.26709	+34.41592
NGC7332       	 	  21.7	 7.08	 0.18	 2.10	10.81	 0.40	 0.04	 5.9	 9.11	star  	40      	NGC7332                	NED	339.35217	+23.79835
NGC7418       	 	  18.4	 5.18	 1.78	 1.67	10.60	 0.75	 0.05	 2.5	     	star  	61      	NGC7418                	NED	344.15067	-37.03008
NGC7424       	 	  10.9	 5.18	 0.43	 1.34	 9.82	 0.45	 0.05	 3.0	     	star  	61      	NGC7424                	NED	344.32654	-41.07057
NGC7457       	 	  12.5	 6.95	 0.30	 1.87	10.25	 0.35	 0.04	 3.9	     	star  	78      	NGC7457                	NED	345.24972	+30.14489
NGC7582       	 	  22.3	 7.74	 0.20	 2.19	11.21	 0.89	 0.16	 6.6	     	gas   	94      	NGC7582                	NED	349.59842	-42.37057
NGC7619       	 	  51.5	 9.40	 0.11	 2.51	11.66	 0.87	 0.07	 5.8	     	star  	74      	NGC7619                	NED	350.06052	+08.20629
NGC7626       	 	  38.1	 8.58	 0.33	 2.37	11.44	 0.87	 0.05	 5.4	     	gas   	7       	NGC7626                	NED	350.17718	+08.21706
NGC7682       	 	  59.3	 7.56	 0.33	 2.05	10.96	 0.80	 0.06	 5.1	     	gas   	7       	NGC7682                	NED	352.26623	+03.53333
NGC7768       	 	 116.0	 9.13	 0.18	 2.42	11.91	 1.15	 0.10	 5.7	     	star  	58      	NGC7768                	NED	357.74414	+27.14743
SBS1116+583A  	 	 119.4	 6.54	 0.20	 1.96	10.50	 0.44	 0.08	 3.9	 9.97	reverb	8       	SBSG 1116+583A         	NED	169.74049	+58.05656
UGC12064      	 	  34.7	 8.84	 0.52	 2.41	10.61	 0.38	 0.12	 5.9	     	gas   	7       	UGC12064               	NED	337.83594	+39.35828
UGC1214       	 	  59.9	 7.74	 0.18	 2.02	10.74	 0.38	 0.04	 4.7	10.05	gas   	7       	UGC1214                	NED	025.99069	+02.34991
UGC1395       	 	  60.8	 6.83	 0.28	 1.81	10.86	 0.85	 0.06	 4.7	     	gas   	7       	UGC1395                	NED	028.84174	+06.61170
UGC1841       	 	  74.9	 8.47	 0.19	 2.47	11.98	 1.49	 0.06	 4.7	     	gas   	7       	UGC1841                	NED	035.79755	+42.99205
UGC3789       	 	  49.9	 6.99	 0.09	 2.03	11.01	 0.66	 0.05	 5.7	     	maser 	52      	UGC3789                	NED	109.87872	+59.35513
UGC6093       	 	 150.0	 7.41	 0.02	 2.19	11.40	 0.97	 0.05	 3.8	 9.26	maser 	34      	UGC6093                	NED	165.19981	+10.72827
UGC7115       	 	  88.2	 9.00	 0.45	 2.25	11.24	 0.54	 0.06	 6.1	     	gas   	7       	UGC7115                	NED	182.02321	+25.23727
UGC9799       	 	 151.1	 8.89	 0.80	 2.37	11.99	 1.37	 0.05	 4.5	     	gas   	19      	UGC9799                	NED	229.18536	+07.02167
Mrk0110       	1	 151.1	 7.28	 0.21	 1.96	10.58	 0.77	 0.07	 3.0	10.82	reverb	71      	Mrk0110                	NED	141.30363	+52.28625
Mrk0279       	1	 130.4	 7.40	 0.23	 2.29	11.29	 0.42	 0.09	 5.2	11.21	reverb	71      	Mrk0279                	NED	208.26390	+69.30804
NGC1068       	1	  15.9	 6.92	 0.25	 2.18	11.32	 0.32	 0.20	 4.6	10.62	maser 	53      	NGC1068                	NED	040.66988	-00.01329
NGC1300       	1	  21.5	 7.88	 0.34	 2.34	11.05	 1.09	 0.17	 3.4	     	gas   	1       	NGC1300                	NED	049.92116	-19.41136
NGC2139       	1	  23.6	 5.18	 0.43	 1.34	10.36	 0.47	 0.04	 2.9	     	star  	61      	NGC2139                	NED	090.28318	-23.67232
NGC2911       	1	  43.5	 9.09	 0.29	 2.32	11.28	 0.88	 0.08	 6.3	     	gas   	7       	NGC2911                	NED	143.44208	+10.15259
NGC3516       	1	  37.9	 7.37	 0.16	 2.26	11.11	 0.40	 0.10	 7.1	 9.98	reverb	24      	NGC3516                	NED	166.69789	+72.56853
NGC4041       	1	  19.5	 6.00	 0.20	 1.98	10.61	 0.24	 0.06	 4.4	     	gas   	55      	NGC4041                	NED	180.55072	+62.13729
NGC4636       	1	  13.7	 8.58	 0.22	 2.26	11.25	 0.96	 0.06	 5.5	     	gas   	7       	NGC4636                	NED	190.70778	+02.68778
NGC4699       	1	  18.9	 8.25	 0.05	 2.26	11.38	 0.49	 0.08	 5.6	     	stars 	75      	NGC4699                	NED	192.25911	-08.66430
NGC4736       	1	   4.5	 6.78	 0.12	 2.05	10.67	 0.00	 0.09	 6.2	     	star  	49      	NGC4736                	NED	192.72145	+41.12015
NGC4826       	1	   5.2	 6.05	 0.13	 1.98	10.71	 0.38	 0.09	 4.7	     	star  	49      	NGC4826                	NED	194.18207	+21.68266
NGC5018       	1	  40.5	 8.02	 0.08	 2.32	11.54	 0.62	 0.05	 5.5	     	stars 	75      	NGC5018                	NED	198.25417	-19.51830
NGC5194       	1	   7.9	 5.96	 0.36	 1.84	11.04	 0.73	 0.05	 4.9	 8.36	gas   	7       	NGC5194                	NED	202.46957	+47.19526
NGC7469       	1	  47.7	 6.94	 0.16	 2.12	11.12	 0.00	 0.15	 8.4	     	reverb	72      	NGC7469                	NED	345.81531	+08.87369

