#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:42:19 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:42:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/898/102&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18980102
#Name: J/ApJ/898/102
#Title: Rotation velocity & dynamical mass of gal. from HI sp. (Yu+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/898/102	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/898/102	    IVOID of underlying data collection
#INFO	creator=Yu N.	    First author or institution
#INFO	cites=bibcode:2020ApJ...898..102Y	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/898/102	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18980102	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-03-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_898_102_galaxies:
#Name: J/ApJ/898/102/galaxies
#Title: properties (Table 1) and physical parameters derived from the HI spectra (Table 4) with parameters updated from erratum published in 2020, ApJ, 902, 88
#Column	Name	(a16)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension, decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination, decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F9.6)	[-0.0008/0.03] Optical redshift from NED	[ucd=src.redshift]
#Column	q	(F5.2)	[0.12/1.0] Optical axis ratio	[ucd=phys.size.axisRatio]
#Column	e_q	(F5.2)	[0.01/0.14] Uncertainty in q	[ucd=stat.error]
#Column	l_logM	(A1)	Limit flag on logM	[ucd=meta.code.error]
#Column	logM	(F4.1)	[5.5/11.3] log of stellar mass derived in this work	[ucd=phys.mass]
#Column	inc	(I2)	[0/90] Inclination angle derived in this work	[ucd=src.orbital.inclination]
#Column	e_inc	(I2)	[5/30] Uncertainty in inc	[ucd=stat.error]
#Column	Vc	(I4)	[-199/8949] Flux intensity-weighted central velocity	[ucd=phys.veloc]
#Column	FHI	(F6.2)	[0.69/291] Total integrated flux of H I line	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	V95c	(I3)	[6/485]? Corrected line width measured at 95% flux	[ucd=spect.line.width]
#Column	V85c	(I3)	[5/357]? Corrected line width measured at 85% flux	[ucd=spect.line.width]
#Column	V75c	(I3)	[6/314]? Corrected line width measured at 75% flux	[ucd=spect.line.width]
#Column	V65c	(I3)	[7/282]? Corrected line width measured at 65% flux	[ucd=spect.line.width]
#Column	A-F	(F5.2)	[1/1.7] Corrected flux asymmetry	[ucd=src.morph.param]
#Column	A-C	(F5.2)	[1/3.15] Corrected concentration asymmetry	[ucd=src.morph.param]
#Column	C-V	(F5.2)	[2/6] Corrected concentration of HI profile	[ucd=phys.size;arith.ratio]
#Column	SNR	(A6)	SNR of the profile	[ucd=stat.snr;spect.line.profile]
#Column	logMHI	(F5.2)	[6.3/10.52] HI mass	[ucd=phys.mass]
#Column	logMdyn	(F5.2)	[7.5/12.1]? Dynamical mass, Equation 12	[ucd=phys.mass]
#Column	Note	(A4)	Note(s) (3)	[ucd=meta.note]
#Column	W16	(A3)	Display data from Wang+, 2016, J/MNRAS/460/2143 within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a16)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
Name	RAJ2000	DEJ2000	z	q	e_q	l_logM	logM	inc	e_inc	Vc	FHI	V95c	V85c	V75c	V65c	A-F	A-C	C-V	SNR	logMHI	logMdyn	Note	W16	SimbadName	NED	LEDA
UGC 4380        	126.13257	+54.85381	 0.024967	 0.94	 0.06	 	10.6	21	10	7484	  2.96	156	143	128	113	 1.15	 1.00	 2.87	9.0   	 9.89	11.09	   1	W16	UGC 4380        	NED	LEDA
UGC 4555        	131.03461	+34.71716	 0.014126	 0.94	 0.07	 	10.6	20	12	4147	  4.61	404	349	314	282	 1.04	 1.11	 2.79	45.9  	 9.62	11.69	    	W16	UGC 4555        	NED	LEDA
UGC 6903        	178.90361	+01.23734	 0.006311	 0.88	 0.04	 	 9.6	28	 7	1907	 12.67	184	167	149	131	 1.00	 1.24	 3.28	20.1  	 9.47	11.02	   2	W16	UGC 6903        	NED	LEDA
UGC 7244        	183.57522	+59.61529	 0.014510	 0.87	 0.09	 	 9.6	29	11	4358	  3.08	 86	 69	 56	 50	 1.00	 1.00	 3.49	5.4   	 9.49	10.33	    	W16	UGC 7244        	NED	LEDA
UGC 7917        	191.10924	+37.12132	 0.023299	 0.81	 0.05	 	11.2	38	 7	6988	  3.86	220	203	189	177	 1.00	 1.36	 2.02	6.8   	 9.98	11.45	   2	W16	UGC 7917        	NED	LEDA
UGC 9837        	230.96556	+58.05312	 0.008863	 0.92	 0.10	 	 9.5	22	15	2656	 10.54	207	190	173	154	 1.04	 1.01	 3.00	90.2  	 9.67	11.22	   2	W16	UGC 9837        	NED	LEDA
UGC 9965        	235.02825	+20.68057	 0.015107	 0.93	 0.05	 	10.4	22	 9	4522	  5.67	248	147	114	 94	 1.26	 1.22	 4.29	35.7  	 9.82	11.09	   1	W16	UGC 9965        	NED	LEDA
UGC 11318       	279.80112	+55.64181	 0.019634	 0.94	 0.06	 	10.9	21	10	5875	  5.16	112	 99	 83	 70	 1.08	 1.23	 4.24	6.8   	 9.95	10.85	1, 2	W16	UGC 11318       	NED	LEDA
NGC 925         	036.82047	+33.57888	 0.001845	 0.54	 0.04	 	 9.9	58	 5	 551	263.27	114	103	 92	 79	 1.07	 1.13	 3.25	59.4  	 9.72	10.78	   1	W16	NGC 925         	NED	LEDA
M81dwB          	151.37683	+70.36497	 0.001159	 0.45	 0.03	 	 7.7	65	 5	 345	  3.90	 23	 20	 18	 16	 1.03	 1.10	 3.68	100.4 	 7.41	 8.56	   2	W16	NAME M81 dwB    	NED	LEDA
NGC 3351        	160.99055	+11.70361	 0.002595	 0.62	 0.06	 	10.4	53	 6	 777	 37.95	167	156	146	133	 1.02	 1.11	 2.66	58.4  	 8.96	10.69	    	W16	NGC 3351        	NED	LEDA
NGC 3627        	170.06261	+12.99129	 0.002425	 0.45	 0.04	 	10.7	66	 6	 721	 33.41	172	159	143	123	 1.00	 1.05	 3.28	43.2  	 8.83	10.65	    	W16	NGC 3627        	NED	LEDA
NGC 4736        	192.72145	+41.12015	 0.001027	 0.86	 0.08	 	10.4	30	10	 317	 59.32	217	196	176	157	 1.01	 1.05	 3.07	56.0  	 8.49	10.64	    	W16	NGC 4736        	NED	LEDA
NGC 4826        	194.18207	+21.68266	 0.001361	 0.51	 0.04	 	10.7	62	 5	 431	 41.25	174	157	141	128	 1.25	 2.06	 2.73	193.7 	 8.74	10.59	    	W16	NGC 4826        	NED	LEDA
NGC 7331        	339.26709	+34.41592	 0.002722	 0.41	 0.04	 	11.0	71	 6	 826	210.09	259	238	220	199	 1.05	 1.16	 2.70	133.3 	10.03	11.59	   1	W16	NGC 7331        	NED	LEDA
NGC 7793        	359.45761	-32.59103	 0.000767	 0.58	 0.04	 	 9.5	55	 5	 220	290.13	126	 95	 85	 75	 1.03	 1.07	 3.08	62.1  	 9.02	10.35	    	W16	NGC 7793        	NED	LEDA
UGC 6446        	171.66854	+53.74667	 0.002153	 0.73	 0.04	 	 8.8	43	 6	 645	 32.87	 84	 81	 75	 68	 1.08	 1.09	 2.77	17.7  	 9.43	10.45	   1	W16	UGC 6446        	NED	LEDA
NGC 3726        	173.33822	+47.02909	 0.002887	 0.65	 0.04	 	10.5	50	 6	 855	 71.69	170	152	138	123	 1.06	 1.25	 2.99	129.6 	 9.77	11.10	    	W16	NGC 3726        	NED	LEDA
NGC 3769        	174.43377	+47.89309	 0.002459	 0.31	 0.02	 	 9.9	74	 5	 740	 46.86	122	105	 92	 80	 1.36	 2.05	 3.27	nan   	 9.58	10.70	   1	W16	NGC 3769        	NED	LEDA
UGC 6667        	175.60962	+51.59801	 0.003246	 0.36	 0.02	 	 8.9	70	 5	 976	  9.39	 92	 86	 79	 71	 1.02	 1.11	 2.91	31.1  	 8.88	10.20	    	W16	UGC 6667        	NED	LEDA
NGC 3877        	176.53242	+47.49450	 0.002987	 0.23	 0.02	 	10.5	82	 6	 882	 22.02	172	158	144	132	 1.05	 1.20	 2.65	11.6  	 9.25	10.87	   1	W16	NGC 3877        	NED	LEDA
NGC 3893        	177.15920	+48.71079	 0.003226	 0.53	 0.03	 	10.5	59	 5	 966	 67.05	163	141	122	106	 1.08	 1.14	 3.41	105.5 	 9.74	11.00	    	W16	NGC 3893        	NED	LEDA
NGC 3917        	177.68953	+51.82421	 0.003218	 0.23	 0.01	 	10.1	81	 6	 951	 19.28	120	112	102	 92	 1.03	 1.67	 2.94	35.3  	 9.20	10.56	   2	W16	NGC 3917        	NED	LEDA
NGC 3949        	178.42395	+47.85878	 0.002669	 0.59	 0.03	 	10.2	55	 5	 805	 42.39	158	141	127	113	 1.03	 1.12	 2.90	14.6  	 9.54	10.91	   1	W16	NGC 3949        	NED	LEDA
NGC 3953        	178.45428	+52.32654	 0.003510	 0.51	 0.03	 	10.8	63	 5	1059	 21.53	239	214	198	179	 1.03	 1.10	 2.65	518.3 	 9.24	11.11	   2	W16	NGC 3953        	NED	LEDA
NGC 3972        	178.93799	+55.32067	 0.002843	 0.27	 0.01	 	 9.8	76	 5	 838	 18.35	144	127	112	101	 1.06	 1.22	 3.23	12.1  	 9.17	10.64	   1	W16	NGC 3972        	NED	LEDA
UGC 6923        	179.20636	+53.16034	 0.003556	 0.72	 0.05	 	 9.1	44	 6	1069	 10.29	103	 92	 83	 74	 1.19	 1.18	 3.09	76.2  	 8.92	10.28	   2	W16	UGC 6923        	NED	LEDA
NGC 3992        	179.39993	+53.37452	 0.003496	 0.70	 0.05	 	10.8	47	 6	1063	 47.84	307	282	260	238	 1.13	 1.43	 2.84	68.6  	 9.59	11.53	    	W16	NGC 3992        	NED	LEDA
UGC 6940        	179.44827	+53.23445	 0.003729	 0.39	 0.03	 	 6.1	74	 6	1152	  8.62	136	114	101	 91	 1.00	 1.05	 3.00	13.8  	 8.85	10.41	    	W16	UGC 6940        	NED	LEDA
UGC 6962        	179.64160	+42.73409	 0.002693	 0.80	 0.04	 	 9.4	37	 6	 713	 23.83	318	271	232	200	 1.34	 1.78	 4.35	29.6  	 9.29	11.33	   1	W16	UGC 6962        	NED	LEDA
NGC 4010        	179.65830	+47.26131	 0.003008	 0.21	 0.01	 	 9.8	81	 6	 906	 34.43	124	112	100	 88	 1.04	 1.00	 2.82	14.8  	 9.45	10.70	   1	W16	NGC 4010        	NED	LEDA
UGC 6983        	179.78639	+52.70779	 0.003609	 0.80	 0.05	 	 8.9	37	 6	1085	 31.51	134	126	116	106	 1.10	 1.20	 2.73	16.5  	 9.41	10.74	   1	W16	UGC 6983        	NED	LEDA
NGC 4051        	180.79036	+44.53126	 0.002336	 0.68	 0.07	 	10.5	48	 7	 705	 36.08	164	144	125	109	 1.07	 1.02	 3.25	70.0  	 9.47	10.91	    	W16	NGC 4051        	NED	LEDA
NGC 4085        	181.34460	+50.35275	 0.002487	 0.25	 0.01	 	10.0	79	 5	 746	 21.61	133	120	106	 92	 1.08	 1.11	 3.31	26.7  	 9.25	10.64	   1	W16	NGC 4085        	NED	LEDA
NGC 4088        	181.39245	+50.53903	 0.002524	 0.38	 0.03	 	10.6	71	 5	 750	100.08	179	157	139	121	 1.04	 1.10	 3.28	101.5 	 9.91	11.20	   1	W16	NGC 4088        	NED	LEDA
NGC 4100        	181.53584	+49.58231	 0.003584	 0.29	 0.02	 	10.4	75	 5	1077	 33.94	193	177	163	148	 1.05	 1.09	 2.83	118.8 	 9.44	11.03	   2	W16	NGC 4100        	NED	LEDA
NGC 4102        	181.59631	+52.71095	 0.002823	 0.56	 0.05	 	10.5	57	 6	 836	  0.80	145	132	114	 97	 1.00	 1.07	 3.56	4.2   	 7.82	 9.98	   2	W16	NGC 4102        	NED	LEDA
NGC 4157        	182.76819	+50.48468	 0.002583	 0.18	 0.01	 	10.7	90	 5	 762	102.58	196	178	162	146	 1.03	 1.02	 2.83	37.8  	 9.92	11.30	   1	W16	NGC 4157        	NED	LEDA
NGC 4183        	183.32025	+43.69827	 0.003102	 0.14	 0.01	 	 9.7	90	 5	 924	 45.04	124	108	 97	 88	 1.08	 1.12	 2.81	73.8  	 9.56	10.73	   1	W16	NGC 4183        	NED	LEDA
NGC 4217        	183.96208	+47.09179	 0.003426	 0.27	 0.02	 	10.6	79	 6	1040	 22.73	175	165	152	138	 1.06	 1.36	 2.67	12.0  	 9.27	10.92	   1	W16	NGC 4217        	NED	LEDA
NGC 4389        	186.39624	+45.68467	 0.002396	 0.66	 0.03	 	10.0	49	 5	 705	  7.41	124	102	 88	 76	 1.00	 1.03	 3.18	12.7  	 8.78	10.26	   1	W16	NGC 4389        	NED	LEDA
NGC 4189        	183.44699	+13.42485	 0.007055	 0.82	 0.07	 	 9.9	35	 8	2101	 12.26	217	190	167	148	 1.07	 1.28	 3.17	39.3  	 8.90	10.83	   1	W16	NGC 4189        	NED	LEDA
NGC 4216        	183.97685	+13.14940	 0.000437	 0.23	 0.03	 	10.9	90	 5	 115	 47.82	267	224	196	173	 1.36	 2.21	 2.69	41.4  	 9.49	11.27	    	W16	NGC 4216        	NED	LEDA
NGC 4254        	184.70677	+14.41649	 0.008029	 0.94	 0.08	 	10.7	20	14	2412	 91.98	436	336	292	257	 1.01	 1.18	 2.94	36.6  	 9.77	11.73	   1	W16	NGC 4254        	NED	LEDA
NGC 4294        	185.32411	+11.51111	 0.001184	 0.38	 0.02	 	 9.6	69	 5	 362	 18.73	100	 91	 81	 70	 1.03	 1.34	 3.41	146.6 	 9.08	10.33	   1	W16	NGC 4294        	NED	LEDA
NGC 4298        	185.38662	+14.60605	 0.003786	 0.55	 0.04	 	10.1	58	 5	1126	 11.95	175	130	113	 99	 1.18	 1.49	 3.19	20.3  	 8.88	10.53	   1	W16	NGC 4298        	NED	LEDA
NGC 4321        	185.72875	+15.82238	 0.005240	 0.92	 0.07	 	10.9	24	11	1562	 46.23	299	270	242	215	 1.07	 1.15	 3.03	86.5  	 9.47	11.44	    	W16	NGC 4321        	NED	LEDA
NGC 4351        	186.00650	+12.20502	 0.007667	 0.81	 0.05	 	 9.4	36	 7	2319	  5.46	 83	 73	 64	 55	 1.04	 1.01	 3.86	21.7  	 8.54	 9.90	   1	W16	NGC 4351        	NED	LEDA
NGC 4380        	186.34241	+10.01671	 0.003212	 0.53	 0.03	 	10.2	59	 5	 951	  2.75	175	151	133	122	 1.05	 1.34	 2.80	10.8  	 8.25	10.32	   1	W16	NGC 4380        	NED	LEDA
NGC 4388        	186.44508	+12.66207	 0.008419	 0.24	 0.02	 	10.3	80	 5	2529	  7.73	197	169	155	141	 1.02	 1.17	 2.83	21.5  	 8.70	10.64	   1	W16	NGC 4388        	NED	LEDA
NGC 4396        	186.49501	+15.67147	-0.000427	 0.35	 0.04	 	 9.4	71	 5	-119	 16.18	 98	 91	 83	 75	 1.05	 1.02	 2.83	38.6  	 9.02	10.30	    	W16	NGC 4396        	NED	LEDA
NGC 4402        	186.53152	+13.11279	 0.000774	 0.29	 0.02	 	10.1	77	 5	 222	  7.03	137	114	 99	 88	 1.26	 1.41	 2.94	15.7  	 8.65	10.31	   2	W16	NGC 4402        	NED	LEDA
NGC 4450        	187.12347	+17.08495	 0.006518	 0.69	 0.06	 	10.7	48	 7	1971	  3.42	194	168	148	136	 1.36	 1.53	 2.07	14.8  	 8.34	10.47	    	W16	NGC 4450        	NED	LEDA
NGC 4501        	187.99673	+14.42041	 0.007609	 0.51	 0.04	 	11.0	63	 6	2267	 29.83	286	253	230	206	 1.05	 1.10	 3.10	19.6  	 9.28	11.26	   1	W16	NGC 4501        	NED	LEDA
NGC 4522        	188.41524	+09.17487	 0.007769	 0.26	 0.02	 	 9.6	77	 5	2305	  7.56	162	118	 99	 81	 1.06	 1.23	 3.76	26.2  	 8.69	10.34	   1	W16	NGC 4522        	NED	LEDA
NGC 4532        	188.58054	+06.46770	 0.006711	 0.35	 0.02	 	 9.7	71	 5	2004	 41.19	122	 95	 77	 64	 1.06	 1.14	 3.87	102.7 	 9.42	10.56	    	W16	NGC 4532        	NED	LEDA
NGC 4569        	189.20757	+13.16287	-0.000784	 0.42	 0.05	 	10.9	70	 6	-199	 11.09	212	177	155	136	 1.16	 1.46	 3.00	35.4  	 8.85	10.75	    	W16	NGC 4569        	NED	LEDA
NGC 4580        	189.45166	+05.36843	 0.003449	 0.68	 0.04	 	10.0	47	 5	1027	  0.69	485	128	102	 85	 1.06	 1.00	 4.36	2.6   	 7.65	 9.87	   1	W16	NGC 4580        	NED	LEDA
NGC 4654        	190.98599	+13.12635	 0.003489	 0.53	 0.03	 	10.4	59	 5	1049	 47.01	171	149	134	120	 1.13	 1.29	 2.95	123.4 	 9.48	10.93	    	W16	NGC 4654        	NED	LEDA
NGC 4689        	191.93968	+13.76269	 0.005390	 0.75	 0.05	 	10.3	42	 6	1623	  8.40	133	120	107	 94	 1.09	 1.15	 3.14	37.3  	 8.73	10.37	   1	W16	NGC 4689        	NED	LEDA
NGC 4698        	192.09772	+08.48434	 0.003366	 0.41	 0.03	 	10.5	68	 5	1004	 31.76	226	211	200	187	 1.08	 1.19	 2.27	17.1  	 9.31	11.12	   1	W16	NGC 4698        	NED	LEDA
UGC 624         	015.15171	+30.66892	 0.015938	 0.38	 0.02	 	11.0	74	 6	4769	 11.68	266	242	222	201	 1.04	 1.04	 2.87	43.7  	10.07	11.62	    	W16	UGC 624         	NED	LEDA
UGC 2916        	060.64098	+71.70592	 0.015067	 0.91	 0.12	 	10.7	24	17	4507	 27.19	393	332	284	246	 1.14	 1.36	 3.46	22.6  	10.41	12.05	   1	W16	UGC 2916        	NED	LEDA
UGC 3205        	074.06173	+30.05219	 0.011972	 0.40	 0.02	 	10.6	69	 5	3589	 12.63	219	206	193	177	 1.00	 1.00	 2.67	71.2  	 9.85	11.37	    	W16	UGC 3205        	NED	LEDA
UGC 3546        	102.53610	+60.84569	 0.006138	 0.61	 0.04	 	10.6	54	 5	1844	 10.53	216	199	182	164	 1.06	 1.26	 2.78	70.8  	 9.27	11.05	1, 2	W16	UGC 3546        	NED	LEDA
UGC 3993        	118.93328	+84.92637	 0.014560	 0.94	 0.07	 	10.5	19	13	4348	  7.00	454	357	285	239	 1.25	 1.30	 3.74	26.4  	 9.80	11.79	   2	W16	UGC 3993        	NED	LEDA
UGC 4458        	128.04706	+22.56058	 0.015814	 0.85	 0.06	 	11.0	33	 8	4732	 12.22	317	237	206	184	 1.01	 1.01	 2.81	19.7  	10.07	11.61	   1	W16	UGC 4458        	NED	LEDA
UGC 6786        	177.28931	+27.02207	 0.005999	 0.49	 0.03	 	10.4	62	 5	1800	 15.99	227	217	203	184	 1.08	 1.00	 2.75	11.2  	 9.40	11.20	   1	W16	UGC 6786        	NED	LEDA
UGC 8699        	206.28612	+41.50330	 0.008426	 0.30	 0.02	 	10.3	75	 5	2517	  9.73	191	176	164	151	 1.02	 1.11	 2.51	94.6  	 9.49	11.06	   2	W16	UGC 8699        	NED	LEDA
UGC 11670       	315.89005	+29.89735	 0.002598	 0.32	 0.03	 	10.2	75	 6	 774	 21.46	167	153	140	125	 1.12	 1.23	 2.85	53.0  	 8.91	10.68	   2	W16	UGC 11670       	NED	LEDA
UGC 11914       	331.96820	+31.35926	 0.003176	 0.85	 0.06	 	10.7	32	 8	 959	 11.03	272	259	244	222	 1.03	 1.13	 2.55	60.7  	 8.76	11.03	    	W16	UGC 11914       	NED	LEDA
NGC 2685        	133.89479	+58.73441	 0.002945	 0.53	 0.08	 	10.2	59	 7	 871	 32.40	175	150	133	118	 1.03	 1.06	 2.99	47.7  	 9.33	10.87	    	W16	NGC 2685        	NED	LEDA
NGC 2764        	137.07298	+21.44345	 0.009026	 0.58	 0.04	 	10.3	55	 5	2720	  5.32	189	163	144	126	 1.09	 1.16	 3.04	63.6  	 9.29	10.89	   2	W16	NGC 2764        	NED	LEDA
CVn I dwA       	189.66708	+32.76639	 0.001031	 0.69	 0.10	 	 6.5	49	10	 307	 12.34	  7	  8	  8	  9	 1.00	 1.00	 4.36	128.4 	 7.58	 8.25	   2	W16	CVn I dwA       	NED	LEDA
DDO 43          	112.07385	+40.76982	 0.001181	 0.59	 0.05	 	 7.5	55	 6	 367	 15.59	 32	 27	 23	 19	 1.44	 1.36	 4.55	20.5  	 8.35	 9.18	    	W16	DDO 43          	NED	LEDA
DDO 46          	115.35741	+40.11279	 0.001204	 0.95	 0.08	 	 7.3	18	16	 357	 24.35	114	104	 92	 79	 1.06	 1.21	 3.87	25.0  	 8.33	10.08	   1	W16	DDO 46          	NED	LEDA
DDO 47          	115.48458	+16.80206	 0.000907	 0.97	 0.09	 	 7.1	13	25	 273	 53.43	137	125	111	 96	 1.04	 1.09	 3.66	603.9 	 8.53	10.32	   2	W16	DDO 47          	NED	LEDA
DDO 52          	127.11900	+41.85753	 0.001324	 0.53	 0.06	 	 8.2	59	 6	 405	 11.37	 58	 50	 43	 37	 1.14	 1.10	 3.87	17.7  	 8.45	 9.62	   1	W16	DDO 52          	NED	LEDA
DDO 63          	145.13471	+71.18222	 0.000464	 0.96	 0.09	 	 7.8	17	19	 139	 48.24	 42	 34	 30	 27	 1.07	 1.14	 4.55	122.9 	 8.24	 9.25	   1	W16	DDO 63          	NED	LEDA
DDO 87          	162.40172	+65.53363	 0.001134	 0.98	 0.09	 	 8.1	10	30	 346	 15.82	158	152	136	117	 1.02	 1.07	 3.96	27.4  	 8.34	10.39	   1	W16	DDO 87          	NED	LEDA
DDO 126         	186.77319	+37.14177	 0.000727	 0.65	 0.07	 	 7.8	50	 7	 224	 27.76	 40	 37	 32	 27	 1.12	 1.04	 4.30	32.5  	 8.20	 9.29	    	W16	DDO 126         	NED	LEDA
DDO 133         	188.22404	+31.54738	 0.001104	 0.70	 0.07	 	 7.8	46	 7	 330	 35.44	 32	 30	 28	 25	 1.01	 1.03	 3.47	255.0 	 8.01	 9.08	   2	W16	DDO 133         	NED	LEDA
DDO 154         	193.52187	+27.14963	 0.001248	 0.66	 0.08	 	 7.3	50	 7	 366	 31.77	 53	 47	 41	 36	 1.20	 1.54	 3.49	44.8  	 8.01	 9.33	   1	W16	DDO 154         	NED	LEDA
DDO 165         	196.60354	+67.70694	 0.000102	 0.51	 0.06	 	 7.9	61	 6	  32	 35.12	 45	 32	 27	 22	 1.29	 1.21	 4.73	41.0  	 8.24	 9.23	   2	W16	DDO 165         	NED	LEDA
DDO 168         	198.61666	+45.91976	 0.000640	 0.40	 0.04	 	 7.9	69	 5	 191	 76.81	 41	 34	 30	 25	 1.08	 1.03	 4.22	97.1  	 8.52	 9.41	   2	W16	DDO 168         	NED	LEDA
DDO 187         	213.98625	+23.05450	 0.000510	 0.63	 0.04	 	 6.8	54	 6	 181	 13.05	 22	 21	 18	 15	 1.37	 1.14	 4.55	16.0  	 7.17	 8.45	    	W16	DDO 187         	NED	LEDA
DDO 210         	311.71542	-12.84833	-0.000470	 0.50	 0.06	 	 6.5	65	 7	-136	 10.93	  7	  6	  7	  8	 1.01	 1.09	 5.04	23.4  	 6.32	 7.55	    	W16	DDO 210         	NED	LEDA
DDO 216         	352.14947	+14.73708	-0.000612	 0.58	 0.06	 	 7.2	57	 6	-184	 17.12	  7	  7	  8	  9	 1.05	 1.15	 4.78	46.8  	 6.69	 7.76	   2	W16	DDO 216         	NED	LEDA
NGC 3738        	173.95409	+54.52353	 0.000764	 0.72	 0.04	 	 8.6	44	 6	 231	 19.79	 65	 58	 49	 41	 1.00	 1.02	 4.26	11.2  	 8.05	 9.48	    	W16	NGC 3738        	NED	LEDA
NGC 4163        	183.03795	+36.16754	 0.000550	 0.67	 0.04	 	 7.6	48	 6	 180	  8.50	 16	 18	 18	 15	 1.60	 1.29	 4.37	18.6  	 7.23	 8.39	   1	W16	NGC 4163        	NED	LEDA
NGC 4214        	183.91322	+36.32689	 0.000970	 0.78	 0.07	 	 8.9	39	 8	 292	178.57	 59	 50	 43	 37	 1.01	 1.04	 3.96	1441.6	 8.58	 9.67	   2	W16	NGC 4214        	NED	LEDA
Haro 29         	186.56675	+48.49350	 0.000937	 0.76	 0.05	 	 7.6	41	 6	 291	  9.03	 39	 36	 32	 26	 1.00	 1.03	 4.43	8.7   	 7.85	 9.10	    	W16	[H56] 29        	NED	LEDA
Haro 36         	191.73511	+51.61300	 0.001674	 0.79	 0.10	 	 8.2	38	11	 504	  6.73	 64	 59	 50	 42	 1.12	 1.21	 4.16	10.8  	 8.14	 9.57	    	W16	[H56] 36        	NED	LEDA
UGC 4483        	129.26371	+69.77478	 0.000519	 0.54	 0.07	 	 7.0	61	 7	 156	 12.73	 17	 15	 13	 11	 1.02	 1.11	 4.50	421.3 	 7.49	 8.45	   2	W16	UGC 4483        	NED	LEDA
IZw 18          	143.50875	+55.24028	 0.002505	 0.71	 0.05	 	 7.1	47	 6	 751	  2.85	 55	 40	 32	 26	 1.38	 1.71	 4.74	11.2  	 8.35	 9.43	   1	W16	Zw I 18         	NED	LEDA
UGC 685         	016.84396	+16.68419	 0.000524	 0.72	 0.03	>	 7.5	45	 5	 159	  9.95	 62	 51	 43	 37	 1.04	 1.03	 4.13	75.6  	 7.68	 9.24	1, 2	W16	UGC 685         	NED	LEDA
AGC 111945      	026.17792	+27.28833	 0.001411	 0.37	 0.09	 	 5.5	76	10	 422	  3.20	 19	 14	 13	 11	 1.08	 1.04	 4.27	21.2  	 7.59	 8.48	   1	W16	AGC 111945      	NED	LEDA
UGC 3755        	108.46525	+10.52100	 0.001050	 0.42	 0.03	 	 8.1	67	 5	 318	  8.41	 35	 26	 20	 16	 1.16	 1.18	 5.24	12.2  	 7.99	 8.98	1, 2	W16	UGC 3755        	NED	LEDA
UGC 4115        	119.25428	+14.39657	 0.001137	 0.56	 0.06	 	 8.0	57	 6	 326	 20.87	 58	 52	 44	 37	 1.03	 1.04	 4.12	18.6  	 8.44	 9.63	   1	W16	UGC 4115        	NED	LEDA
DDO 125         	186.92453	+43.49947	 0.000650	 0.64	 0.11	 	 7.8	51	 9	 195	 22.69	 15	 13	 12	 10	 1.03	 1.05	 4.43	246.3 	 7.52	 8.41	1, 2	W16	DDO 125         	NED	LEDA
UGC 8215        	197.01480	+46.82778	 0.000726	 0.77	 0.07	 	 6.9	41	 8	 234	  5.82	 21	 20	 19	 16	 1.41	 1.26	 4.27	14.2  	 7.44	 8.56	   1	W16	UGC 8215        	NED	LEDA
DDO 181         	204.97396	+40.74036	 0.000673	 0.56	 0.06	 	 7.3	57	 6	 218	 13.32	 22	 23	 21	 18	 1.19	 1.05	 4.33	25.9  	 7.48	 8.63	    	W16	DDO 181         	NED	LEDA
