#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T19:38:43 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T19:38:43	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73880500
#Name: J/MNRAS/388/500
#Title: GHASP: H{alpha} data cubes for 108 galaxies (Epinat+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	creator=Epinat B.	    First author or institution
#INFO	cites=bibcode:2008MNRAS.388..500E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/388/500	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73880500	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_388_500_galaxies:
#Name: J/MNRAS/388/500/galaxies
#Title: Model and galaxy parameters
#Column	Name	(a9)	Name	[ucd=meta.id;meta.main]
#Column	Vsys-L	(I4)	Systemic velocity found in HyperLeda data base	[ucd=phys.veloc]
#Column	Vsys-FP	(I4)	? Systemic velocity deduced from our velocity field analysis	[ucd=phys.veloc]
#Column	i-L	(I2)	Morphological inclination from HyperLeda	[ucd=src.morph]
#Column	i-FP	(I2)	? Inclination deduced from the analysis of our velocity field	[ucd=src.orbital.inclination]
#Column	l_Vres	(A1)	Limit flag on Res	[ucd=meta.code.error]
#Column	Vres	(F7.1)	? Mean residual velocity in the whole velocity field	[ucd=stat.fit.residual;phys.veloc;stat.mean]
#Column	sigres	(I2)	? Residual velocity dispersion in the whole velocity field	[ucd=stat.fit.residual;phys.veloc]
#Column	chi2	(F4.1)	? Reduced {chi}^2^ of the model	[ucd=stat.fit.chi2]
#Column	T	(F4.1)	RC3 morphological type from HyperLeda data base	[ucd=src.morph.type]
#Column	MType	(a11)	Morphological type from the HyperLeda data base	[ucd=src.morph.type]
#Column	Dist	(F5.1)	Distance (1)	[ucd=pos.distance]
#Column	i	(I2)	Inclination derived from the axial ratio, arccos(b/a)	[ucd=src.orbital.inclination]
#Column	D25	(I3)	Isophotal radius at the limiting surface brightness of 25Bmag/arcsec^2^	[ucd=phys.angSize]
#Column	Vmax	(I3)	? Maximum velocity (3)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	q_Vmax	(I1)	[1/4]? Quality flag on Vmax (5)	[ucd=meta.code.qual]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Vsys-L	Vsys-FP	i-L	i-FP	l_Vres	Vres	sigres	chi2	T	MType	Dist	i	D25	Vmax	q_Vmax	Simbad	NED	LEDA	_RA	_DE
UGC 5373 	 0.08	 0.00	 12.1	 0.0	-47	 57	 2	r
UGC 5373 	 0.08	 0.01	 12.1	 1.5	 24	 76	 2	r
UGC 5373 	 0.10	 0.00	 15.2	 0.0	 -4	 39	 4	a
UGC 5373 	 0.10	 0.00	 15.2	 0.0	  7	 23	 7	r
UGC 5373 	 0.11	 0.00	 16.7	 0.0	  1	 25	10	r
UGC 5373 	 0.12	 0.00	 18.2	 0.0	 -8	 50	 5	a
UGC 5373 	 0.13	 0.00	 19.7	 0.0	 22	 29	 6	a
UGC 5373 	 0.13	 0.00	 19.7	 0.0	 19	 29	 8	r
UGC 5373 	 0.14	 0.00	 21.2	 0.0	 66	 23	 7	a
UGC 5373 	 0.15	 0.00	 22.7	 0.0	  3	 23	11	r
UGC 5373 	 0.16	 0.00	 24.3	 0.0	  1	 21	 9	a
UGC 5373 	 0.16	 0.00	 24.3	 0.0	  4	 19	18	r
UGC 5373 	 0.18	 0.00	 27.3	 0.0	 -2	  9	25	r
UGC 5373 	 0.19	 0.00	 28.8	 0.0	 12	 14	25	r
UGC 5373 	 0.20	 0.02	 30.3	 3.0	 21	 12	25	a
UGC 5373 	 0.20	 0.00	 30.3	 0.0	 25	 10	25	r
UGC 5373 	 0.21	 0.00	 31.8	 0.0	 21	  7	25	r
UGC 5373 	 0.22	 0.00	 33.4	 0.0	 13	  9	25	r
UGC 5373 	 0.23	 0.00	 34.9	 0.0	 30	 11	25	a
UGC 5373 	 0.23	 0.00	 34.9	 0.0	 20	 13	25	r
UGC 5373 	 0.24	 0.00	 36.4	 0.0	 29	  8	25	a
UGC 5373 	 0.24	 0.00	 36.4	 0.0	 44	 11	25	r
UGC 5373 	 0.25	 0.00	 37.9	 0.0	 63	 11	25	r
UGC 5373 	 0.26	 0.00	 39.4	 0.0	 55	  8	25	a
UGC 5373 	 0.27	 0.00	 40.9	 0.0	 65	  7	25	a
UGC 5373 	 0.27	 0.00	 40.9	 0.0	 72	  7	25	r
UGC 5373 	 0.28	 0.00	 42.5	 0.0	 69	  6	25	a
UGC 5373 	 0.28	 0.00	 42.5	 0.0	 79	  5	25	r
UGC 5373 	 0.29	 0.00	 44.0	 0.0	 69	  7	25	a
UGC 5373 	 0.29	 0.00	 44.0	 0.0	 87	  5	25	r
UGC 5373 	 0.30	 0.00	 45.5	 0.0	 80	  7	25	a
UGC 5373 	 0.30	 0.00	 45.5	 0.0	 82	  4	25	r
UGC 5373 	 0.31	 0.00	 47.0	 0.0	 81	  6	25	a
UGC 5373 	 0.32	 0.00	 48.5	 0.0	 78	  7	25	a
UGC 5373 	 0.32	 0.01	 48.5	 1.5	 99	  9	25	r
UGC 5373 	 0.33	 0.00	 50.0	 0.0	 80	  9	25	a
UGC 5373 	 0.35	 0.01	 53.1	 1.5	 82	 10	25	a
UGC 5373 	 0.36	 0.04	 54.6	 6.1	 83	 16	25	r
UGC 5373 	 0.38	 0.01	 57.6	 1.5	100	 11	25	a
UGC 5373 	 0.43	 0.02	 65.2	 3.0	 90	 14	25	a
UGC 5373 	 0.49	 0.01	 74.3	 1.5	 44	 13	25	a
UGC 5373 	 0.52	 0.03	 78.9	 4.5	-34	 19	13	r
UGC 5373 	 0.54	 0.04	 81.9	 6.1	 54	 18	21	a
IC 2542  	 0.42	 0.00	  1.0	 0.0	104	 48	 1	r
IC 2542  	 0.46	 0.00	  1.1	 0.0	 78	 48	 1	a
IC 2542  	 1.27	 0.23	  3.1	 0.6	104	 21	 3	r
IC 2542  	 1.33	 0.23	  3.3	 0.6	 83	 10	 5	a
IC 2542  	 2.10	 0.22	  5.2	 0.5	201	 48	 4	r
IC 2542  	 2.12	 0.30	  5.2	 0.7	129	 38	 4	a
IC 2542  	 3.50	 0.56	  8.7	 1.4	253	 17	21	a
IC 2542  	 3.82	 0.71	  9.4	 1.8	259	 11	21	r
IC 2542  	 5.25	 0.54	 13.0	 1.3	275	 16	21	a
IC 2542  	 5.92	 0.69	 14.6	 1.7	279	 21	20	r
IC 2542  	 7.71	 1.07	 19.1	 2.6	292	 13	21	a
UGC 5510 	 0.10	 0.03	  1.1	 0.3	 15	  4	 6	r
UGC 5510 	 0.11	 0.03	  1.2	 0.3	 45	  6	 7	a
UGC 5510 	 0.20	 0.02	  2.2	 0.2	 58	  5	 7	a
UGC 5510 	 0.23	 0.04	  2.6	 0.4	 25	  4	16	r
UGC 5510 	 0.39	 0.04	  4.3	 0.4	 83	  5	10	a
UGC 5510 	 0.39	 0.05	  4.3	 0.6	 56	  9	11	r
UGC 5510 	 0.53	 0.05	  5.9	 0.6	 96	  6	11	a
UGC 5510 	 0.54	 0.06	  6.0	 0.7	 69	  9	11	r
UGC 5510 	 0.69	 0.03	  7.7	 0.3	 84	  9	10	r
UGC 5510 	 0.70	 0.05	  7.8	 0.6	100	  5	15	a
UGC 5510 	 0.85	 0.04	  9.4	 0.4	 97	  5	13	a
UGC 5510 	 0.86	 0.04	  9.5	 0.4	 98	  5	18	r
UGC 5510 	 1.00	 0.05	 11.1	 0.6	110	  7	13	r
UGC 5510 	 1.01	 0.04	 11.2	 0.4	 98	  3	22	a
UGC 5510 	 1.16	 0.04	 12.9	 0.4	 96	  5	19	a
UGC 5510 	 1.16	 0.05	 12.9	 0.6	102	  6	23	r
UGC 5510 	 1.21	 0.04	 13.4	 0.4	105	  5	18	a
UGC 5510 	 1.21	 0.03	 13.4	 0.3	107	  7	18	r
UGC 5510 	 1.34	 0.04	 14.9	 0.4	117	  4	18	a
UGC 5510 	 1.36	 0.03	 15.1	 0.3	103	  6	18	r
UGC 5510 	 1.45	 0.03	 16.1	 0.3	115	  6	18	a
UGC 5510 	 1.47	 0.03	 16.3	 0.3	105	  7	18	r
UGC 5510 	 1.57	 0.04	 17.4	 0.4	118	  4	18	a
UGC 5510 	 1.58	 0.03	 17.5	 0.3	 96	  7	18	r
UGC 5510 	 1.67	 0.02	 18.5	 0.2	127	  4	18	a
UGC 5510 	 1.69	 0.03	 18.7	 0.3	113	  6	18	r
UGC 5510 	 1.76	 0.04	 19.5	 0.4	126	  6	18	a
UGC 5510 	 1.80	 0.04	 20.0	 0.4	120	  5	18	r
UGC 5510 	 1.86	 0.02	 20.6	 0.2	132	  3	18	a
UGC 5510 	 1.91	 0.03	 21.2	 0.3	117	  3	18	r
UGC 5510 	 1.94	 0.02	 21.5	 0.2	139	  5	18	a
UGC 5510 	 1.98	 0.02	 22.0	 0.2	124	  3	18	r
UGC 5510 	 2.01	 0.02	 22.3	 0.2	133	  4	18	a
UGC 5510 	 2.07	 0.03	 23.0	 0.3	127	  4	18	r
UGC 5510 	 2.08	 0.01	 23.1	 0.1	141	  4	18	a
UGC 5510 	 2.13	 0.02	 23.6	 0.2	141	  3	18	a
UGC 5510 	 2.16	 0.03	 24.0	 0.3	132	  4	18	r
UGC 5510 	 2.18	 0.01	 24.2	 0.1	143	  3	18	a
UGC 5510 	 2.23	 0.02	 24.7	 0.2	144	  4	18	a
UGC 5510 	 2.24	 0.02	 24.8	 0.2	133	  3	18	r
UGC 5510 	 2.29	 0.02	 25.4	 0.2	152	  3	18	a
UGC 5510 	 2.34	 0.04	 25.9	 0.4	134	  5	18	r
UGC 5510 	 2.35	 0.02	 26.1	 0.2	139	  4	18	a
UGC 5510 	 2.41	 0.02	 26.7	 0.2	139	  3	18	a
UGC 5510 	 2.47	 0.02	 27.4	 0.2	154	  4	18	a
UGC 5510 	 2.47	 0.04	 27.4	 0.4	126	  5	18	r
UGC 5510 	 2.53	 0.01	 28.1	 0.1	151	  5	18	a
UGC 5510 	 2.58	 0.01	 28.6	 0.1	151	  3	18	a
UGC 5510 	 2.60	 0.04	 28.8	 0.4	134	  6	18	r
UGC 5510 	 2.64	 0.02	 29.3	 0.2	143	  4	18	a
UGC 5510 	 2.70	 0.02	 29.9	 0.2	151	  4	18	a
UGC 5510 	 2.75	 0.01	 30.5	 0.1	150	  3	18	a
UGC 5510 	 2.76	 0.06	 30.6	 0.7	123	  3	18	r
UGC 5510 	 2.83	 0.02	 31.4	 0.2	143	  4	18	a
UGC 5510 	 2.91	 0.02	 32.3	 0.2	149	  5	18	a
UGC 5510 	 2.96	 0.06	 32.8	 0.7	128	  5	18	r
UGC 5510 	 2.98	 0.03	 33.0	 0.3	150	  5	18	a
UGC 5510 	 3.10	 0.03	 34.4	 0.3	150	  4	18	a
UGC 5510 	 3.14	 0.05	 34.8	 0.6	136	  5	18	r
UGC 5510 	 3.19	 0.04	 35.4	 0.4	154	  4	18	a
UGC 5510 	 3.29	 0.03	 36.5	 0.3	168	  5	18	a
UGC 5510 	 3.31	 0.04	 36.7	 0.4	137	  5	18	r
UGC 5510 	 3.39	 0.03	 37.6	 0.3	155	  6	18	a
UGC 5510 	 3.46	 0.05	 38.4	 0.6	139	  4	18	r
UGC 5510 	 3.52	 0.03	 39.0	 0.3	162	  6	18	a
UGC 5510 	 3.61	 0.04	 40.0	 0.4	141	  4	18	r
UGC 5510 	 3.65	 0.05	 40.5	 0.6	160	  4	18	a
UGC 5510 	 3.74	 0.05	 41.5	 0.6	140	  4	18	r
UGC 5510 	 3.78	 0.03	 41.9	 0.3	147	  7	18	a
UGC 5510 	 3.88	 0.04	 43.0	 0.4	136	  3	18	r
UGC 5510 	 3.99	 0.08	 44.2	 0.9	155	  5	18	a
UGC 5510 	 4.07	 0.06	 45.1	 0.7	142	  4	18	r
UGC 5510 	 4.25	 0.06	 47.1	 0.7	148	  6	18	a
UGC 5510 	 4.28	 0.09	 47.5	 1.0	143	  5	18	r
UGC 5510 	 4.50	 0.09	 49.9	 1.0	155	  8	18	a
UGC 5510 	 4.55	 0.06	 50.5	 0.7	162	  4	18	r
UGC 5510 	 4.75	 0.07	 52.7	 0.8	158	  7	18	a
UGC 5510 	 4.83	 0.09	 53.6	 1.0	164	  4	18	r
UGC 5510 	 4.96	 0.08	 55.0	 0.9	163	  7	18	a
UGC 5510 	 5.15	 0.13	 57.1	 1.4	163	  6	18	r
UGC 5510 	 5.21	 0.08	 57.8	 0.9	167	  4	18	a
UGC 5510 	 5.46	 0.06	 60.5	 0.7	175	  4	18	r
UGC 5510 	 5.48	 0.05	 60.8	 0.6	158	  6	18	a
UGC 5510 	 5.67	 0.06	 62.9	 0.7	182	  4	18	r
UGC 5510 	 5.72	 0.09	 63.4	 1.0	150	  7	18	a
UGC 5510 	 5.85	 0.06	 64.9	 0.7	170	  7	18	r
UGC 5510 	 6.00	 0.08	 66.5	 0.9	141	  5	18	a
UGC 5510 	 6.07	 0.08	 67.3	 0.9	181	  7	18	r
UGC 5510 	 6.23	 0.06	 69.1	 0.7	130	  4	18	a
UGC 5510 	 6.38	 0.08	 70.8	 0.9	182	  5	18	r
UGC 5510 	 6.43	 0.05	 71.3	 0.6	143	  6	18	a
UGC 5510 	 6.63	 0.07	 73.5	 0.8	181	  5	18	r
UGC 5510 	 6.66	 0.09	 73.9	 1.0	143	  6	18	a
UGC 5510 	 6.84	 0.06	 75.9	 0.7	186	  7	18	r
UGC 5510 	 7.29	 0.40	 80.8	 4.4	194	  6	17	r
UGC 5510 	 7.40	 0.43	 82.1	 4.8	150	  6	17	a
UGC 5532 	 0.79	 0.00	  4.0	 0.0	387	 29	 1	r
UGC 5532 	 0.92	 0.00	  4.6	 0.0	324	 29	 1	a
UGC 5532 	 1.02	 0.00	  5.1	 0.0	363	 29	 1	a
UGC 5532 	 1.24	 0.00	  6.2	 0.0	326	 29	 1	r
UGC 5532 	 1.38	 0.07	  6.9	 0.4	384	 29	 2	r
UGC 5532 	 1.49	 0.07	  7.5	 0.4	393	 23	 5	a
UGC 5532 	 1.78	 0.10	  8.9	 0.5	385	  7	 9	r
UGC 5532 	 1.86	 0.08	  9.3	 0.4	393	 26	 4	a
UGC 5532 	 2.11	 0.09	 10.6	 0.5	393	  7	12	r
UGC 5532 	 2.16	 0.07	 10.8	 0.4	364	 15	 8	a
UGC 5532 	 2.42	 0.11	 12.1	 0.6	381	  9	14	r
UGC 5532 	 2.50	 0.05	 12.5	 0.3	393	 17	 6	a
UGC 5532 	 2.73	 0.09	 13.7	 0.5	366	  8	12	r
UGC 5532 	 2.75	 0.08	 13.8	 0.4	377	 12	 4	a
UGC 5532 	 3.06	 0.09	 15.4	 0.5	368	  8	18	r
UGC 5532 	 3.10	 0.10	 15.6	 0.5	376	  8	12	a
UGC 5532 	 3.35	 0.10	 16.8	 0.5	390	 17	 6	a
UGC 5532 	 3.41	 0.09	 17.1	 0.5	366	  7	20	r
UGC 5532 	 3.67	 0.08	 18.4	 0.4	399	  7	13	a
UGC 5532 	 3.72	 0.10	 18.7	 0.5	384	  6	21	r
UGC 5532 	 4.03	 0.09	 20.2	 0.5	376	  5	21	r
UGC 5532 	 4.05	 0.09	 20.3	 0.5	391	  9	 9	a
UGC 5532 	 4.35	 0.10	 21.8	 0.5	373	 15	10	a
UGC 5532 	 4.38	 0.10	 22.0	 0.5	376	  6	20	r
UGC 5532 	 4.65	 0.09	 23.3	 0.5	371	 11	 8	a
UGC 5532 	 4.67	 0.08	 23.4	 0.4	370	  9	21	r
UGC 5532 	 4.96	 0.09	 24.9	 0.5	360	 10	 6	a
UGC 5532 	 4.99	 0.09	 25.0	 0.5	358	  6	25	r
UGC 5532 	 4.99	 0.09	 25.0	 0.5	358	  6	26	r
UGC 5532 	 5.32	 0.10	 26.7	 0.5	368	  5	25	r
UGC 5532 	 5.41	 0.36	 27.2	 1.8	352	  7	25	a
UGC 5532 	 5.61	 0.09	 28.2	 0.5	352	  6	25	r
UGC 5532 	 5.85	 0.06	 29.4	 0.3	364	  5	25	r
UGC 5532 	 6.12	 0.08	 30.7	 0.4	355	  3	25	r
UGC 5532 	 6.30	 0.18	 31.6	 0.9	336	  8	25	a
UGC 5532 	 6.32	 0.06	 31.7	 0.3	371	  4	25	r
UGC 5532 	 6.54	 0.07	 32.8	 0.4	364	  6	25	r
UGC 5532 	 6.83	 0.10	 34.3	 0.5	371	  5	25	r
UGC 5532 	 6.95	 0.15	 34.9	 0.8	362	  6	25	a
UGC 5532 	 7.15	 0.10	 35.9	 0.5	374	  6	25	r
UGC 5532 	 7.43	 0.11	 37.3	 0.6	350	  6	25	a
UGC 5532 	 7.55	 0.13	 37.9	 0.7	373	  6	25	r
UGC 5532 	 7.84	 0.13	 39.3	 0.7	348	  6	25	a
UGC 5532 	 7.98	 0.13	 40.0	 0.7	366	  6	25	r
UGC 5532 	 8.25	 0.12	 41.4	 0.6	371	  6	25	a
UGC 5532 	 8.37	 0.13	 42.0	 0.7	353	  6	25	r
UGC 5532 	 8.60	 0.07	 43.2	 0.4	361	  6	25	a
UGC 5532 	 8.77	 0.11	 44.0	 0.6	341	  6	25	r
UGC 5532 	 8.90	 0.10	 44.7	 0.5	365	  6	25	a
UGC 5532 	 9.15	 0.11	 45.9	 0.6	345	  7	25	r
UGC 5532 	 9.19	 0.10	 46.1	 0.5	366	  7	25	a
UGC 5532 	 9.57	 0.11	 48.0	 0.6	348	  5	25	r
UGC 5532 	 9.58	 0.13	 48.1	 0.7	348	  6	25	a
UGC 5532 	10.11	 0.19	 50.7	 1.0	347	  4	25	r
UGC 5532 	10.13	 0.22	 50.8	 1.1	355	  6	25	a
UGC 5532 	10.64	 0.17	 53.4	 0.9	346	  6	25	r
UGC 5532 	11.14	 0.09	 55.9	 0.5	352	  5	25	r
UGC 5532 	11.23	 0.43	 56.4	 2.2	353	  9	25	a
UGC 5532 	11.47	 0.08	 57.6	 0.4	355	  5	25	r
UGC 5532 	11.78	 0.12	 59.1	 0.6	357	  5	25	r
UGC 5532 	12.09	 0.07	 60.7	 0.4	355	  3	25	r
UGC 5532 	12.39	 0.11	 62.2	 0.6	355	  5	25	r
UGC 5532 	12.82	 0.17	 64.3	 0.9	343	  6	25	r
UGC 5532 	13.15	 0.58	 66.0	 2.9	341	  9	25	a
UGC 5532 	13.97	 0.42	 70.1	 2.1	352	  6	25	r
UGC 5532 	14.48	 0.34	 72.7	 1.7	327	  7	25	a
UGC 5532 	15.63	 0.39	 78.4	 2.0	320	  7	25	a
UGC 5532 	17.17	 0.62	 86.2	 3.1	310	  9	20	a
UGC 5532 	17.25	 1.46	 86.6	 7.3	312	  8	25	r
UGC 5532 	19.42	 0.38	 97.5	 1.9	269	  5	19	r
UGC 5786 	 0.09	 0.03	  1.3	 0.4	-24	  5	 5	r
UGC 5786 	 0.10	 0.03	  1.5	 0.4	 71	  6	 7	a
UGC 5786 	 0.21	 0.04	  3.1	 0.6	 11	  7	18	r
UGC 5786 	 0.22	 0.04	  3.2	 0.6	 95	  5	18	a
UGC 5786 	 0.33	 0.03	  4.8	 0.4	 59	  8	24	r
UGC 5786 	 0.34	 0.03	  4.9	 0.4	116	  5	24	a
UGC 5786 	 0.43	 0.03	  6.2	 0.4	 88	  7	24	r
UGC 5786 	 0.44	 0.02	  6.4	 0.3	125	  4	24	a
UGC 5786 	 0.51	 0.02	  7.4	 0.3	129	  5	24	a
UGC 5786 	 0.51	 0.02	  7.4	 0.3	104	  7	24	r
UGC 5786 	 0.57	 0.02	  8.3	 0.3	106	  6	24	r
UGC 5786 	 0.58	 0.02	  8.4	 0.3	126	  4	24	a
UGC 5786 	 0.64	 0.02	  9.3	 0.3	120	  6	24	a
UGC 5786 	 0.64	 0.02	  9.3	 0.3	104	  5	24	r
UGC 5786 	 0.69	 0.01	 10.0	 0.1	109	  4	24	r
UGC 5786 	 0.70	 0.02	 10.2	 0.3	110	  6	24	a
UGC 5786 	 0.74	 0.01	 10.7	 0.1	108	  4	24	r
UGC 5786 	 0.75	 0.02	 10.9	 0.3	105	  5	24	a
UGC 5786 	 0.79	 0.01	 11.5	 0.1	112	  5	24	r
UGC 5786 	 0.80	 0.01	 11.6	 0.1	 92	  7	24	a
UGC 5786 	 0.84	 0.01	 12.2	 0.1	 92	  6	24	a
UGC 5786 	 0.84	 0.01	 12.2	 0.1	109	  3	24	r
UGC 5786 	 0.88	 0.01	 12.8	 0.1	 82	  6	24	a
UGC 5786 	 0.88	 0.01	 12.8	 0.1	106	  3	24	r
UGC 5786 	 0.92	 0.01	 13.4	 0.1	105	  3	24	r
UGC 5786 	 0.93	 0.01	 13.5	 0.1	 70	  6	24	a
UGC 5786 	 0.96	 0.01	 13.9	 0.1	100	  2	24	r
UGC 5786 	 0.97	 0.01	 14.1	 0.1	 69	  5	24	a
UGC 5786 	 1.00	 0.01	 14.5	 0.1	 98	  4	24	r
UGC 5786 	 1.01	 0.01	 14.7	 0.1	 59	  6	24	a
UGC 5786 	 1.04	 0.01	 15.1	 0.1	 92	  3	24	r
UGC 5786 	 1.05	 0.01	 15.3	 0.1	 62	  6	24	a
UGC 5786 	 1.07	 0.01	 15.5	 0.1	 95	  4	24	r
UGC 5786 	 1.09	 0.01	 15.8	 0.1	 56	  6	24	a
UGC 5786 	 1.11	 0.01	 16.1	 0.1	 94	  4	24	r
UGC 5786 	 1.12	 0.01	 16.3	 0.1	 58	  5	24	a
UGC 5786 	 1.15	 0.01	 16.7	 0.1	 79	  4	24	r
UGC 5786 	 1.16	 0.01	 16.8	 0.1	 52	  5	24	a
UGC 5786 	 1.18	 0.01	 17.1	 0.1	 82	  4	24	r
UGC 5786 	 1.20	 0.01	 17.4	 0.1	 57	  5	24	a
UGC 5786 	 1.22	 0.01	 17.7	 0.1	 81	  4	24	r
UGC 5786 	 1.24	 0.01	 18.0	 0.1	 50	  5	24	a
UGC 5786 	 1.25	 0.01	 18.2	 0.1	 69	  5	24	r
UGC 5786 	 1.28	 0.01	 18.6	 0.1	 49	  4	24	a
UGC 5786 	 1.29	 0.01	 18.7	 0.1	 62	  5	24	r
UGC 5786 	 1.32	 0.01	 19.2	 0.1	 42	  4	24	a
UGC 5786 	 1.32	 0.01	 19.2	 0.1	 66	  5	24	r
UGC 5786 	 1.35	 0.01	 19.6	 0.1	 45	  4	24	a
UGC 5786 	 1.36	 0.01	 19.8	 0.1	 57	  6	24	r
UGC 5786 	 1.39	 0.01	 20.2	 0.1	 48	  4	24	a
UGC 5786 	 1.40	 0.01	 20.3	 0.1	 53	  5	24	r
UGC 5786 	 1.42	 0.01	 20.6	 0.1	 46	  4	24	a
UGC 5786 	 1.43	 0.01	 20.8	 0.1	 61	  5	24	r
UGC 5786 	 1.45	 0.01	 21.1	 0.1	 46	  3	24	a
UGC 5786 	 1.47	 0.01	 21.4	 0.1	 47	  5	24	r
UGC 5786 	 1.48	 0.01	 21.5	 0.1	 43	  3	24	a
UGC 5786 	 1.51	 0.01	 21.9	 0.1	 52	  5	24	r
UGC 5786 	 1.52	 0.01	 22.1	 0.1	 50	  3	24	a
UGC 5786 	 1.55	 0.01	 22.5	 0.1	 46	  5	24	a
UGC 5786 	 1.55	 0.01	 22.5	 0.1	 37	  6	24	r
UGC 5786 	 1.58	 0.01	 23.0	 0.1	 51	  5	24	a
UGC 5786 	 1.58	 0.01	 23.0	 0.1	 53	  5	24	r
UGC 5786 	 1.61	 0.01	 23.4	 0.1	 45	  4	24	a
UGC 5786 	 1.62	 0.02	 23.5	 0.3	 46	  6	24	r
UGC 5786 	 1.64	 0.01	 23.8	 0.1	 45	  4	24	a
UGC 5786 	 1.66	 0.01	 24.1	 0.1	 38	  4	24	r
UGC 5786 	 1.67	 0.01	 24.3	 0.1	 53	  4	24	a
UGC 5786 	 1.70	 0.01	 24.7	 0.1	 45	  5	24	a
UGC 5786 	 1.70	 0.01	 24.7	 0.1	 44	  6	24	r
UGC 5786 	 1.74	 0.01	 25.3	 0.1	 52	  4	24	a
UGC 5786 	 1.75	 0.01	 25.4	 0.1	 38	  5	24	r
UGC 5786 	 1.77	 0.01	 25.7	 0.1	 50	  4	24	a
UGC 5786 	 1.78	 0.01	 25.9	 0.1	 39	  5	24	r
UGC 5786 	 1.80	 0.01	 26.1	 0.1	 44	  4	24	a
UGC 5786 	 1.82	 0.01	 26.4	 0.1	 46	  5	24	r
UGC 5786 	 1.83	 0.01	 26.6	 0.1	 54	  3	24	a
UGC 5786 	 1.85	 0.01	 26.9	 0.1	 44	  5	24	r
UGC 5786 	 1.86	 0.01	 27.0	 0.1	 52	  4	24	a
UGC 5786 	 1.89	 0.01	 27.5	 0.1	 52	  4	24	a
UGC 5786 	 1.89	 0.01	 27.5	 0.1	 46	  5	24	r
UGC 5786 	 1.92	 0.01	 27.9	 0.1	 43	  4	24	a
UGC 5786 	 1.92	 0.01	 27.9	 0.1	 47	  4	24	r
UGC 5786 	 1.95	 0.01	 28.3	 0.1	 41	  4	24	a
UGC 5786 	 1.96	 0.01	 28.5	 0.1	 37	  5	24	r
UGC 5786 	 1.98	 0.01	 28.8	 0.1	 50	  3	24	a
UGC 5786 	 1.99	 0.01	 28.9	 0.1	 55	  4	24	r
UGC 5786 	 2.02	 0.01	 29.3	 0.1	 49	  2	24	a
UGC 5786 	 2.02	 0.01	 29.3	 0.1	 44	  6	24	r
UGC 5786 	 2.05	 0.01	 29.8	 0.1	 46	  3	24	a
UGC 5786 	 2.05	 0.01	 29.8	 0.1	 48	  5	24	r
UGC 5786 	 2.08	 0.01	 30.2	 0.1	 42	  4	24	a
UGC 5786 	 2.09	 0.01	 30.4	 0.1	 45	  4	24	r
UGC 5786 	 2.11	 0.01	 30.6	 0.1	 42	  3	24	a
UGC 5786 	 2.11	 0.01	 30.6	 0.1	 49	  5	24	r
UGC 5786 	 2.15	 0.01	 31.2	 0.1	 32	  4	24	a
UGC 5786 	 2.15	 0.01	 31.2	 0.1	 53	  5	24	r
UGC 5786 	 2.18	 0.01	 31.7	 0.1	 37	  3	24	a
UGC 5786 	 2.19	 0.01	 31.8	 0.1	 55	  4	24	r
UGC 5786 	 2.21	 0.01	 32.1	 0.1	 49	  2	24	a
UGC 5786 	 2.22	 0.01	 32.2	 0.1	 46	  4	24	r
UGC 5786 	 2.25	 0.01	 32.7	 0.1	 45	  2	24	a
UGC 5786 	 2.25	 0.01	 32.7	 0.1	 47	  5	24	r
UGC 5786 	 2.28	 0.01	 33.1	 0.1	 43	  2	24	a
